Name,Run,BioSample,sample,LibraryName,Domain,Type,T,pH,ORP
"Santa Elena Ophiolite",SRR5176898,SAMN06226017,Serp_SE_Spring9_1_Feb2014,Serp_SE_Spring9_1_Feb2014_Bv4v5,Bacteria,Spring,26.4,11.54,-348
"Santa Elena Ophiolite",SRR5176931,SAMN06226017,Serp_SE_Spring9_1_Feb2014,Serp_SE_Spring9_1_Feb2014_Av4v5,Archaea,Spring,26.4,11.54,-348
"Santa Elena Ophiolite",SRR5176930,SAMN06226018,Serp_SE_Spring9_2_Feb2014,Serp_SE_Spring9_2_Feb2014_Av4v5,Archaea,Spring,26.4,11.54,-348
"Santa Elena Ophiolite",SRR5176897,SAMN06226018,Serp_SE_Spring9_2_Feb2014,Serp_SE_Spring9_2_Feb2014_Bv4v5,Bacteria,Spring,26.4,11.54,-348
"Santa Elena Ophiolite",SRR5176896,SAMN06226019,Serp_SE_Spring9_3_Feb2014,Serp_SE_Spring9_3_Feb2014_Bv4v5,Bacteria,Spring,26.4,11.54,-348
"Santa Elena Ophiolite",SRR5176929,SAMN06226019,Serp_SE_Spring9_3_Feb2014,Serp_SE_Spring9_3_Feb2014_Av4v5,Archaea,Spring,26.4,11.54,-348
"Santa Elena Ophiolite",SRR5176936,SAMN06226012,Serp_SE_Spring9_Mar13,Serp_SE_Spring9_Mar13_Av4v5,Archaea,Spring,26.4,11.54,-348
"Santa Elena Ophiolite",SRR5176903,SAMN06226012,Serp_SE_Spring9_Mar13,Serp_SE_Spring9_Mar13_Bv4v5,Bacteria,Spring,26.4,11.54,-348
"Santa Elena Ophiolite",SRR5176895,SAMN06226020,Serp_SE_Spring_1_Feb2014,Serp_SE_Spring_1_Feb2014_Bv4v5,Bacteria,Spring,NA,NA,NA
"Santa Elena Ophiolite",SRR5176928,SAMN06226020,Serp_SE_Spring_1_Feb2014,Serp_SE_Spring_1_Feb2014_Av4v5,Archaea,Spring,NA,NA,NA
