Name,Run,BioSample,SampleName,ID,Type,pH,"DO (mg/L)","ORP (mV)"
Plastisphere,SRR14116310,SAMN18515915,MFW10,FW10,"Freshwater Plastic",7.22,8,128
Plastisphere,SRR14116309,SAMN18515916,MFW11,FW11,"Freshwater Plastic",7.61,7.2,133
Plastisphere,SRR14116308,SAMN18515917,MFW12,FW12,"Freshwater Plastic",7.56,7.1,129
Plastisphere,SRR14116306,SAMN18515918,MFW13,FW13,"Freshwater Plastic",7.61,6,243
Plastisphere,SRR14116305,SAMN18515919,MFW14,FW14,"Freshwater Plastic",7.68,6.6,223
Plastisphere,SRR14116304,SAMN18515920,MFW15,FW15,"Freshwater Plastic",7.56,6.6,225
Plastisphere,SRR14116303,SAMN18515921,MFW16,FW16,"Freshwater Plastic",7.94,7.2,214
Plastisphere,SRR14116302,SAMN18515922,MFW17,FW17,"Freshwater Plastic",7.95,6.8,216
Plastisphere,SRR14116301,SAMN18515923,MFW18,FW18,"Freshwater Plastic",7.83,7,221
Plastisphere,SRR14116319,SAMN18515907,MFW2,FW2,"Freshwater Plastic",7.36,4.7,129
Plastisphere,SRR14116317,SAMN18515908,MFW3,FW3,"Freshwater Plastic",7.86,5.5,128
Plastisphere,SRR14116316,SAMN18515909,MFW4,FW4,"Freshwater Plastic",7.42,5.4,126
Plastisphere,SRR14116315,SAMN18515910,MFW5,FW5,"Freshwater Plastic",7.33,6.3,125
Plastisphere,SRR14116314,SAMN18515911,MFW6,FW6,"Freshwater Plastic",7.21,7.7,111
Plastisphere,SRR14116313,SAMN18515912,MFW7,FW7,"Freshwater Plastic",6.99,6.4,116
Plastisphere,SRR14116312,SAMN18515913,MFW8,FW8,"Freshwater Plastic",7.31,7,128
Plastisphere,SRR14116311,SAMN18515914,MFW9,FW9,"Freshwater Plastic",7.44,6.9,129
Plastisphere,SRR14116300,SAMN18515924,MSW1,SW1,"Seawater Plastic",8.21,9,236
Plastisphere,SRR14116290,SAMN18515933,MSW10,SW10,"Seawater Plastic",7.87,4.5,193
Plastisphere,SRR14116289,SAMN18515934,MSW11,SW11,"Seawater Plastic",7.96,6.6,202
Plastisphere,SRR14116288,SAMN18515935,MSW12,SW12,"Seawater Plastic",8.07,8.9,229
Plastisphere,SRR14116287,SAMN18515936,MSW13,SW13,"Seawater Plastic",7.46,7.5,173
Plastisphere,SRR14116299,SAMN18515925,MSW2,SW2,"Seawater Plastic",7.89,5.9,118
Plastisphere,SRR14116298,SAMN18515926,MSW3,SW3,"Seawater Plastic",7.86,5.6,186
Plastisphere,SRR14116297,SAMN18515927,MSW4,SW4,"Seawater Plastic",7.93,6.1,109
Plastisphere,SRR14116295,SAMN18515928,MSW5,SW5,"Seawater Plastic",7.89,6.1,106
Plastisphere,SRR14116294,SAMN18515929,MSW6,SW6,"Seawater Plastic",7.92,6.3,110
Plastisphere,SRR14116293,SAMN18515930,MSW7,SW7,"Seawater Plastic",7.74,6.5,207
Plastisphere,SRR14116292,SAMN18515931,MSW8,SW8,"Seawater Plastic",7.72,5.7,199
Plastisphere,SRR14116291,SAMN18515932,MSW9,SW9,"Seawater Plastic",7.81,4.6,201
