Name,Run,BioSample,"Sample ID","Aquifer name",Region,"Oxygenation regime","Land cover","DO (mg/L)",pH,"T (°C)","ORP (mV)","Conductivity (µScm-1)"
"New Zealand Aquifers",SRR14366755,SAMN18882815,Wai01,"Taupo ignimbrites",Taupo,Dysoxic,Urban,0.57,6.32,12.8,NA,100.4
"New Zealand Aquifers",SRR14366754,SAMN18882816,Wai02,"Taupo ignimbrites",Taupo,Dysoxic,Stock,0.6,6.52,13,NA,99.8
"New Zealand Aquifers",SRR14366753,SAMN18882817,Wai03,"Taupo ignimbrites",Taupo,Dysoxic,"Motor camp",2.79,7.54,13.9,NA,362.8
"New Zealand Aquifers",SRR14366752,SAMN18882818,Wai04,"Taupo ignimbrites",Taupo,Dysoxic,Urban,1.32,6.1,15.2,NA,87.6
"New Zealand Aquifers",SRR14366751,SAMN18882819,Wai05,"Taupo ignimbrites",Taupo,Oxic,Agriculture,4.08,6.2,15.8,NA,84.4
"New Zealand Aquifers",SRR14366750,SAMN18882820,Wai06,"Taupo ignimbrites",Taupo,Oxic,"Pine Forest - Closed Canopy",6.32,6.03,13.2,NA,94
"New Zealand Aquifers",SRR14366749,SAMN18882821,Wai07,"Taupo ignimbrites",Taupo,Oxic,Dairy,4.48,6.63,11.7,NA,116.2
"New Zealand Aquifers",SRR14366747,SAMN18882822,Wai08,"Taupo ignimbrites",Taupo,Oxic,Agriculture,7.22,6.59,12.3,NA,120.5
"New Zealand Aquifers",SRR14366746,SAMN18882823,Wai09,"Taupo ignimbrites",Taupo,Oxic,Urban,7.04,6.27,12,NA,96.2
"New Zealand Aquifers",SRR14366745,SAMN18882824,Wel01,"Hutt Valley",Wellington,Suboxic,Industrial,0.03,7.14,15.8,-33.4,182.3
"New Zealand Aquifers",SRR14366744,SAMN18882825,Wel02,"Wairarapa Valley",Wellington,Suboxic,Agriculture,0.07,6.45,13.8,-4.3,198.4
"New Zealand Aquifers",SRR14366743,SAMN18882826,Wel03,"Wairarapa Valley",Wellington,Suboxic,Dairy,0.06,6.23,14.1,75.3,305.2
"New Zealand Aquifers",SRR14366742,SAMN18882827,Wel04,"Wairarapa Valley",Wellington,Suboxic,Dairy,0.07,6.9,14.8,-41.9,501
"New Zealand Aquifers",SRR14366741,SAMN18882828,Wel05,"Wairarapa Valley",Wellington,Suboxic,Dairy,0.08,6.72,14.7,-67.1,795
"New Zealand Aquifers",SRR14366740,SAMN18882829,Wel06,"Wairarapa Valley",Wellington,Suboxic,Dairy,0.17,6.7,13.6,-15.8,233.3
"New Zealand Aquifers",SRR14366739,SAMN18882830,Wel07,"Wairarapa Valley",Wellington,Dysoxic,Dairy,0.33,6.57,14,-54.2,402.3
"New Zealand Aquifers",SRR14366738,SAMN18882831,Wel08,"Kapiti Coast",Wellington,Suboxic,Park/Reserve,0.03,6.44,14.1,41.9,310.3
"New Zealand Aquifers",SRR14366736,SAMN18882832,Wel09,"Hutt Valley",Wellington,Dysoxic,Urban,1.5,6.04,14.6,199.9,101.4
"New Zealand Aquifers",SRR14366735,SAMN18882833,Wel10,"Kapiti Coast",Wellington,Suboxic,Urban,0.19,6.67,15.5,1.6,215.3
"New Zealand Aquifers",SRR14366734,SAMN18882834,Wel11,"Wairarapa Valley",Wellington,Oxic,Agriculture,5.13,5.85,15.6,180.9,88.7
"New Zealand Aquifers",SRR14366733,SAMN18882835,Wel12,"Hutt Valley",Wellington,Dysoxic,Industrial,2.75,5.71,14.9,226.9,120.2
"New Zealand Aquifers",SRR14366732,SAMN18882836,Wel13,"Wairarapa Valley",Wellington,Dysoxic,Horticultural,0.78,7.03,14.8,110.2,169.5
"New Zealand Aquifers",SRR14366731,SAMN18882837,Wel14,"Kapiti Coast",Wellington,Oxic,Dairy,3.04,5.74,15.1,178.2,162
"New Zealand Aquifers",SRR14366730,SAMN18882838,Wel15,"Wairarapa Valley",Wellington,Oxic,Horticultural,5.32,6.03,14.1,190.6,148.2
"New Zealand Aquifers",SRR14366729,SAMN18882839,Wel16,"Wairarapa Valley",Wellington,Oxic,Agriculture,8.65,5.51,16.1,228.6,99.4
"New Zealand Aquifers",SRR14366728,SAMN18882840,Wel17,"Wairarapa Valley",Wellington,Oxic,Dairy,7.42,6.07,14.2,151.7,163.2
"New Zealand Aquifers",SRR14366727,SAMN18882841,Wel18,"Wairarapa Valley",Wellington,Oxic,Urban,5.81,6.54,14.9,99.5,796
"New Zealand Aquifers",SRR14366812,SAMN18882785,gwa01,"Central plains",Canterbury,Oxic,Farm,7.8,6.62,13.6,198.6,187.3
"New Zealand Aquifers",SRR14366810,SAMN18882787,gwa03,"Central plains",Canterbury,Oxic,Farm,7.4,6.12,16.9,214.4,168.6
"New Zealand Aquifers",SRR14366809,SAMN18882788,gwa04,"Central plains",Canterbury,Oxic,Farm,7.4,6.12,16.9,214.4,168.6
"New Zealand Aquifers",SRR14366808,SAMN18882789,gwa05,"Central plains",Canterbury,Oxic,Farm,4.2,6.91,15.5,175.3,177.7
"New Zealand Aquifers",SRR14366807,SAMN18882790,gwa06,"Central plains",Canterbury,Oxic,Farm,4.2,6.91,15.5,175.3,177.7
"New Zealand Aquifers",SRR14366806,SAMN18882791,gwa07,"Central plains",Canterbury,Oxic,Farm,4.3,6.17,15.8,211,214.4
"New Zealand Aquifers",SRR14366805,SAMN18882792,gwa08,"Central plains",Canterbury,Oxic,Farm,4.3,6.17,15.8,211,214.4
"New Zealand Aquifers",SRR14366804,SAMN18882793,gwa09,"Central plains",Canterbury,Oxic,Farm,4.1,6.45,14,214.6,101.9
"New Zealand Aquifers",SRR14366802,SAMN18882794,gwa10,"Central plains",Canterbury,Oxic,Farm,4.1,6.45,14,214.6,101.9
"New Zealand Aquifers",SRR14366801,SAMN18882795,gwa11,"Central plains",Canterbury,Oxic,Farm,3.7,7,13.5,183.6,101.8
"New Zealand Aquifers",SRR14366800,SAMN18882796,gwa12,"Central plains",Canterbury,Oxic,Farm,3.7,7,13.5,183.6,101.8
"New Zealand Aquifers",SRR14366799,SAMN18882797,gwa13,"Waimakariri-Ashley plains",Canterbury,Dysoxic,Reserve,0.4,6.73,14.7,191.9,230.7
"New Zealand Aquifers",SRR14366798,SAMN18882798,gwa14,"Waimakariri-Ashley plains",Canterbury,Suboxic,Reserve,0.1,6.22,14.6,60,230
"New Zealand Aquifers",SRR14366797,SAMN18882799,gwj01,"Central plains",Canterbury,Oxic,Farm,5.6,6.4,12.9,210.4,195.4
"New Zealand Aquifers",SRR14366795,SAMN18882800,gwj02,"Central plains",Canterbury,Oxic,Farm,5.6,6.4,12.9,210.4,195.4
"New Zealand Aquifers",SRR14366793,SAMN18882801,gwj03,"Central plains",Canterbury,Oxic,Farm,7.3,6.85,11.7,214.3,147.2
"New Zealand Aquifers",SRR14366790,SAMN18882802,gwj04,"Central plains",Canterbury,Oxic,Farm,7.3,6.85,11.7,214.3,147.2
"New Zealand Aquifers",SRR14366788,SAMN18882803,gwj05,"Central plains",Canterbury,Oxic,Farm,4.43,6.54,11,208.6,253.2
"New Zealand Aquifers",SRR14366786,SAMN18882804,gwj06,"Central plains",Canterbury,Oxic,Farm,4.43,6.54,11,208.6,253.2
"New Zealand Aquifers",SRR14366784,SAMN18882805,gwj07,"Central plains",Canterbury,Oxic,Farm,4.27,6.68,12.3,198.7,238.2
"New Zealand Aquifers",SRR14366782,SAMN18882806,gwj08,"Central plains",Canterbury,Oxic,Farm,4.27,6.68,12.3,198.7,238.2
"New Zealand Aquifers",SRR14366779,SAMN18882807,gwj09,"Central plains",Canterbury,Oxic,Farm,6.83,6.97,8.1,202.8,96.4
"New Zealand Aquifers",SRR14366776,SAMN18882808,gwj10,"Central plains",Canterbury,Oxic,Farm,6.83,6.97,8.1,202.8,96.4
"New Zealand Aquifers",SRR14366774,SAMN18882809,gwj11,"Central plains",Canterbury,Oxic,Farm,7.5,7.2,7.3,187.8,95.5
"New Zealand Aquifers",SRR14366771,SAMN18882810,gwj12,"Central plains",Canterbury,Oxic,Farm,7.5,7.2,7.3,187.8,95.5
"New Zealand Aquifers",SRR14366768,SAMN18882811,gwj13,"Waimakariri-Ashley plains",Canterbury,Dysoxic,Reserve,1.06,6.66,10.8,197.3,239.3
"New Zealand Aquifers",SRR14366765,SAMN18882812,gwj14,"Waimakariri-Ashley plains",Canterbury,Dysoxic,Reserve,1.06,6.66,10.8,197.3,239.3
"New Zealand Aquifers",SRR14366762,SAMN18882813,gwj15,"Waimakariri-Ashley plains",Canterbury,Dysoxic,Reserve,0.37,6.49,9,129.3,228.4
"New Zealand Aquifers",SRR14366758,SAMN18882814,gwj16,"Waimakariri-Ashley plains",Canterbury,Dysoxic,Reserve,0.37,6.49,9,129.3,228.4
"New Zealand Aquifers",SRR14366837,SAMN18882764,Auc01,Waitemata,Auckland,Anoxic,Urban,-0.03,7.35,17.474,-129.4,298
"New Zealand Aquifers",SRR14366836,SAMN18882765,Auc02,Waitemata,Auckland,Anoxic,Urban,-0.06,8.39,18.271,-200.7,325
"New Zealand Aquifers",SRR14366835,SAMN18882774,Can08,"Rakaia-Ashburton plains",Canterbury,Oxic,Urban,7.11,6.6,13.5,186.6,195.4
"New Zealand Aquifers",SRR14366834,SAMN18882842,Wel19,"Kapiti Coast",Wellington,Oxic,Agriculture,5.03,6.53,15.7,132.1,317.1
"New Zealand Aquifers",SRR14366833,SAMN18882843,Wel20,"Wairarapa Valley",Wellington,Dysoxic,Dairy,0.69,6,13.6,164.9,164.9
"New Zealand Aquifers",SRR14366832,SAMN18882844,Wel21,"Kapiti Coast",Wellington,Oxic,Horticultural,5.43,6.35,14.8,166.7,330.9
