Name,Run,BioSample,SampleName,Site,Type,Position,Latitude,Longitude,Depth,"Temperature (°C)",pH,"DO (mg/L)","ORP (mV)"
"Three Gorges Reservoir",SRR14692669,SAMN19460454,w3mWZX,wanzhouxian,"Bottom water",Main stream,30.76331667,108.4189,136,NA,NA,NA,NA
"Three Gorges Reservoir",SRR14692716,SAMN19460394,w3mZG,zigui,"Bottom water",Main stream,30.84941667,110.9854667,108,13.584,7.93,8.54,293.1
"Three Gorges Reservoir",SRR14692717,SAMN19460411,w3tCTH,changtanhe,"Bottom water",Tributary,30.91183333,109.08395,29,17.311,7.87,7.72,230.2
"Three Gorges Reservoir",SRR14692723,SAMN19460405,w3tDNH,daninghe,"Bottom water",Tributary,31.10453333,109.8899833,73,16.386,8,8.15,263.6
"Three Gorges Reservoir",SRR14692679,SAMN19460445,w3tDNH1,daxihe,"Bottom water",Tributary,30.9897,109.6087833,30,NA,NA,NA,NA
"Three Gorges Reservoir",SRR14692698,SAMN19460428,w3tLH,longhe,"Bottom water",Tributary,29.87333333,107.7448333,23,16.456,7.84,8.56,220.5
"Three Gorges Reservoir",SRR14692713,SAMN19460414,w3tMDX,modaoxi,"Bottom water",Tributary,30.9148,108.9525,38,17.014,7.99,7.63,264
"Three Gorges Reservoir",SRR14692676,SAMN19460448,w3tMXH1,meixihe,"Bottom water",Tributary,31.11233333,109.4375833,21,NA,NA,NA,NA
"Three Gorges Reservoir",SRR14692706,SAMN19460421,w3tPXH,pengxihe,"Bottom water",Tributary,30.94711667,108.69435,58,16.637,7.69,5.89,237.1
"Three Gorges Reservoir",SRR14692673,SAMN19460451,w3tPXH1,pengxihe,"Bottom water",Tributary,31.08908333,108.6751833,29,NA,NA,NA,NA
"Three Gorges Reservoir",SRR14692710,SAMN19460417,w3tTXH,tangxihe,"Bottom water",Tributary,30.97121667,108.9053,54,16.884,7.85,7.56,254.5
"Three Gorges Reservoir",SRR14692690,SAMN19460435,w3tWJ,wujiang,"Bottom water",Tributary,29.67735,107.3896833,22,16.902,8.01,8.79,258.6
"Three Gorges Reservoir",SRR14692661,SAMN19460399,w3tXXH,xiangxihe,"Bottom water",Tributary,30.98976667,110.76025,43,15.132,8.08,8.51,251.6
