Name,Run,BioSample,SampleName,Season,Site,"T (°C)",pH,"Cond (us/cm)","ORP (mV)","DO (mg/L)"
"Bahe River",SRR10417953,SAMN13242280,Autumn_DRM_T1,Autumn,DRM,20.07,7.62,185.63,96.33,7.91
"Bahe River",SRR10417949,SAMN13242283,Autumn_DRR_T1,Autumn,DRR,19.7,7.74,163.83,92.83,7.73
"Bahe River",SRR10417943,SAMN13242289,Winter_URL_T1,Winter,URL,11.7,7.56,96.8,135.23,10.44
"Bahe River",SRR10417939,SAMN13242292,Winter_URM_T1,Winter,URM,11.9,7.56,96.97,158.9,10.68
"Bahe River",SRR10417936,SAMN13242295,Winter_URR_T1,Winter,URR,12.87,7.45,98.5,167.07,10.32
"Bahe River",SRR10417933,SAMN13242298,Winter_RAL_T1,Winter,RAL,9.9,7.57,109.1,121.4,10.27
"Bahe River",SRR10417930,SAMN13242301,Winter_RAM_T1,Winter,RAM,9.3,7.4,98.27,127.77,10.57
"Bahe River",SRR10417926,SAMN13242304,Winter_RAR_T1,Winter,RAR,9.3,7.57,97.87,147.33,10.62
"Bahe River",SRR10417923,SAMN13242307,Winter_IAL_T1,Winter,IAL,8.13,7.41,234.03,49.37,11.03
"Bahe River",SRR10417920,SAMN13242310,Winter_IAM_T1,Winter,IAM,8.07,7.03,210.1,20.27,10.56
"Bahe River",SRR10417916,SAMN13242313,Winter_IAR_T1,Winter,IAR,8.07,7.25,127.07,126.5,11.24
"Bahe River",SRR10417903,SAMN13242325,Winter_SO_T1,Winter,SO,12.5,7.55,333.27,-22.6,10.26
"Bahe River",SRR10417913,SAMN13242316,Winter_DRL_T1,Winter,DRL,8.77,8.16,128.37,62.67,10.41
"Bahe River",SRR10417910,SAMN13242319,Winter_DRM_T1,Winter,DRM,8.5,7.35,124.77,128.67,10.57
"Bahe River",SRR10417906,SAMN13242322,Winter_DRR_T1,Winter,DRR,8.57,7.3,115.43,110.8,11.19
