name,Run,LibraryName,BioSample,SampleName,Compartment,Spartina,Depth,Location,Year,Eh,pH,Salinity
"Georgia Salt Marshes",SRR12995318,Spartina089,SAMN16678300,Sapelo2019_Endosphere_T1_P2_5-10,Root,Medium,10-05,Sapelo,2019,-385,6.6,37.15
"Georgia Salt Marshes",SRR12995314,Spartina092,SAMN16678303,Sapelo2019_Endosphere_T1_P3_0-5,Root,Short,0-5,Sapelo,2019,-377,6.6,47.58
"Georgia Salt Marshes",SRR12995315,Spartina091,SAMN16678302,Sapelo2019_Endosphere_T1_P3_5-10,Root,Short,10-05,Sapelo,2019,-397.5,7.1,41.16
"Georgia Salt Marshes",SRR12995312,Spartina094,SAMN16678305,Sapelo2019_Endosphere_T1_P4_0-5,Root,Short,0-5,Sapelo,2019,-276.5,6.5,33.29
"Georgia Salt Marshes",SRR12995313,Spartina093,SAMN16678304,Sapelo2019_Endosphere_T1_P4_5-10,Root,Short,10-05,Sapelo,2019,-326,6.7,41.16
"Georgia Salt Marshes",SRR12995411,Spartina106,SAMN16678317,Sapelo2019_Endosphere_T3_P3_0-5,Root,Short,0-5,Sapelo,2019,-371,6.9,28.44
"Georgia Salt Marshes",SRR12995409,Spartina108,SAMN16678319,Sapelo2019_Endosphere_T4_P1_0-5,Root,Tall,0-5,Sapelo,2019,86,6.9,29.29
"Georgia Salt Marshes",SRR12995410,Spartina107,SAMN16678318,Sapelo2019_Endosphere_T4_P1_5-10,Root,Tall,10-05,Sapelo,2019,42,6.4,25.43
"Georgia Salt Marshes",SRR12995407,Spartina110,SAMN16678321,Sapelo2019_Endosphere_T4_P2_0-5,Root,Medium,0-5,Sapelo,2019,-297.5,6.6,29.02
"Georgia Salt Marshes",SRR12995408,Spartina109,SAMN16678320,Sapelo2019_Endosphere_T4_P2_5-10,Root,Medium,10-05,Sapelo,2019,-395.5,6.5,25.69
"Georgia Salt Marshes",SRR12995404,Spartina112,SAMN16678323,Sapelo2019_Endosphere_T4_P3_0-5,Root,Short,0-5,Sapelo,2019,-334,6.9,28.95
"Georgia Salt Marshes",SRR12995405,Spartina111,SAMN16678322,Sapelo2019_Endosphere_T4_P3_5-10,Root,Short,10-05,Sapelo,2019,-361,6.3,26.78
"Georgia Salt Marshes",SRR12995402,Spartina114,SAMN16678325,Sapelo2019_Rhizosphere_T1_P1_0-5,Rhizosphere,Tall,0-5,Sapelo,2019,-114,6.7,42.24
"Georgia Salt Marshes",SRR12995403,Spartina113,SAMN16678324,Sapelo2019_Rhizosphere_T1_P1_5-10,Rhizosphere,Tall,10-05,Sapelo,2019,-140.7,6.6,44.03
"Georgia Salt Marshes",SRR12995400,Spartina116,SAMN16678327,Sapelo2019_Rhizosphere_T1_P2_0-5,Rhizosphere,Medium,0-5,Sapelo,2019,-289,7.4,45.99
"Georgia Salt Marshes",SRR12995401,Spartina115,SAMN16678326,Sapelo2019_Rhizosphere_T1_P2_5-10,Rhizosphere,Medium,10-05,Sapelo,2019,-385,6.6,37.15
"Georgia Salt Marshes",SRR12995398,Spartina118,SAMN16678329,Sapelo2019_Rhizosphere_T1_P3_0-5,Rhizosphere,Short,0-5,Sapelo,2019,-377,6.6,47.58
"Georgia Salt Marshes",SRR12995399,Spartina117,SAMN16678328,Sapelo2019_Rhizosphere_T1_P3_5-10,Rhizosphere,Short,10-05,Sapelo,2019,-397.5,7.1,41.16
"Georgia Salt Marshes",SRR12995396,Spartina120,SAMN16678331,Sapelo2019_Rhizosphere_T1_P4_0-5,Rhizosphere,Short,0-5,Sapelo,2019,-276.5,6.5,33.29
"Georgia Salt Marshes",SRR12995397,Spartina119,SAMN16678330,Sapelo2019_Rhizosphere_T1_P4_5-10,Rhizosphere,Short,10-05,Sapelo,2019,-326,6.7,41.16
"Georgia Salt Marshes",SRR12995391,Spartina124,SAMN16678335,Sapelo2019_Rhizosphere_T3_P1_0-5,Rhizosphere,Tall,0-5,Sapelo,2019,-48.5,6.6,26.31
"Georgia Salt Marshes",SRR12995392,Spartina123,SAMN16678334,Sapelo2019_Rhizosphere_T3_P1_0-5_b,Rhizosphere,Tall,0-5,Sapelo,2019,-48.5,6.6,26.31
"Georgia Salt Marshes",SRR12995393,Spartina122,SAMN16678333,Sapelo2019_Rhizosphere_T3_P1_5-10,Rhizosphere,Tall,10-05,Sapelo,2019,-109.5,6,24.58
"Georgia Salt Marshes",SRR12995394,Spartina121,SAMN16678332,Sapelo2019_Rhizosphere_T3_P1_5-10_b,Rhizosphere,Tall,10-05,Sapelo,2019,-109.5,6,24.58
"Georgia Salt Marshes",SRR12995387,Spartina128,SAMN16678339,Sapelo2019_Rhizosphere_T3_P2_0-5,Rhizosphere,Medium,0-5,Sapelo,2019,-68,6.9,23.55
"Georgia Salt Marshes",SRR12995388,Spartina127,SAMN16678338,Sapelo2019_Rhizosphere_T3_P2_0-5_b,Rhizosphere,Medium,0-5,Sapelo,2019,-68,6.9,23.55
"Georgia Salt Marshes",SRR12995389,Spartina126,SAMN16678337,Sapelo2019_Rhizosphere_T3_P2_5-10,Rhizosphere,Medium,10-05,Sapelo,2019,-63,6,22.61
"Georgia Salt Marshes",SRR12995390,Spartina125,SAMN16678336,Sapelo2019_Rhizosphere_T3_P2_5-10_b,Rhizosphere,Medium,10-05,Sapelo,2019,-63,6,22.61
"Georgia Salt Marshes",SRR12995382,Spartina132,SAMN16678343,Sapelo2019_Rhizosphere_T3_P3_0-5,Rhizosphere,Short,0-5,Sapelo,2019,-371,6.9,28.44
"Georgia Salt Marshes",SRR12995383,Spartina131,SAMN16678342,Sapelo2019_Rhizosphere_T3_P3_0-5_b,Rhizosphere,Short,0-5,Sapelo,2019,-371,6.9,28.44
"Georgia Salt Marshes",SRR12995385,Spartina130,SAMN16678341,Sapelo2019_Rhizosphere_T3_P3_5-10,Rhizosphere,Short,10-05,Sapelo,2019,-388.5,6.6,27.63
