name,Run,BioSample,SampleName,Station,Environment,Date,Season,Year,"Redox (mV)","O2 (%)","Water depth at sampling (low tide)",Salinity
"Bay of Biscay",ERR3711553,SAMEA6356515,EN30_Wi2018,EN30,Estuarine,2018-04-25,Winter,2018,397,96.9,22,35
"Bay of Biscay",ERR3711554,SAMEA6356516,EN30_Wi2019,EN30,Estuarine,2019-02-12,Winter,2019,293,100,22,34.5
"Bay of Biscay",ERR3711555,SAMEA6356517,EO05_Wi2013,EO05,Estuarine,2013-01-29,Winter,2013,129,98.5,0,1.8
"Bay of Biscay",ERR3711557,SAMEA6356518,EO05_Wi2015,EO05,Estuarine,2015-02-02,Winter,2015,-33,103.5,0,0.3
"Bay of Biscay",ERR3711558,SAMEA6356519,EO05_Wi2016,EO05,Estuarine,2016-01-25,Winter,2016,38,91.5,0,16.6
"Bay of Biscay",ERR3711559,SAMEA6356520,EO05_Wi2017,EO05,Estuarine,2017-02-10,Winter,2017,-33,89.3,0,16.8
"Bay of Biscay",ERR3711561,SAMEA6356521,EO05_Wi2018,EO05,Estuarine,2018-01-19,Winter,2018,78,98.8,0,8.3
"Bay of Biscay",ERR3711562,SAMEA6356522,EO05_Wi2019,EO05,Estuarine,2019-01-21,Winter,2019,NA,105.6,0,32.6
"Bay of Biscay",ERR3711563,SAMEA6356523,EO10_Wi2013,EO10,Estuarine,2013-01-29,Winter,2013,471,97.7,0,7.5
"Bay of Biscay",ERR3711564,SAMEA6356524,EO10_Wi2015,EO10,Estuarine,2015-02-02,Winter,2015,410,91,0,25.3
"Bay of Biscay",ERR3711565,SAMEA6356525,EO10_Wi2016,EO10,Estuarine,2016-01-25,Winter,2016,151,92.7,0,19.9
"Bay of Biscay",ERR3711566,SAMEA6356526,EO10_Wi2017,EO10,Estuarine,2017-02-10,Winter,2017,436,88.2,0,22.1
"Bay of Biscay",ERR3711567,SAMEA6356526,EO10_Wi2017,EO10,Estuarine,2017-02-10,Winter,2017,436,88.2,0,22.1
"Bay of Biscay",ERR3711569,SAMEA6356527,EO10_Wi2018,EO10,Estuarine,2018-01-19,Winter,2018,351,99.7,0,18
"Bay of Biscay",ERR3711570,SAMEA6356528,EO10_Wi2019,EO10,Estuarine,2019-01-21,Winter,2019,311,126,0,25.9
"Bay of Biscay",ERR3711571,SAMEA6356529,EOI10_Su2017,EOI10,Estuarine,2017-08-24,Summer,2017,-204,87.7,10,33.5
"Bay of Biscay",ERR3711573,SAMEA6356530,EOI10_Su2018,EOI10,Estuarine,2018-08-28,Summer,2018,-112,70.2,9.5,27.5
"Bay of Biscay",ERR3711574,SAMEA6356531,EOI10_Wi2013,EOI10,Estuarine,2013-02-08,Winter,2013,99,90.2,10.2,33.7
"Bay of Biscay",ERR3711575,SAMEA6356532,EOI10_Wi2015,EOI10,Estuarine,2015-02-13,Winter,2015,NA,89.15,9.6,35
"Bay of Biscay",ERR3711576,SAMEA6356533,EOI10_Wi2016,EOI10,Estuarine,2016-01-15,Winter,2016,-101,97.2,9.5,35.2
