name,Run,BioSample,Sample,SampleName,"Experiment Title",Molecule,Location,Layer,"O2 (μM)","Redox (mV)",pH
"Marine and Freshwater Sediments",SRR5826240,SAMN07346306,DN082,DNF,"DNA-Seq of Norsminde sediment, layer 2",DNA,"Norsminde Fjord",2,0,0,7.5
"Marine and Freshwater Sediments",SRR5826241,SAMN07346306,DN083,DNF,"DNA-Seq of Norsminde sediment, layer 3",DNA,"Norsminde Fjord",3,0,-100,7.5
"Marine and Freshwater Sediments",SRR5826235,SAMN07346306,DN084,DNF,"DNA-Seq of Norsminde sediment, layer 4",DNA,"Norsminde Fjord",4,0,-100,7.3
"Marine and Freshwater Sediments",SRR5826236,SAMN07346306,DN181,DNF,"DNA-Seq of Norsminde sediment, layer 1",DNA,"Norsminde Fjord",1,125,140,7.85
"Marine and Freshwater Sediments",SRR5826237,SAMN07346306,DN182,DNF,"DNA-Seq of Norsminde sediment, layer 2",DNA,"Norsminde Fjord",2,0,0,7.5
"Marine and Freshwater Sediments",SRR5826233,SAMN07346306,DN183,DNF,"DNA-Seq of Norsminde sediment, layer 3",DNA,"Norsminde Fjord",3,0,-100,7.5
"Marine and Freshwater Sediments",SRR5826232,SAMN07346306,DN184,DNF,"DNA-Seq of Norsminde sediment, layer 4",DNA,"Norsminde Fjord",4,0,-100,7.3
"Marine and Freshwater Sediments",SRR5826231,SAMN07346306,DN461,DNF,"DNA-Seq of Norsminde sediment, layer 1",DNA,"Norsminde Fjord",1,125,140,7.85
"Marine and Freshwater Sediments",SRR5826228,SAMN07346306,DN462,DNF,"DNA-Seq of Norsminde sediment, layer 2",DNA,"Norsminde Fjord",2,0,0,7.5
"Marine and Freshwater Sediments",SRR5826209,SAMN07346306,DN463,DNF,"DNA-Seq of Norsminde sediment, layer 3",DNA,"Norsminde Fjord",3,0,-100,7.5
"Marine and Freshwater Sediments",SRR5826259,SAMN07346306,DN464,DNF,"DNA-Seq of Norsminde sediment, layer 4",DNA,"Norsminde Fjord",4,0,-100,7.3
