Name,Run,BioSample,sample,Layer,Management,Treatment,Lindane,Day,"Eh (mV)",pH
"Paddy Soil Water Management",SRR10091855,SAMN12721294,PPMD-BA-S-42,Topsoil,Draining,Bioaugmentation,Spiked,42,291,5.1
"Paddy Soil Water Management",SRR10091984,SAMN12721163,PL-C-1-0,Subsoil,,NA,NA,0,450,5.13
"Paddy Soil Water Management",SRR10091983,SAMN12721164,PL-C-2-0,Subsoil,,NA,NA,0,450,5.13
"Paddy Soil Water Management",SRR10091976,SAMN12721165,PL-C-3-0,Subsoil,,NA,NA,0,450,5.13
"Paddy Soil Water Management",SRR10091932,SAMN12721169,PLBA-C-1-0,Subsoil,,Bioaugmentation,NA,0,461,5.26
"Paddy Soil Water Management",SRR10091921,SAMN12721170,PLBA-C-2-0,Subsoil,,Bioaugmentation,NA,0,461,5.26
"Paddy Soil Water Management",SRR10091910,SAMN12721171,PLBA-C-3-0,Subsoil,,Bioaugmentation,NA,0,461,5.26
"Paddy Soil Water Management",SRR10091868,SAMN12721175,PLFL-NA-S-7,Subsoil,Flooding,"Natural attenuation",Spiked,7,-214,5.52
"Paddy Soil Water Management",SRR10091854,SAMN12721177,PLFL-BS-S-7,Subsoil,Flooding,Biostimulation,Spiked,7,-204,5.51
"Paddy Soil Water Management",SRR10091980,SAMN12721179,PLFL-BA-S-7,Subsoil,Flooding,Bioaugmentation,Spiked,7,-223,5.47
"Paddy Soil Water Management",SRR10091971,SAMN12721187,PLFL-NA-S-14,Subsoil,Flooding,"Natural attenuation",Spiked,14,-231,5.5
"Paddy Soil Water Management",SRR10091969,SAMN12721189,PLFL-BS-S-14,Subsoil,Flooding,Biostimulation,Spiked,14,-250,5.55
"Paddy Soil Water Management",SRR10091967,SAMN12721191,PLFL-BA-S-14,Subsoil,Flooding,Bioaugmentation,Spiked,14,-309,5.57
"Paddy Soil Water Management",SRR10091958,SAMN12721199,PLFL-NA-U-1-21,Subsoil,Flooding,"Natural attenuation",Unspiked,21,-254,5.53
"Paddy Soil Water Management",SRR10091955,SAMN12721202,PLFL-NA-S-1-21,Subsoil,Flooding,"Natural attenuation",Spiked,21,-234,5.52
"Paddy Soil Water Management",SRR10091945,SAMN12721211,PLFL-BS-U-1-21,Subsoil,Flooding,Biostimulation,Unspiked,21,-322,6.19
"Paddy Soil Water Management",SRR10091941,SAMN12721214,PLFL-BS-S-1-21,Subsoil,Flooding,Biostimulation,Spiked,21,-225,5.55
"Paddy Soil Water Management",SRR10091931,SAMN12721223,PLFL-BA-U-1-21,Subsoil,Flooding,Bioaugmentation,Unspiked,21,-351,5.58
"Paddy Soil Water Management",SRR10091928,SAMN12721226,PLFL-BA-S-1-21,Subsoil,Flooding,Bioaugmentation,Spiked,21,-299,5.54
"Paddy Soil Water Management",SRR10091881,SAMN12721271,PLFL-NA-S-28,Subsoil,Flooding,"Natural attenuation",Spiked,28,-204,5.59
"Paddy Soil Water Management",SRR10091878,SAMN12721273,PLFL-BS-S-28,Subsoil,Flooding,Biostimulation,Spiked,28,-225,5.65
"Paddy Soil Water Management",SRR10091876,SAMN12721275,PLFL-BA-S-28,Subsoil,Flooding,Bioaugmentation,Spiked,28,-253,5.64
"Paddy Soil Water Management",SRR10091867,SAMN12721283,PLFL-NA-S-42,Subsoil,Flooding,"Natural attenuation",Spiked,42,-217,5.59
"Paddy Soil Water Management",SRR10091865,SAMN12721285,PLFL-BS-S-42,Subsoil,Flooding,Biostimulation,Spiked,42,-261,5.98
"Paddy Soil Water Management",SRR10091863,SAMN12721287,PLFL-BA-S-42,Subsoil,Flooding,Bioaugmentation,Spiked,42,-272,5.7
"Paddy Soil Water Management",SRR10091978,SAMN12721181,PLMD-NA-S-7,Subsoil,Draining,"Natural attenuation",Spiked,7,399,5.23
"Paddy Soil Water Management",SRR10091975,SAMN12721183,PLMD-BS-S-7,Subsoil,Draining,Biostimulation,Spiked,7,329,5.6
"Paddy Soil Water Management",SRR10091973,SAMN12721185,PLMD-BA-S-7,Subsoil,Draining,Bioaugmentation,Spiked,7,360,5.17
"Paddy Soil Water Management",SRR10091964,SAMN12721193,PLMD-NA-S-14,Subsoil,Draining,"Natural attenuation",Spiked,14,400,5.16
"Paddy Soil Water Management",SRR10091962,SAMN12721195,PLMD-BS-S-14,Subsoil,Draining,Biostimulation,Spiked,14,336,6.55
"Paddy Soil Water Management",SRR10091960,SAMN12721197,PLMD-BA-S-14,Subsoil,Draining,Bioaugmentation,Spiked,14,370,5.2
"Paddy Soil Water Management",SRR10091918,SAMN12721235,PLMD-NA-U-1-21,Subsoil,Draining,"Natural attenuation",Unspiked,21,390,5.23
"Paddy Soil Water Management",SRR10091915,SAMN12721238,PLMD-NA-S-1-21,Subsoil,Draining,"Natural attenuation",Spiked,21,396,5.22
"Paddy Soil Water Management",SRR10091905,SAMN12721247,PLMD-BS-U-1-21,Subsoil,Draining,Biostimulation,Unspiked,21,333,6.69
"Paddy Soil Water Management",SRR10091902,SAMN12721250,PLMD-BS-S-1-21,Subsoil,Draining,Biostimulation,Spiked,21,340,6.69
"Paddy Soil Water Management",SRR10091892,SAMN12721259,PLMD-BA-U-1-21,Subsoil,Draining,Bioaugmentation,Unspiked,21,362,5.21
"Paddy Soil Water Management",SRR10091888,SAMN12721262,PLMD-BA-S-1-21,Subsoil,Draining,Bioaugmentation,Spiked,21,356,5.24
"Paddy Soil Water Management",SRR10091874,SAMN12721277,PLMD-NA-S-28,Subsoil,Draining,"Natural attenuation",Spiked,28,389,5.22
"Paddy Soil Water Management",SRR10091872,SAMN12721279,PLMD-BS-S-28,Subsoil,Draining,Biostimulation,Spiked,28,334,6.75
"Paddy Soil Water Management",SRR10091870,SAMN12721281,PLMD-BA-S-28,Subsoil,Draining,Bioaugmentation,Spiked,28,364,5.28
"Paddy Soil Water Management",SRR10091861,SAMN12721289,PLMD-NA-S-42,Subsoil,Draining,"Natural attenuation",Spiked,42,399,5.16
"Paddy Soil Water Management",SRR10091859,SAMN12721291,PLMD-BS-S-42,Subsoil,Draining,Biostimulation,Spiked,42,332,6.68
"Paddy Soil Water Management",SRR10091856,SAMN12721293,PLMD-BA-S-42,Subsoil,Draining,Bioaugmentation,Spiked,42,362,5.27
