Run,spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,screened_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR5950497,10332764,10332764,/home/ARAST/work/SRR5950497_pass_1.fastq,10332764,10213562,10162329,7467635,7467589,26979,7440610,6135678,31.2254230094865
SRR5950498,10499172,10499172,/home/ARAST/work/SRR5950498_pass_1.fastq,10499172,10381688,10353597,7382678,7382643,36692,7345951,6020670,31.2281756017187
SRR5950759,12704920,12704920,/home/ARAST/work/SRR5950759_pass_1.fastq,12704920,12590507,12560180,8468237,8466859,35932,8430927,7155994,31.4165643515073
SRR5950777,12213829,12213829,/home/ARAST/work/SRR5950777_pass_1.fastq,12213829,12179974,12178685,5894689,5894649,27006,5867643,5124901,31.7378374723726
SRR5950495,11667569,11667569,/home/ARAST/work/SRR5950495_pass_1.fastq,11667569,11640656,11639352,6119327,6119247,30656,6088591,5378344,31.8333708293854
SRR5950523,3959416,3959416,/home/ARAST/work/SRR5950523_pass_1.fastq,3959416,3959416,3959399,2828546,2823468,13523,2809945,2549142,32.0025969522294
SRR5950533,9631401,9631401,/home/ARAST/work/SRR5950533_pass_1.fastq,9631401,9575116,9569611,5537088,5531745,23977,5507768,4832551,31.7364131283871
SRR5950520,15797767,15797767,/home/ARAST/work/SRR5950520_pass_1.fastq,15797767,15635223,15610925,10183863,10183706,49091,10134615,8508581,31.4539065914751
SRR5950506,17512702,17512702,/home/ARAST/work/SRR5950506_pass_1.fastq,17512702,17350915,17333771,8897682,8894448,42162,8852286,7806170,31.734939541414
SRR5950524,10919648,10919648,/home/ARAST/work/SRR5950524_pass_1.fastq,10919648,10760943,10734476,7073707,7073555,30407,7043148,6042974,31.5184217241378
SRR5950548,6833634,6833634,/home/ARAST/work/SRR5950548_pass_1.fastq,6833634,6749690,6733087,4896693,4896588,23518,4873070,4014149,31.2100831334363
SRR5950511,9838487,9838487,/home/ARAST/work/SRR5950511_pass_1.fastq,9838487,9799887,9798516,7230757,7230639,29548,7201091,6245174,31.6762980503025
SRR5950525,8871069,8871069,/home/ARAST/work/SRR5950525_pass_1.fastq,8871069,8871069,8870939,6366970,6366877,26750,6340127,5482653,31.6656935976069
SRR5950614,10985881,10985881,/home/ARAST/work/SRR5950614_pass_1.fastq,10985881,10900057,10881753,7329696,7329645,32350,7297295,6307466,31.5714400997167
SRR5950567,10214367,10214367,/home/ARAST/work/SRR5950567_pass_1.fastq,10214367,10094771,10045634,6941760,6941175,25098,6916077,5808721,31.3364752757104
SRR5950573,9891390,9891390,/home/ARAST/work/SRR5950573_pass_1.fastq,9891390,9690070,9638599,5773663,5773472,29572,5743900,4935052,31.3662745600249
SRR5950571,5790055,5790055,/home/ARAST/work/SRR5950571_pass_1.fastq,5790055,5729278,5721606,4118474,4118428,21474,4096954,3538593,31.5698372206128
