Run,spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,screened_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR12328934,29477202,29477202,/home/ARAST/work/SRR12328934_pass_1.fastq,29477202,29346445,29052481,11491835,11491333,45271,11446062,10934869,46.6960464729847
SRR12328935,49653737,49653737,/home/ARAST/work/SRR12328935_pass_1.fastq,49653737,49434384,49345454,17037158,17034098,67047,16967051,16365500,47.1700700864624
SRR12328936,10926274,10926274,/home/ARAST/work/SRR12328936_pass_1.fastq,10926274,10876235,10845835,8392171,8391866,29432,8362434,8011243,46.4984457468086
SRR12328937,11130804,11130804,/home/ARAST/work/SRR12328937_pass_1.fastq,11130804,11082081,11056950,8328731,8328644,27799,8300845,7981882,47.1121874515309
SRR12328938,18735631,18735631,/home/ARAST/work/SRR12328938_pass_1.fastq,18735631,18574582,18337441,13456637,12923409,77776,12845633,11969078,45.830263617632
SRR12328939,28931662,28931662,/home/ARAST/work/SRR12328939_pass_1.fastq,28931662,28783550,28527442,15270421,13525586,76573,13449013,12677397,45.4547805831118
SRR12328940,9245598,9245598,/home/ARAST/work/SRR12328940_pass_1.fastq,9245598,9205570,9181670,6395789,6394543,30156,6364387,6140951,47.0294123825447
SRR12328941,14075679,14075679,/home/ARAST/work/SRR12328941_pass_1.fastq,14075679,14019349,13984717,7224378,7223496,40251,7183245,6965717,47.1049910583505
SRR12328942,11471303,11471303,/home/ARAST/work/SRR12328942_pass_1.fastq,11471303,11421387,11306965,7147855,7147333,37757,7109576,6795248,45.6623603730136
SRR12328943,12238736,12238736,/home/ARAST/work/SRR12328943_pass_1.fastq,12238736,12188706,12074309,4057717,4038266,12705,4025561,3798670,45.9524688904274
SRR12328944,13897510,13897510,/home/ARAST/work/SRR12328944_pass_1.fastq,13897510,13839272,13795373,4364142,4349419,17788,4331631,4121277,46.4582203525752
SRR12328945,14280314,14280314,/home/ARAST/work/SRR12328945_pass_1.fastq,14280314,14220870,14162587,6659011,6657611,15390,6642221,6330820,46.8207804044342
SRR12328946,5589079,5589079,/home/ARAST/work/SRR12328946_pass_1.fastq,5589079,5566109,5553733,3658868,3658549,10117,3648432,3480448,46.9907434330293
SRR12328947,8738432,8738432,/home/ARAST/work/SRR12328947_pass_1.fastq,8738432,8701318,8672616,4825831,4819073,12250,4806823,4582648,46.7799089085612
SRR12328948,10831211,10831211,/home/ARAST/work/SRR12328948_pass_1.fastq,10831211,10783996,10717442,5968363,5964909,12908,5952001,5638508,46.4426110595214
SRR12328949,14512743,14512743,/home/ARAST/work/SRR12328949_pass_1.fastq,14512743,14442698,14405421,10540630,10538649,53670,10484979,10106018,47.0843291591208
SRR12328950,11118724,11118724,/home/ARAST/work/SRR12328950_pass_1.fastq,11118724,11071090,11023466,8420544,8418522,44678,8373844,8061042,46.9314969454321
SRR12328951,13019613,13019613,/home/ARAST/work/SRR12328951_pass_1.fastq,13019613,12957963,12887276,7642547,7642023,46905,7595118,7287117,46.6777194602474
SRR12328952,15304603,15304603,/home/ARAST/work/SRR12328952_pass_1.fastq,15304603,15239139,14785835,9603624,9602120,40957,9561163,8812893,44.189147536456
SRR12328953,14021675,14021675,/home/ARAST/work/SRR12328953_pass_1.fastq,14021675,13961306,13927187,10077835,9938296,41465,9896831,9511641,47.116220954933
SRR12328954,6334377,6334377,/home/ARAST/work/SRR12328954_pass_1.fastq,6334377,6308378,6284347,4878764,4877464,20234,4857230,4665430,46.9615908930152
SRR12328955,9473635,9473635,/home/ARAST/work/SRR12328955_pass_1.fastq,9473635,9424013,9263071,5149415,5147948,20578,5127370,4820345,45.4111909002364
SRR12328956,7218961,7218961,/home/ARAST/work/SRR12328956_pass_1.fastq,7218961,7185248,7152678,5339526,5338867,22974,5315893,5068622,46.8760160059282
SRR12328957,16623312,16623312,/home/ARAST/work/SRR12328957_pass_1.fastq,16623312,16546322,16482023,12193386,12192540,61291,12131249,11628987,46.4279683174467
SRR12328958,10451799,10451799,/home/ARAST/work/SRR12328958_pass_1.fastq,10451799,10399086,10369090,8489890,8485878,52055,8433823,8122594,47.0223460633389
