Run,spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,screened_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
ERR7672710,9210086,9210086,/home/ARAST/work/ERR7672710_pass_1.fastq,9210086,9166853,9163473,6296401,6296310,46532,6249778,5716973,31.9454554009613
ERR7672712,25827485,25827485,/home/ARAST/work/ERR7672712_pass_1.fastq,25827485,25723528,25699262,15665904,15665822,128369,15537453,14476492,31.7836704499958
ERR7672715,6471733,6471733,/home/ARAST/work/ERR7672715_pass_1.fastq,6471733,6443212,6440902,4578389,4578274,28224,4550050,4286648,32.06562983478
ERR7672717,28813051,28813051,/home/ARAST/work/ERR7672717_pass_1.fastq,28813051,28681001,28667121,16160625,16160576,75644,16084932,15141844,32.0325036369414
ERR7672719,12953101,12953101,/home/ARAST/work/ERR7672719_pass_1.fastq,12953101,12896457,12888587,6895328,6895206,35154,6860052,6457770,32.039723310059
ERR7672722,8364214,8364214,/home/ARAST/work/ERR7672722_pass_1.fastq,8364214,8328206,8324853,5804813,5804745,39192,5765553,5441295,32.0576546575769
ERR7672730,7138143,7138143,/home/ARAST/work/ERR7672730_pass_1.fastq,7138143,7106209,7103749,4876689,4876611,27106,4849505,4534878,32.0790078586458
ERR7672735,12054402,12054402,/home/ARAST/work/ERR7672735_pass_1.fastq,12054402,11999579,11994878,9120487,9120423,51037,9069386,8519030,32.0062755971044
ERR7672736,7250024,7250024,/home/ARAST/work/ERR7672736_pass_1.fastq,7250024,7217341,7214303,5104469,5104385,29731,5074654,4745370,32.0478634964186
ERR7672738,5877841,5877841,/home/ARAST/work/ERR7672738_pass_1.fastq,5877841,5848049,5840415,4233512,4233376,24730,4208646,3925325,31.8776605758759
ERR7672739,16321953,16321953,/home/ARAST/work/ERR7672739_pass_1.fastq,16321953,16245598,16237655,10562077,10561990,66785,10495205,9852428,31.9730307087755
ERR7672740,6147271,6147271,/home/ARAST/work/ERR7672740_pass_1.fastq,6147271,6120266,6117585,5011271,5011192,37317,4973875,4667177,32.0327542752289
ERR7672741,11248920,11248920,/home/ARAST/work/ERR7672741_pass_1.fastq,11248920,11199318,11194046,7811124,7811039,48862,7762177,7306489,31.9605092131118
ERR7672742,5865086,5865086,/home/ARAST/work/ERR7672742_pass_1.fastq,5865086,5836727,5830939,4371057,4370964,26898,4344066,4043302,31.9098494250491
ERR7672746,7209924,7209924,/home/ARAST/work/ERR7672746_pass_1.fastq,7209924,7176718,7173339,5462102,5462000,32213,5429787,5097661,31.9681810932504
ERR7672749,6856273,6856273,/home/ARAST/work/ERR7672749_pass_1.fastq,6856273,6827975,6825037,4482009,4481932,26359,4455573,4186713,31.9868557983315
ERR7672751,5310488,5310488,/home/ARAST/work/ERR7672751_pass_1.fastq,5310488,5286934,5284382,4032913,4032801,29058,4003743,3762773,31.9778176892414
ERR7672762,14352935,14352935,/home/ARAST/work/ERR7672762_pass_1.fastq,14352935,14285092,14279474,9567454,9567415,53902,9513513,8940934,32.0058530797789
ERR7672763,18688389,18688389,/home/ARAST/work/ERR7672763_pass_1.fastq,18688389,18581331,18556354,10623742,10623703,65840,10557863,9752622,31.9260153833502
ERR7672764,8658404,8658404,/home/ARAST/work/ERR7672764_pass_1.fastq,8658404,8620351,8613674,6148662,6148568,31256,6117312,5735048,31.8832566004679
ERR7672765,7511639,7511639,/home/ARAST/work/ERR7672765_pass_1.fastq,7511639,7480438,7474075,5480725,5480618,36063,5444555,5151963,31.8639085723248
ERR7672766,11141555,11141555,/home/ARAST/work/ERR7672766_pass_1.fastq,11141555,11092729,11087314,7050249,7050167,40930,7009237,6603612,32.0795422262846
ERR7672768,11795985,11795985,/home/ARAST/work/ERR7672768_pass_1.fastq,11795985,11744652,11731383,7339289,7339162,36187,7302975,6812318,31.8333228131746
ERR7672769,9213500,9213500,/home/ARAST/work/ERR7672769_pass_1.fastq,9213500,9170565,9166046,6783392,6783289,40387,6742902,6323760,32.0450633800144
ERR7672770,13043348,13043348,/home/ARAST/work/ERR7672770_pass_1.fastq,13043348,12985059,12977863,8935177,8935080,44529,8890551,8309292,31.9811827529951
ERR7672774,24952568,24952568,/home/ARAST/work/ERR7672774_pass_1.fastq,24952568,24830330,24794180,14871549,14871470,76359,14795111,13785304,31.8321949229411
ERR7672776,9787635,9787635,/home/ARAST/work/ERR7672776_pass_1.fastq,9787635,9743840,9740046,7297890,7297857,40692,7257165,6802241,31.9476443131021
ERR7672778,5514110,5514110,/home/ARAST/work/ERR7672778_pass_1.fastq,5514110,5488229,5485433,3684303,3684202,27061,3657141,3402320,31.9879905476263
ERR7672781,5835654,5835654,/home/ARAST/work/ERR7672781_pass_1.fastq,5835654,5808027,5804663,4306220,4306133,26559,4279574,4023147,32.0474121378115
ERR7672782,7091025,7091025,/home/ARAST/work/ERR7672782_pass_1.fastq,7091025,7059066,7055301,5506360,5506260,40087,5466173,5129530,31.9518478301131
ERR7672784,16793106,16793106,/home/ARAST/work/ERR7672784_pass_1.fastq,16793106,16713700,16705147,12089129,12089076,63915,12025161,11287200,32.0585521652846
ERR7672788,16869255,16869255,/home/ARAST/work/ERR7672788_pass_1.fastq,16869255,16788693,16780263,11490495,11490451,69074,11421377,10721115,32.0091179881943
ERR7672790,6226267,6226267,/home/ARAST/work/ERR7672790_pass_1.fastq,6226267,6199677,6197414,4537989,4537903,34837,4503066,4254116,32.038783380613
ERR7672792,5050244,5050244,/home/ARAST/work/ERR7672792_pass_1.fastq,5050244,5028830,5026320,4119541,4119429,32229,4087200,3839524,31.965986148283
ERR7672794,8323114,8323114,/home/ARAST/work/ERR7672794_pass_1.fastq,8323114,8286749,8281317,5730380,5730259,38326,5691933,5324100,31.9328002854943
ERR7672796,9895863,9895863,/home/ARAST/work/ERR7672796_pass_1.fastq,9895863,9855087,9851486,6438508,6438410,41852,6396558,6035536,32.0924603879423
ERR7672797,9832411,9832411,/home/ARAST/work/ERR7672797_pass_1.fastq,9832411,9783481,9774330,7416987,7416980,52640,7364340,6914291,31.9685045075482
ERR7672798,22419862,22419862,/home/ARAST/work/ERR7672798_pass_1.fastq,22419862,22315828,22304241,11858352,11858272,57528,11800744,11007557,32.0165683448198
ERR7672800,7109080,7109080,/home/ARAST/work/ERR7672800_pass_1.fastq,7109080,7074173,7070376,5190265,5190241,25995,5164246,4812886,31.9669005249657
ERR7672802,8331646,8331646,/home/ARAST/work/ERR7672802_pass_1.fastq,8331646,8289732,8281397,5790255,5790200,34942,5755258,5350991,31.9462387434402
ERR7672805,5669440,5669440,/home/ARAST/work/ERR7672805_pass_1.fastq,5669440,5641771,5637909,3708950,3708818,27855,3680963,3406304,31.9271477237498
ERR7672807,18654194,18654194,/home/ARAST/work/ERR7672807_pass_1.fastq,18654194,18572077,18563617,12402301,12402259,68680,12333579,11662148,32.1002161008418
ERR7672808,8882563,8882563,/home/ARAST/work/ERR7672808_pass_1.fastq,8882563,8825592,8808987,6575242,6575180,39337,6535843,5980402,31.8037262378014
