Run,spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR062094,29753611,2425335,/home/ARAST/work/SRR062094_pass_1.fastq,2425335,2090401,1967002,1033397,43427,989970,712404,30.7677287044991
SRR062106,31994755,9253184,/home/ARAST/work/SRR062106_pass_1.fastq,9253184,9053829,8907284,6088081,29324,6058757,5504744,31.7722420879154
SRR062335,32142746,2512656,/home/ARAST/work/SRR062335_pass_1.fastq,2512656,2491385,2343935,1464623,35379,1429244,1192636,31.323589930205
SRR062399,28840824,3419116,/home/ARAST/work/SRR062399_pass_1.fastq,3419116,3150020,2870584,2445468,20120,2425348,2016667,30.8344739116572
SRR062419,27155021,23390425,/home/ARAST/work/SRR062419_pass_1.fastq,23390425,23278316,22579871,20318429,132110,20186319,17490440,31.0761973398039
SRR062429,26405841,7872364,/home/ARAST/work/SRR062429_pass_1.fastq,7872364,7830922,7439580,6145830,67296,6078534,5090778,30.8408105794439
SRR062440,26791246,3219390,/home/ARAST/work/SRR062440_pass_1.fastq,3219390,1601979,1481350,644384,18348,626036,453667,30.6807834821576
SRR062442,32170013,12845573,/home/ARAST/work/SRR062442_pass_1.fastq,12845573,8408658,7979577,2854530,36551,2817979,2242596,30.9208573456833
SRR062458,25356519,2202101,/home/ARAST/work/SRR062458_pass_1.fastq,2202101,2185321,2056976,1954452,17409,1937043,1611499,30.852250606423
SRR062461,27479792,250856,/home/ARAST/work/SRR062461_pass_1.fastq,250856,68848,56367,48679,1093,47586,32827,30.6186370975112
SRR062522,36121891,22873570,/home/ARAST/work/SRR062522_pass_1.fastq,22873570,22734408,20763467,7566891,45903,7520988,5881694,30.6222700466906
SRR063912,28152739,3049785,/home/ARAST/work/SRR063912_pass_1.fastq,3049785,2246167,2093760,1277781,35875,1241906,908253,30.4941266365209
SRR063925,26658156,1339634,/home/ARAST/work/SRR063925_pass_1.fastq,1339634,911362,864266,482046,5108,476938,373458,30.3943549207675
SRR346655,31626755,2074786,/home/ARAST/work/SRR346655_pass_1.fastq,2074786,1907140,1773485,1039386,34880,1004506,790284,31.1666362978372
SRR346690,106455830,6355014,/home/ARAST/work/SRR346690_pass_1.fastq,6355014,6216609,5543089,2528725,57899,2470826,1625881,30.5172242002951
SRR346709,100413332,6521908,/home/ARAST/work/SRR346709_pass_1.fastq,6521908,6384516,5596262,2714961,70520,2644441,1787077,30.4887674118127
SRR346717,27660488,7326326,/home/ARAST/work/SRR346717_pass_1.fastq,7326326,7275392,7105606,3909700,24403,3885297,3480078,31.4493295839921
SRR353633,36919617,9963516,/home/ARAST/work/SRR353633_pass_1.fastq,9963516,9337452,8811774,8013722,83516,7930206,6733837,31.2244427656921
SRR514852,103277769,3140387,/home/ARAST/work/SRR514852_pass_1.fastq,3140387,2954611,2871348,2315110,16699,2298411,2070233,31.4919721596555
