Name,Run,BioSample,SampleName
IBD,SRR6153731,SAMN07765640,sUC16i_16s
IBD,SRR6153728,SAMN07765641,sUC17a.T1_16s
IBD,SRR6153729,SAMN07765642,sUC17a.T2_16s
IBD,SRR6153736,SAMN07765643,sUC17a.T3_16s
IBD,SRR6153737,SAMN07765644,sUC17i.T1_16s
IBD,SRR6153770,SAMN07765677,sUC31a_16s
IBD,SRR6153771,SAMN07765678,sUC31i_16s
IBD,SRR6153768,SAMN07765683,sUC35a_16s
IBD,SRR6153769,SAMN07765684,sUC35i_16s
IBD,SRR6153712,SAMN07765765,sUC90i_16s
IBD,SRR6153713,SAMN07765766,sUC91a_16s
IBD,SRR6153716,SAMN07765769,sUC92i_16s
IBD,SRR6153717,SAMN07765770,sUC93a_16s
IBD,SRR6153714,SAMN07765771,sUC93i_16s
IBD,SRR6153715,SAMN07765772,sUC94i_16s
IBD,SRR6153800,SAMN07765465,sCD17i_16s
IBD,SRR6153801,SAMN07765466,sCD18a_16s
IBD,SRR6153802,SAMN07765467,sCD18i_16s
IBD,SRR6153803,SAMN07765468,sCD19a_16s
IBD,SRR6153804,SAMN07765469,sCD19i_16s
IBD,SRR6153805,SAMN07765470,sCD20a_16s
IBD,SRR6153806,SAMN07765471,sCD20i_16s
IBD,SRR6153807,SAMN07765472,sCD21a_16s
IBD,SRR6153798,SAMN07765473,sCD21i_16s
IBD,SRR6153799,SAMN07765474,sCD22a_16s
IBD,SRR6153792,SAMN07765565,sHT24.1_16s
IBD,SRR6153793,SAMN07765566,sHT24.2_16s
IBD,SRR6153794,SAMN07765567,sHT28.1_16s
IBD,SRR6153795,SAMN07765568,sHT28.2_16s
IBD,SRR6153788,SAMN07765569,sHT30.1_16s
IBD,SRR6153789,SAMN07765570,sHT30.2_16s
IBD,SRR6153790,SAMN07765571,sHT32.1_16s
IBD,SRR6153791,SAMN07765572,sHT32.2_16s
IBD,SRR6153796,SAMN07765573,sHT34.1_16s
IBD,SRR6153797,SAMN07765574,sHT34.2_16s
IBD,SRR6153779,SAMN07765575,sHT41.1_16s
IBD,SRR6153778,SAMN07765576,sHT41.2_16s
IBD,SRR6153781,SAMN07765577,sHT42.1_16s
IBD,SRR6153780,SAMN07765578,sHT42.2_16s
IBD,SRR6153783,SAMN07765579,sHT43.1_16s
IBD,SRR6153782,SAMN07765580,sHT43.2_16s
IBD,SRR6153785,SAMN07765581,sHT44.1_16s
IBD,SRR6153784,SAMN07765582,sHT44.2_16s
IBD,SRR6153787,SAMN07765583,sHT45.1_16s
IBD,SRR6153786,SAMN07765584,sHT45.2_16s
IBD,SRR6153829,SAMN07765649,sUC19a_16s
IBD,SRR6153828,SAMN07765650,sUC19i_16s
IBD,SRR6153831,SAMN07765651,sUC20a_16s
IBD,SRR6153830,SAMN07765652,sUC20i_16s
IBD,SRR6153772,SAMN07765675,sUC30a_16s
IBD,SRR6153773,SAMN07765676,sUC30i_16s
IBD,SRR6153776,SAMN07765679,sUC32a_16s
IBD,SRR6153777,SAMN07765680,sUC32i_16s
IBD,SRR6153774,SAMN07765681,sUC33a_16s
IBD,SRR6153775,SAMN07765682,sUC33i_16s
IBD,SRR6153816,SAMN07765715,sUC59a_16s
IBD,SRR6153817,SAMN07765716,sUC60a_16s
IBD,SRR6153814,SAMN07765717,sUC60i_16s
IBD,SRR6153815,SAMN07765718,sUC61a_16s
IBD,SRR6153812,SAMN07765719,sUC62a_16s
IBD,SRR6153813,SAMN07765720,sUC63a_16s
IBD,SRR6153810,SAMN07765721,sUC64a_16s
IBD,SRR6153811,SAMN07765722,sUC64i_16s
IBD,SRR6153808,SAMN07765723,sUC65a_16s
IBD,SRR6153809,SAMN07765724,sUC65i_16s
IBD,SRR6153821,SAMN07765755,sUC85i_16s
IBD,SRR6153820,SAMN07765756,sUC86a_16s
IBD,SRR6153823,SAMN07765757,sUC86i_16s
IBD,SRR6153822,SAMN07765758,sUC87a_16s
IBD,SRR6153825,SAMN07765759,sUC87i_16s
IBD,SRR6153824,SAMN07765760,sUC88a_16s
IBD,SRR6153827,SAMN07765761,sUC88i_16s
IBD,SRR6153826,SAMN07765762,sUC89a_16s
IBD,SRR6153819,SAMN07765763,sUC89i_16s
IBD,SRR6153818,SAMN07765764,sUC90a_16s
IBD,SRR6153846,SAMN07765435,sCD01a_16s
IBD,SRR6153847,SAMN07765436,sCD01i_16s
IBD,SRR6153844,SAMN07765437,sCD02a.T2_16s
IBD,SRR6153845,SAMN07765438,sCD02i.T1_16s
IBD,SRR6153842,SAMN07765439,sCD02i.T2_16s
IBD,SRR6153843,SAMN07765440,sCD03a_16s
IBD,SRR6153840,SAMN07765441,sCD03i_16s
IBD,SRR6153841,SAMN07765442,sCD04a_16s
IBD,SRR6153838,SAMN07765443,sCD04i_16s
IBD,SRR6153839,SAMN07765444,sCD05a_16s
IBD,SRR6153850,SAMN07765605,sHT57.1_16s
IBD,SRR6153851,SAMN07765606,sHT57.2_16s
IBD,SRR6153852,SAMN07765607,sUC01a_16s
IBD,SRR6153853,SAMN07765608,sUC01i_16s
IBD,SRR6153854,SAMN07765609,sUC02a_16s
IBD,SRR6153855,SAMN07765610,sUC02i_16s
IBD,SRR6153856,SAMN07765611,sUC03a_16s
IBD,SRR6153857,SAMN07765612,sUC03i_16s
IBD,SRR6153848,SAMN07765613,sUC04a_16s
IBD,SRR6153849,SAMN07765614,sUC04i_16s
IBD,SRR6153833,SAMN07765645,sUC17i.T2_16s
IBD,SRR6153832,SAMN07765646,sUC17i.T3_16s
IBD,SRR6153835,SAMN07765647,sUC18a_16s
IBD,SRR6153834,SAMN07765648,sUC18i_16s
IBD,SRR6153837,SAMN07765653,sUC21a_16s
IBD,SRR6153836,SAMN07765654,sUC21i_16s
