old,new,source
A2BFH1,P0DN37,LMM16
A2BFH1,A0A0B4J2A2,LMM16
A4D104,C9J7I0,LMM16
A6NFL8,A6NEM1,LMM16
A6NP22,Q02505,LMM16
Q15614,Q6IF36,LMM16
Q15614,P0DMU2,LMM16
Q4VX67,Q8IWB4,LMM16
Q5RGS2,Q5TZJ5,LMM16
Q5SXJ2,Q8N660,LMM16
Q5T2P8,P13928,LMM16
Q6NSH3,P0DMU8,LMM16
Q6NSH3,P0DMU9,LMM16
A6PW82,Q6ZTR5,LMM16
Q8N9S7,Q6ZTR5,LMM16
Q8TAD1,Q9NY87,LMM16
P0CB43,Q9BTY7,HZW+17
B7ZN27,B2RQC6,BHB+15
D6RDE2,D6RDE2,BHB+15
F2Z459,Q80X81,BHB+15
F7A6H4,E9Q555,BHB+15
F7AC41,Q91VU7,BHB+15
G3UWA6,P10852,BHB+15
G3X9N6,B9EJ86,BHB+15
J3QNB1,Q6ZQ58,BHB+15
Q8BH78,Q99P72,BHB+15
Q8BHF5,Q99P72,BHB+15
Q91XR9,O70325,BHB+15
D9YZV3,P09493,BZQ+14
Q96PK2,Q9UPN3,BZQ+14
Q1HE25,P12814,YKK+13
Q8TBV2,P07355,YKK+13
Q6FHB3,P08758,YKK+13
Q548L2,P08670,YKK+13
Q53SA7,P40121,YKK+13
Q561V9,P60660,YKK+13
Q6FGI1,P37802,YKK+13
Q68CK0,P04217,YKK+13
Q6FI10,P04075,YKK+13
Q53X65,P04406,YKK+13
Q6P4C7,P05787,YKK+13
Q6IBA7,P17931,YKK+13
Q5J7W1,P00558,YKK+13
Q6UYC3,P02545,YKK+13
Q6U2E9,P0C0L5,YKK+13
Q5VYK1,Q99715,YKK+13
Q53FT9,P06733,YKK+13
Q3MIF5,P69905,YKK+13
Q6DRA9,P62805,YKK+13
Q68DT4,P02751,YKK+13
Q6N025,P02751,YKK+13
Q5T986,P19823,YKK+13
Q5U0N8,P05783,YKK+13
Q5T539,P02763,YKK+13
Q6S380,Q15149,YKK+13
Q6S377,Q15149,YKK+13
Q53GK4,P14618,YKK+13
Q6FHP9,P60174,YKK+13
Q4VX75,P15311,YKK+13
Q9UDX0,Q02218,YKK+13
Q6IAZ4,P14550,YKK+13
Q59HF8,P31327,YKK+13
Q3LHW8,P16152,YKK+13
Q9UP41,P19835,YKK+13
Q5U809,P04118,YKK+13
Q8TAQ6,Q99798,YKK+13
Q9UPC6,A8K7I4,YKK+13
Q7Z4L1,P63241,YKK+13
Q53EQ4,P50440,YKK+13
Q6FH47,P63244,YKK+13
Q38L19,P10809,YKK+13
Q3KNR1,P00480,YKK+13
Q6B010,Q13087,YKK+13
Q8NEG6,Q14651,YKK+13
Q6NXQ8,P08865,YKK+13
Q6FGN8,P27635,YKK+13
Q3MNF1,P35749,YKK+13
A1L3A8,Q7RTW8,SWW+18
A2BHY4,P0C0L5,SWW+18
A5YVE9,P08559,SWW+18
A6NCD2,P40227,SWW+18
A6NP15,O00232,SWW+18
A8K4I2,P16403,SWW+18
A8K5B8,Q9H0K1,SWW+18
B0QYK1,Q01844,SWW+18
B1ANK7,P07954,SWW+18
B2RCS5,P35609,SWW+18
B2RDM2,Q8NBS9,SWW+18
B2RWP9,P35580,SWW+18
B3KVI7,P26440,SWW+18
B4DFA2,P46459,SWW+18
B4DHP6,P22307,SWW+18
B4DKJ3,P49747,SWW+18
B4DLW8,P17844,SWW+18
B4DPK6,Q9GZM7,SWW+18
B4DQJ8,P52209,SWW+18
B4DQS6,Q96PC5,SWW+18
B4DS13,P23588,SWW+18
B4DUC1,P28331,SWW+18
B4DW28,P60866,SWW+18
B4DW75,Q12805,SWW+18
A8K092,P25705,SWW+18
B4DY56,P25705,SWW+18
B3KY95,Q15084,SWW+18
B5MCQ5,Q15084,SWW+18
B5ME91,Q53EL6,SWW+18
B7WPK8,Q8IYW2,SWW+18
B7Z1M3,O95741,SWW+18
B7Z3H1,Q03001,SWW+18
B7Z416,Q9BPW9,SWW+18
B7Z418,Q13418,SWW+18
B7Z6B8,Q16698,SWW+18
B7ZKY7,Q6ZMI0,SWW+18
B9EGQ7,O43432,SWW+18
C0IMJ1,Q15063,SWW+18
C8KIL8,P00390,SWW+18
C9JIM0,P30039,SWW+18
D2JYH5,P02461,SWW+18
D2JYH6,P35555,SWW+18
D3DQX5,P80303,SWW+18
E5RJU0,P14927,SWW+18
B3KPQ7,O94875,SWW+18
E9PAW4,O94875,SWW+18
E9PCU0,P12107,SWW+18
E9PDJ0,Q13936,SWW+18
E9PE77,P02751,SWW+18
E9PH29,P30048,SWW+18
F1T092,P36955,SWW+18
F8VWC5,Q07020,SWW+18
F8W1L5,P21695,SWW+18
F8WA86,Q15417,SWW+18
F8WAI1,Q86VF2,SWW+18
Q4ZG28,P05451,SWW+18
Q6FG38,P51888,SWW+18
Q6PHY0,Q9Y6J0,SWW+18
Q7Z5V9,Q9ULX5,SWW+18
Q6GTG1,P02774,CVJ+15;YKK+13
Q5SYR1,P00352,CVJ+15;YKK+13
B4DEG8,P26639,GSB+14;SWW+18
B4DMU0,P32322,GSB+14;SWW+18
E9PFM1,Q04637,GSB+14;SWW+18
Q3ZCX9,Q91W89,PDT+19
Q3UW66,Q99J99,PDT+19
Q3TKZ9,E9Q5C9,PDT+19
Q4FK30,Q61009,PDT+19
Q3U9X3,Q91WE2,PDT+19
A2AIX1,E9QAT4,PDT+19
F5H3A1,P05023,GSB+14
A6NCK0,Q13564,GSB+14
A8KAH5,P53990,GSB+14
A8MU24,P42785,GSB+14
A8MV58,Q16643,GSB+14
A8MVM2,P55083,GSB+14
B0V2C8,P0C0L4,GSB+14
B4DFQ6,Q96CM8,GSB+14
B4DHX5,P22570,GSB+14
B4DK36,Q92633,GSB+14
B4DKT0,Q9H8Y8,GSB+14
B4DNJ6,Q9Y3F4,GSB+14
B4DRT2,Q92552,GSB+14
B4DTU0,Q13740,GSB+14
B4DW92,Q86WQ0,GSB+14
B4E040,P11234,GSB+14
B4E1F0,P05155,GSB+14
B4E2N0,Q8WZA0,GSB+14
B7WNV6,Q6ICL3,GSB+14
B7WPD3,Q15370,GSB+14
B7Z5Z2,P62070,GSB+14
B7Z6C0,P52943,GSB+14
B7Z7Q0,P48739,GSB+14
B7ZKT7,Q9BQS8,GSB+14
C9J2F8,Q5JS54,GSB+14
C9J2K4,Q16864,GSB+14
C9JPG0,Q12765,GSB+14
C9JQE6,O94911,GSB+14
C9JS94,Q9H3U5,GSB+14
E2QRD5,Q7Z6K5,GSB+14
E7EPA7,P29401,GSB+14
E7EPK6,P62847,GSB+14
E7EQD2,Q8NBI5,GSB+14
E7EQD5,Q15833,GSB+14
E9PB02,P78346,GSB+14
E9PCL5,P56945,GSB+14
E9PEQ4,P50570,GSB+14
E9PF86,O95394,GSB+14
E9PFP3,P33241,GSB+14
E9PFU1,Q8WUM4,GSB+14
E9PFZ5,Q13308,GSB+14
E9PHX7,P52594,GSB+14
F2Z2F2,P09455,GSB+14
F5H098,P40925,GSB+14
F5H301,Q9UDY2,GSB+14
F5H5E4,P54687,GSB+14
F5H7K4,Q6PIU2,GSB+14
F5H8B1,Q99447,GSB+14
F8W1H5,P51148,GSB+14
F8W1P5,Q8NEU8,GSB+14
G3V1S2,Q13617,GSB+14
G3XA95,O14494,GSB+14
G3XAF6,P49961,GSB+14
G5E949,P51649,GSB+14
G5E9M5,Q12906,GSB+14
G5E9P9,P52306,GSB+14
G5E9Q2,O75534,GSB+14
G5E9Y2,Q9NQW7,GSB+14
G8JLL9,A1L2Z2,GSB+14
I3L080,Q7Z4V5,GSB+14
I3L416,P57737,GSB+14
Q5JWU6,O43399,GSB+14
Q5QPH3,Q9NR19,GSB+14
Q5SZ07,P51858,GSB+14
Q6IC75,Q9UJY5,GSB+14
Q6JUT2,Q86XR7,GSB+14
Q6ZMH6,Q9BXJ1,GSB+14
A6NKF9,P0CG08,BST+17
Q9NUX4,P49753,CVJ+15
Q8IUM9,O95573,CVJ+15
Q4ZGI9,P00325,CVJ+15
Q4W5C5,P43652,CVJ+15
Q8TAX1,O95154,CVJ+15
Q6FH76,P04075,CVJ+15
Q9UC58,P02760,CVJ+15
Q45F94,Q16853,CVJ+15
Q4TTY5,Q9BXS5,CVJ+15
Q6Q785,P02647,CVJ+15
B2R579,P05090,CVJ+15
P32889,P84078,CVJ+15
P32889,P84077,CVJ+15
P32889,P84079,CVJ+15
P32889,P84080,CVJ+15
B2R7J7,P18085,CVJ+15
Q7Z630,Q8NHH9,CVJ+15
Q8N4N0,P25311,CVJ+15
Q86UJ6,Q9UIG0,CVJ+15
Q13979,Q05682,CVJ+15
Q6IAT4,P27797,CVJ+15
Q9UQE9,Q13557,CVJ+15
Q9UQH6,Q03135,CVJ+15
Q5U5S1,P00746,CVJ+15
Q9NU86,P08603,CVJ+15
B3KUQ1,P23528,CVJ+15
Q6FGX6,P05452,CVJ+15
B5BUM8,P23946,CVJ+15
Q69YT0,A6NMZ7,CVJ+15
Q86XM5,Q14019,CVJ+15
Q14063,P00450,CVJ+15
Q8NEW9,P35222,CVJ+15
P08869,P07108,CVJ+15
Q13534,P30046,CVJ+15
Q8IZR6,P17661,CVJ+15
Q59EV8,P09622,CVJ+15
A8K981,Q07507,CVJ+15
Q5W166,P60981,CVJ+15
O14611,Q9H4M9,CVJ+15
O15336,P15502,CVJ+15
A6H8Y6,Q9HC35,CVJ+15
Q5VTQ9,Q8N8S7,CVJ+15
Q76E58,P58107,CVJ+15
A8MYW1,Q96HE7,CVJ+15
B4E1A7,P00734,CVJ+15
Q9UCV7,Q02790,CVJ+15
P04697,P62871,CVJ+15
P04697,P62872,CVJ+15
P04697,P62873,CVJ+15
P04697,P62874,CVJ+15
O60550,P21266,CVJ+15
Q7Z3T2,P78417,CVJ+15
Q549U0,P08236,CVJ+15
A6NFA8,Q71UI9,CVJ+15
Q6DRA7,Q16777,CVJ+15
B2R4S4,Q7L7L0,CVJ+15
Q9NQW0,P08238,CVJ+15
Q6NXT5,Q9NPH2,CVJ+15
Q4VAK0,P11215,CVJ+15
Q6PJX7,Q07666,CVJ+15
Q6P0Q9,Q8N163,CVJ+15
P01043,P01042,CVJ+15
Q9H298,P04264,CVJ+15
Q8N175,P13645,CVJ+15
Q9UBG8,P08779,CVJ+15
