taxid	lineage	name	rank	SRR15720303	SRR15720304	SRR15720305	SRR15720306	SRR15720307	SRR15720308	SRR15720309	SRR15720310	SRR15720311	SRR15720312	SRR15720313	SRR15720314	SRR15720315	SRR15720316	SRR15720317	SRR15720318	SRR15720319	SRR15720320	SRR15720321	SRR15720322
-3994	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Negativicutes;class;Selenomonadales;order;Selenomonadaceae;family;unclassified_Selenomonadaceae;;	unclassified_Selenomonadaceae		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2724	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Negativicutes;class;Selenomonadales;order;unclassified_Selenomonadales;;	unclassified_Selenomonadales		0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
3999	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Negativicutes;class;Acidaminococcales;order;	Acidaminococcales	order	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	25	0	7
2724	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Negativicutes;class;Acidaminococcales;order;Acidaminococcaceae;family;	Acidaminococcaceae	family	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	25	0	7
-2725	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Negativicutes;class;Acidaminococcales;order;Acidaminococcaceae;family;unclassified_Acidaminococcaceae;;	unclassified_Acidaminococcaceae		0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7
2514	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Negativicutes;class;Acidaminococcales;order;Acidaminococcaceae;family;Acidaminococcus;genus;	Acidaminococcus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	25	0	0
-2723	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Negativicutes;class;unclassified_Negativicutes;;	unclassified_Negativicutes		0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
-2260	Root;rootrank;Bacteria;domain;Firmicutes;phylum;unclassified_Firmicutes;;	unclassified_Firmicutes		53	17	1	181	0	89	3	308	12	24	6	15	77	20	81	31	218	0	308	41
2558	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;	Erysipelotrichia	class	0	3	0	0	0	0	0	0	5	3	2	8	0	0	0	4	7	249	0	0
2559	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;	Erysipelotrichales	order	0	3	0	0	0	0	0	0	5	3	2	8	0	0	0	4	7	249	0	0
2560	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;Erysipelotrichaceae;family;	Erysipelotrichaceae	family	0	3	0	0	0	0	0	0	5	3	2	8	0	0	0	4	7	249	0	0
-2561	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Erysipelotrichia;class;Erysipelotrichales;order;Erysipelotrichaceae;family;unclassified_Erysipelotrichaceae;;	unclassified_Erysipelotrichaceae		0	3	0	0	0	0	0	0	5	3	2	8	0	0	0	4	7	249	0	0
841	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;	Proteobacteria	phylum	996	8027	9650	169	9577	1817	9492	7636	8482	1258	7933	7147	724	9350	8772	8841	7844	1361	7614	2265
1501	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;	Gammaproteobacteria	class	730	3013	7575	30	8873	969	9317	7289	8038	1199	7454	6944	484	9342	8701	8794	7584	872	7243	2140
1745	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pasteurellales;order;	Pasteurellales	order	487	0	0	1	1	20	27	2	1	4	0	0	7	0	0	0	1	0	2	0
1746	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pasteurellales;order;Pasteurellaceae;family;	Pasteurellaceae	family	487	0	0	1	1	20	27	2	1	4	0	0	7	0	0	0	1	0	2	0
1754	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pasteurellales;order;Pasteurellaceae;family;Haemophilus;genus;	Haemophilus	genus	469	0	0	1	0	20	26	2	1	4	0	0	4	0	0	0	1	0	2	0
-1747	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pasteurellales;order;Pasteurellaceae;family;unclassified_Pasteurellaceae;;	unclassified_Pasteurellaceae		18	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0
1762	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;	Pseudomonadales	order	206	1278	7272	24	8302	881	9281	6752	3569	366	6731	1354	390	2263	7933	3591	6728	856	6742	497
1763	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;Moraxellaceae;family;	Moraxellaceae	family	150	15	96	10	563	417	103	4771	415	32	1972	122	182	1	6452	11	5491	3	4867	41
1764	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;Moraxellaceae;family;Acinetobacter;genus;	Acinetobacter	genus	83	14	96	9	553	399	77	4771	368	27	1969	121	53	1	6452	10	5483	3	4865	41
1767	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;Moraxellaceae;family;Enhydrobacter;genus;	Enhydrobacter	genus	53	0	0	0	1	14	25	0	23	5	2	1	129	0	0	0	1	0	2	0
1768	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;Moraxellaceae;family;Moraxella;genus;	Moraxella	genus	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1771	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;Moraxellaceae;family;Psychrobacter;genus;	Psychrobacter	genus	0	1	0	1	1	2	0	0	24	0	0	0	0	0	0	0	0	0	0	0
1765	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;Moraxellaceae;family;Alkanindiges;genus;	Alkanindiges	genus	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
-1764	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;Moraxellaceae;family;unclassified_Moraxellaceae;;	unclassified_Moraxellaceae		0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0
3533	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;Moraxellaceae;family;Cavicella;genus;	Cavicella	genus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1772	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;Pseudomonadaceae;family;	Pseudomonadaceae	family	56	1263	7176	14	7739	464	9178	1977	3152	334	4758	1230	208	2259	1479	3578	1237	853	1873	456
1781	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;Pseudomonadaceae;family;Pseudomonas;genus;	Pseudomonas	genus	56	1250	7078	14	7716	441	9170	1836	2601	286	4422	1103	207	1938	1336	3006	1107	851	1714	456
-1773	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;Pseudomonadaceae;family;unclassified_Pseudomonadaceae;;	unclassified_Pseudomonadaceae		0	13	98	0	23	23	8	141	551	48	336	127	1	321	143	572	130	2	159	0
-1763	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Pseudomonadales;order;unclassified_Pseudomonadales;;	unclassified_Pseudomonadales		0	0	0	0	0	0	0	4	2	0	1	2	0	3	2	2	0	0	2	0
3526	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;	Xanthomonadales	order	5	871	0	1	43	6	0	0	2	0	1	1	11	0	0	0	2	2	0	0
3527	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;Xanthomonadaceae;family;	Xanthomonadaceae	family	5	870	0	1	43	6	0	0	1	0	0	0	11	0	0	0	1	2	0	0
1847	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;Xanthomonadaceae;family;Pseudoxanthomonas;genus;	Pseudoxanthomonas	genus	4	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1851	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;Xanthomonadaceae;family;Stenotrophomonas;genus;	Stenotrophomonas	genus	1	870	0	0	18	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0
1845	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;Xanthomonadaceae;family;Lysobacter;genus;	Lysobacter	genus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1854	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;Xanthomonadaceae;family;Xanthomonas;genus;	Xanthomonas	genus	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1844	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;Xanthomonadaceae;family;Luteimonas;genus;	Luteimonas	genus	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0
1836	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;Xanthomonadaceae;family;Arenimonas;genus;	Arenimonas	genus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3528	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;Xanthomonadaceae;family;unclassified_Xanthomonadaceae;;	unclassified_Xanthomonadaceae		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3528	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;Rhodanobacteraceae;family;	Rhodanobacteraceae	family	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1838	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;Rhodanobacteraceae;family;Dokdonella;genus;	Dokdonella	genus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3527	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Xanthomonadales;order;unclassified_Xanthomonadales;;	unclassified_Xanthomonadales		0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0
1616	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;	Enterobacterales	order	32	260	0	1	82	14	3	1	2	0	1	0	60	0	0	0	1	1	0	70
1617	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Enterobacteriaceae;family;	Enterobacteriaceae	family	23	258	0	1	53	13	0	1	0	0	0	0	49	0	0	0	0	1	0	69
1637	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Enterobacteriaceae;family;Klebsiella;genus;	Klebsiella	genus	18	194	0	0	36	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0
-1618	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Enterobacteriaceae;family;unclassified_Enterobacteriaceae;;	unclassified_Enterobacteriaceae		5	64	0	0	16	3	0	1	0	0	0	0	7	0	0	0	0	0	0	69
1633	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Enterobacteriaceae;family;Escherichia/Shigella;genus;	Escherichia/Shigella	genus	0	0	0	1	1	10	0	0	0	0	0	0	34	0	0	0	0	0	0	0
3423	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Erwiniaceae;family;	Erwiniaceae	family	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
-3424	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Erwiniaceae;family;unclassified_Erwiniaceae;;	unclassified_Erwiniaceae		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
-1617	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;unclassified_Enterobacterales;;	unclassified_Enterobacterales		8	2	0	0	7	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1
3442	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Yersiniaceae;family;	Yersiniaceae	family	0	0	0	0	21	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
-3443	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Yersiniaceae;family;unclassified_Yersiniaceae;;	unclassified_Yersiniaceae		0	0	0	0	21	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
3444	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Morganellaceae;family;	Morganellaceae	family	0	0	0	0	1	1	0	0	2	0	0	0	9	0	0	0	0	0	0	0
1651	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Enterobacterales;order;Morganellaceae;family;Proteus;genus;	Proteus	genus	0	0	0	0	1	1	0	0	2	0	0	0	9	0	0	0	0	0	0	0
1520	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Alteromonadales;order;	Alteromonadales	order	0	588	7	0	3	7	2	60	2877	198	232	902	0	2420	176	1630	159	3	51	1003
1557	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Alteromonadales;order;Shewanellaceae;family;	Shewanellaceae	family	0	586	7	0	2	0	1	0	0	0	5	0	0	0	0	0	0	3	0	1003
1558	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Alteromonadales;order;Shewanellaceae;family;Shewanella;genus;	Shewanella	genus	0	586	7	0	2	0	1	0	0	0	5	0	0	0	0	0	0	3	0	1003
1545	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Alteromonadales;order;Idiomarinaceae;family;	Idiomarinaceae	family	0	2	0	0	1	3	0	53	2671	198	203	819	0	2420	151	1630	129	0	46	0
2954	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Alteromonadales;order;Idiomarinaceae;family;Aliidiomarina;genus;	Aliidiomarina	genus	0	2	0	0	1	3	0	53	2671	198	202	819	0	2420	151	1630	129	0	46	0
-1546	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Alteromonadales;order;Idiomarinaceae;family;unclassified_Idiomarinaceae;;	unclassified_Idiomarinaceae		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1521	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Alteromonadales;order;Alteromonadaceae;family;	Alteromonadaceae	family	0	0	0	0	0	4	0	7	206	0	24	83	0	0	25	0	30	0	5	0
1531	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Alteromonadales;order;Alteromonadaceae;family;Marinobacter;genus;	Marinobacter	genus	0	0	0	0	0	4	0	7	206	0	24	83	0	0	25	0	30	0	5	0
1551	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Alteromonadales;order;Pseudoalteromonadaceae;family;	Pseudoalteromonadaceae	family	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1553	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Alteromonadales;order;Pseudoalteromonadaceae;family;Pseudoalteromonas;genus;	Pseudoalteromonas	genus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1694	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Oceanospirillales;order;	Oceanospirillales	order	0	7	3	0	1	15	0	175	1298	620	320	4666	16	4557	510	3389	536	3	186	1
1705	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Oceanospirillales;order;Halomonadaceae;family;	Halomonadaceae	family	0	7	3	0	1	15	0	175	1298	620	319	4666	16	4557	509	3389	536	3	186	1
1711	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Oceanospirillales;order;Halomonadaceae;family;Halomonas;genus;	Halomonas	genus	0	7	3	0	1	14	0	175	1284	609	313	4569	16	4538	507	3372	535	3	186	1
-1706	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Oceanospirillales;order;Halomonadaceae;family;unclassified_Halomonadaceae;;	unclassified_Halomonadaceae		0	0	0	0	0	1	0	0	14	11	6	97	0	19	2	17	1	0	0	0
1695	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Oceanospirillales;order;Alcanivoracaceae;family;	Alcanivoracaceae	family	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1696	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Oceanospirillales;order;Alcanivoracaceae;family;Alcanivorax;genus;	Alcanivorax	genus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1742	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Oceanospirillales;order;Oceanospirillales_incertae_sedis;family;	Oceanospirillales_incertae_sedis	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3328	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Oceanospirillales;order;Oceanospirillales_incertae_sedis;family;Pseudohongiella;genus;	Pseudohongiella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1566	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;	Chromatiales	order	0	7	293	3	7	9	0	243	201	0	122	1	0	0	38	0	111	7	208	0
1567	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;Chromatiaceae;family;	Chromatiaceae	family	0	7	293	3	7	9	0	243	198	0	122	1	0	0	38	0	111	7	207	0
1579	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;Chromatiaceae;family;Rheinheimera;genus;	Rheinheimera	genus	0	7	293	2	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
1525	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;Chromatiaceae;family;Alishewanella;genus;	Alishewanella	genus	0	0	0	1	1	9	0	243	198	0	122	1	0	0	38	0	111	0	207	0
3546	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;Wenzhouxiangellaceae;family;	Wenzhouxiangellaceae	family	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
3547	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;Wenzhouxiangellaceae;family;Wenzhouxiangella;genus;	Wenzhouxiangella	genus	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
-1567	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Chromatiales;order;unclassified_Chromatiales;;	unclassified_Chromatiales		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1507	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Aeromonadales;order;	Aeromonadales	order	0	1	0	0	429	3	0	0	0	0	0	0	0	0	0	0	1	0	0	563
1508	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Aeromonadales;order;Aeromonadaceae;family;	Aeromonadaceae	family	0	1	0	0	429	3	0	0	0	0	0	0	0	0	0	0	1	0	0	563
1509	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Aeromonadales;order;Aeromonadaceae;family;Aeromonas;genus;	Aeromonas	genus	0	1	0	0	429	3	0	0	0	0	0	0	0	0	0	0	1	0	0	563
-1502	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;unclassified_Gammaproteobacteria;;	unclassified_Gammaproteobacteria		0	1	0	0	1	10	0	55	88	11	47	16	0	102	43	184	45	0	54	1
1856	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Gammaproteobacteria_incertae_sedis;order;	Gammaproteobacteria_incertae_sedis	order	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3536	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Gammaproteobacteria_incertae_sedis;order;Acidibacter;genus;	Acidibacter	genus	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1668	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Legionellales;order;	Legionellales	order	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
1672	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Legionellales;order;Legionellaceae;family;	Legionellaceae	family	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
1674	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Legionellales;order;Legionellaceae;family;Legionella;genus;	Legionella	genus	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
1561	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Cardiobacteriales;order;	Cardiobacteriales	order	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1562	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Cardiobacteriales;order;Cardiobacteriaceae;family;	Cardiobacteriaceae	family	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1563	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Cardiobacteriales;order;Cardiobacteriaceae;family;Cardiobacterium;genus;	Cardiobacterium	genus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1813	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Vibrionales;order;	Vibrionales	order	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5
1814	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Vibrionales;order;Vibrionaceae;family;	Vibrionaceae	family	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5
1825	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Vibrionales;order;Vibrionaceae;family;Vibrio;genus;	Vibrio	genus	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5
1790	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Thiotrichales;order;	Thiotrichales	order	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1793	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Thiotrichales;order;Piscirickettsiaceae;family;	Piscirickettsiaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1796	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Gammaproteobacteria;class;Thiotrichales;order;Piscirickettsiaceae;family;Methylophaga;genus;	Methylophaga	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
842	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;	Alphaproteobacteria	class	91	4731	1458	31	437	687	45	102	377	33	426	186	23	7	42	17	118	138	117	102
870	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;	Rhizobiales	order	66	782	11	5	331	137	12	59	293	22	240	98	16	4	24	11	58	37	62	102
886	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Bradyrhizobiaceae;family;	Bradyrhizobiaceae	family	22	45	1	0	6	3	0	3	1	0	0	0	0	0	0	0	3	0	3	0
892	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Bradyrhizobiaceae;family;Bradyrhizobium;genus;	Bradyrhizobium	genus	22	0	0	0	1	3	0	3	0	0	0	0	0	0	0	0	0	0	3	0
896	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Bradyrhizobiaceae;family;Rhodopseudomonas;genus;	Rhodopseudomonas	genus	0	24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3551	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Bradyrhizobiaceae;family;Pseudorhodoplanes;genus;	Pseudorhodoplanes	genus	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
970	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Bradyrhizobiaceae;family;Pseudolabrys;genus;	Pseudolabrys	genus	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
-887	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Bradyrhizobiaceae;family;unclassified_Bradyrhizobiaceae;;	unclassified_Bradyrhizobiaceae		0	14	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
950	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Rhizobiaceae;family;	Rhizobiaceae	family	29	352	3	1	252	94	4	34	54	0	200	3	0	2	4	2	35	6	41	102
3569	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Rhizobiaceae;family;Agrobacterium;genus;	Agrobacterium	genus	28	128	0	1	59	66	2	0	0	0	2	0	0	0	2	0	0	0	0	98
-951	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Rhizobiaceae;family;unclassified_Rhizobiaceae;;	unclassified_Rhizobiaceae		1	177	3	0	167	25	1	33	54	0	196	3	0	2	2	2	34	5	41	4
3567	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Alphaproteobacteria;class;Rhizobiales;order;Rhizobiaceae;family;Allorhizobium;genus;	Allorhizobium	genus	0	38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
