taxid	lineage	name	rank	SRR15720303	SRR15720304	SRR15720305	SRR15720306	SRR15720307	SRR15720308	SRR15720309	SRR15720310	SRR15720311	SRR15720312	SRR15720313	SRR15720314	SRR15720315	SRR15720316	SRR15720317	SRR15720318	SRR15720319	SRR15720320	SRR15720321	SRR15720322
4415	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Lactobacillaceae;family;Ligilactobacillus;genus;	Ligilactobacillus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	65	0	0
2365	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Lactobacillaceae;family;Pediococcus;genus;	Pediococcus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
2342	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Carnobacteriaceae;family;	Carnobacteriaceae	family	29	0	0	0	0	14	16	0	14	18	1	2	2	88	6	67	5	0	1	142
2345	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Carnobacteriaceae;family;Granulicatella;genus;	Granulicatella	genus	28	0	0	0	0	11	12	0	0	0	0	0	0	0	0	0	1	0	0	0
-2343	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Carnobacteriaceae;family;unclassified_Carnobacteriaceae;;	unclassified_Carnobacteriaceae		1	0	0	0	0	3	3	0	12	1	1	2	2	68	5	53	3	0	1	127
2348	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Carnobacteriaceae;family;Atopostipes;genus;	Atopostipes	genus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11
2350	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Carnobacteriaceae;family;Alkalibacterium;genus;	Alkalibacterium	genus	0	0	0	0	0	0	0	0	2	4	0	0	0	20	1	14	1	0	0	4
2356	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Carnobacteriaceae;family;Trichococcus;genus;	Trichococcus	genus	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
-2334	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;unclassified_Lactobacillales;;	unclassified_Lactobacillales		22	0	0	2	0	8	6	0	6	0	0	0	6	0	0	0	0	0	1	1
2357	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Enterococcaceae;family;	Enterococcaceae	family	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9
