Entry,Log2.ratio.Adult.Embryo,X.log10.BH.corrected.p.value.Adult.vs.Embryo,log10.mRNA.adult,log10.mRNA.embryo
Q9VFT4,-1.64,6,3.867,3.293
Q9VJH2,-0.9,6,1.862,2.968
Q9VE79,1.13,4,1.044,-1.92
X2JEB6,1.08,8,5.623,4.783
Q9VGF3,1.07,10,3.471,1.988
Q7KMQ0,-1.42,6,3.317,3.338
Q9VXK7,2.49,8,4.063,3.669
Q7KM15,-1.51,8,5.145,5.047
O97118,-1.32,10,7.561,6.648
P48591,-2.51,7,1.567,2.939
Q9VIX4,1.84,4,2.851,0.988
Q9VRQ2,-0.02,0,1.341,3.564
Q9VL18,-1.62,9,4.597,4.566
C0MIY4,-2.12,9,1.775,3.219
Q9VTB0,-1.66,10,2.079,2.368
A4V3G8,0.89,2,0.799,2.775
Q8SXQ1,1.46,7,2.689,2.393
Q9VW54,-1.31,9,4.075,2.899
P48601,-1.74,9,3.719,3.738
X2JC80,-1.61,9,6.416,6.57
Q9W1N3,2.43,4,5.482,5.446
Q9VGM2,0.22,1,6.092,3.729
M9PG76,-1.3,10,6.084,6.392
Q9VXQ5,-2.28,8,3.275,3.57
Q7K3B7,-1.25,12,3.228,2.819
Q95083,-1.34,5,3.177,4.068
X2JCY2,-0.44,3,1.48,2.903
Q9V3Z4,-1.39,8,4.299,3.47
Q9VNX4,2.9,9,3.353,2.273
C7LA75,-2.02,7,7.144,6.339
Q9VCN6,1.48,3,0.23,2.709
Q9W3K9,2.21,10,4.654,2.893
C8VV30,-2.04,10,2.902,2.4
O46084,-1.13,7,2.247,3.036
P02299,-0.24,0,-0.711,5.033
Q7K550,0.1,0,4.43,3.203
Q9XYU0,-2.94,10,0.717,4.206
O97418,1.74,5,4.828,3.586
Q7KKI0,-2,8,3.963,3.808
Q94518,-1.38,12,5.019,5.515
Q9VIQ8,2.54,5,6.697,5.09
Q9VZI1,1.36,10,5.263,4.435
E2QCG7,-1.53,8,4.236,4.779
P50887,-1.95,10,5.73,5.583
Q9V4E0,2.18,10,4.647,3.832
Q7KLW9,-0.27,1,2.233,3.786
Q9U1K3,1.96,8,4.529,3.94
E8NHA8,3.86,10,6.276,4.394
A1ZB68,1.59,8,4.242,3.839
Q9VRP4,1.49,9,2.492,1.821
Q8MSI7,2.49,6,5.066,4.379
Q9VUY9,2.12,14,4.369,2.861
M9PGX7,1.18,11,2.402,2.451
R9Q794,-1.07,11,5.672,6.514
Q9VDZ8,0.07,0,2.84,1.768
Q9VAN0,0.01,0,3.101,1.173
Q7JRC3,1.23,8,3.107,2.911
Q9W414,-1.66,8,3.923,4.131
H1ZYF1,-1.31,13,5.971,6.917
Q7KVU4,-1.28,5,1.439,4.344
Q9W0S6,0.3,1,1.311,2.993
Q9W0S7,-1.35,9,3.997,4.285
Q9W1G7,-1.67,7,5.1,4.624
P54397,-1.59,15,4.766,4.41
Q9VGW6,-1.93,9,0.607,3.276
Q9VIE8,3.51,10,5.923,4.341
Q7JZD3,-1.2,9,2.343,3.828
M9NDR2,-1.16,5,2.386,2.307
Q7KUC2,1.01,7,2.723,3.112
B5T1Z6,-0.14,0,2.737,1.566
Q95TW1,0.36,0,0.552,2.128
Q9VUC1,-1.8,9,3.869,3.125
X2JA18,1.25,7,3.956,2.462
Q9W2E7,0.02,0,1.338,2.92
Q9VWV6,1,3,6.435,-1.789
Q7JVI3,-1.22,10,3.708,4.253
Q8MSW0,-1.67,14,2.289,2.932
Q9V3P3,-1.16,9,2.89,3.781
Q9VBH8,-1.3,9,4.354,4.999
Q9VPL0,-1.53,8,2.752,3.613
E3CTS3,0.74,6,3.42,2.284
Q8T6I0,1,15,2.976,2.328
Q9VEX6,0.31,4,2.005,3.133
Q9VC18,0.26,2,2.994,1.826
B5RIV0,1.42,9,3.382,2.937
Q9VQZ6,-1.43,8,1.013,2.264
O44226,1.59,8,4.378,3.781
P09180,-1.41,13,6.097,6.646
T2FFJ2,-1.54,10,2.171,1.763
Q24208,-1.16,13,3.339,3.941
Q9W3Z3,-0.03,0,3.011,0.98
Q9VLT3,0.69,3,1.365,3.299
P53777,1.88,6,4.421,4.152
X2JG90,-1.84,10,1.909,3.135
O44116,-0.97,5,1.408,2.509
P06606,-3.28,6,1.997,2.522
Q01637,-1.91,9,1.504,2.633
Q9VG04,-1.54,6,2.422,3.331
Q9V3I2,-0.4,3,4.244,3.022
P02283,-0.53,1,1.586,5.152
Q9VJZ4,2.47,7,3.469,3.862
Q95T84,-0.95,2,3.139,1.15
D1FYI8,2.29,2,3.762,6.109
P53034,6.11,3,1.563,2.94
P16371,-0.84,3,2.184,3.418
Q2XXZ0,1.1,3,1.551,1.816
Q9U616,2.23,8,4.212,3.134
Q3YMU0,-1.22,12,4.767,4.673
M9PGG8,-1.09,3,1.611,2.461
F6JQA6,-1.32,6,2.712,3.351
Q9VZQ8,1.58,14,4.669,3.051
O46106,2.3,3,1.732,2.816
Q9VXN4,-1.68,11,2.128,2.413
Q9VE00,0.74,2,5.062,1.225
Q9W2E8,2.24,5,4.223,3.432
Q9VD29,-0.32,3,4.833,3.483
F3YDH0,-1.38,13,5.744,4.425
Q9VRP3,-1.35,9,3.206,3.283
Q9VXZ0,2.46,5,3.611,3.307
Q9VUW2,0.84,2,4.413,2.802
Q9VDY8,-0.3,3,3.377,1.807
Q9W402,2.15,6,4.183,3.859
Q9VVA6,-1.27,9,2.208,2.534
P18053,-1.19,6,4.282,4.14
F3YDB2,-1.32,12,4.305,3.675
Q9VX36,2.54,10,4.08,3.305
Q9XZE0,-0.46,1,2.995,4.375
Q9VFG5,1.73,9,3.989,2.933
Q8MT58,-1.49,9,3.32,3.765
B7YZK4,-2.18,5,4.421,2.757
Q6IDF5,2.19,4,3.623,4.141
P11046,1.14,7,1.853,3.688
Q27268,-1.19,9,3.128,5.014
Q9V521,1.65,7,2.503,2.582
Q9VCR2,1.22,9,4.352,2.235
Q9V3V6,-1.58,11,3.607,3.188
Q9GQR6,-1.47,6,1.935,2.374
Q9V3P6,-1.43,9,3.884,2.89
Q9VR79,-1.25,2,2.721,3.356
Q9VQX4,1.24,2,2.499,1.564
A4V488,-1.05,5,2.213,2.29
M9NDM4,-0.53,2,2.145,3.261
Q94514,2.44,4,6.6,5.159
Q9V3N1,1.02,6,2.883,2.91
O97064,-1.5,2,-0.51,3.753
Q9W374,1.44,7,3.635,2.328
Q9VMB9,2.52,4,4.882,5.088
Q7PLP4,1.26,2,1.924,2.797
C0MJA0,0.48,0,4.095,6.132
Q9V3Y7,2.01,9,5.587,-1.072
O61613,-1.68,5,2.486,2.743
Q9I7K5,-0.47,5,3.102,4.197
Q9VVW7,2.36,3,1.83,2.555
Q8SXM8,-1.97,9,2.268,3.127
Q9VGP4,-2.24,8,1.851,2.796
Q9VPF6,-1,8,2.294,2.709
Q9VFB2,1.81,1,1.596,2.96
Q9VF27,2.62,8,4.867,3.964
X2JDP6,1.65,4,3.787,4.239
Q9VVU2,-1.21,10,6.808,6.766
Q8MZ78,1.57,12,2.861,3.315
Q9V5C6,-1.68,7,4.154,4.091
Q9U5W8,1.59,7,4.726,2.647
Q9W5W8,-0.05,0,3.427,1.817
Q9VBG7,1.46,8,3.73,2.892
Q9VNW6,4.84,10,4.339,2.227
Q9W3F6,-1.19,10,2.888,3.586
Q9VPY2,-1.09,5,1.528,1.76
Q8SX76,-2.4,9,0.246,2.724
Q9VY05,2.77,12,4.934,2.718
P08985,-0.64,1,3.215,6.037
Q9VIB5,0.64,4,2.666,0.962
X2JF40,-1.25,6,4.022,3.182
Q0IGW6,1,1,-0.096,1.671
P35004,2.65,11,8.381,-0.267
A0A024E3A5,2.36,10,4.552,3.771
X2JAW6,1.01,6,2.76,3.725
Q7KN62,-1.66,10,3.841,3.865
X2J6D4,1.94,5,6.941,6.14
P40301,-1.61,6,4.131,4.084
Q7KK96,0.16,1,1.099,2.379
Q9VT25,3,13,6.575,1.104
Q9U916,-0.6,7,6.56,5.353
Q9V9Q4,-1.49,8,3.421,3.599
Q9VGE7,-0.31,2,0.717,2.253
P52029,1.35,14,4.967,3.4
Q9VAC4,-1.72,9,3.708,3.807
Q9VBE2,1.07,5,-4.923,5.01
Q9VD14,-0.27,4,1.242,2.506
Q8T8R1,-0.95,6,6.024,4.587
Q9VTB3,-0.29,4,2.218,3.478
P52304,-0.03,0,1.166,4.191
Q9VE85,0.04,0,0.562,2.433
Q9VRL0,2.92,10,5.366,4.573
Q2PDR9,0.6,2,1.91,3.318
P17917,-0.17,1,2.188,4.453
P25171,-1.07,6,2.788,4.025
M9PD08,-1.44,11,3.66,3.255
Q9VWB8,1.09,2,1.151,2.333
Q7K0D3,-0.24,0,1.87,2.994
A4V0N4,0.9,8,5.917,4.7
Q24169,1.4,1,0.146,1.89
Q02427,-0.59,2,1.773,3.558
Q9VWG1,1.6,9,5.248,4.389
Q9VN44,-1.45,10,3.501,3.463
A1Z893,1,9,4.268,4.144
Q9XYM0,-0.6,6,2.464,3.729
P91638,2.49,9,2.416,3.571
E1JGZ9,-1.59,6,3.643,4.579
M9PCQ1,2.26,9,5.88,3.619
Q9VCY3,-1.5,4,2.707,3.008
Q8SZ38,-1.17,2,-1.515,4.99
Q9VMZ5,-1.72,2,-1.732,4.726
A4V1N8,3.7,11,5.665,3.527
Q9VQM2,2.29,4,3.945,3.967
X2J5E8,-1.87,7,3.537,2.781
Q95SA6,-1.17,6,3.658,4.134
Q9W0M7,0.75,1,2.231,4.066
Q9VTW6,0.26,1,1.595,3.157
Q9VQ62,-1.19,6,2.877,3.341
Q9VUR3,-1.1,5,2.728,2.6
Q9V9W2,-1.1,7,6.545,6.63
M9PD27,-1.71,9,2.843,3.377
Q8IPG9,1.72,7,4.107,3.218
Q9VJ80,1.64,1,0.853,2.972
P42787,-1.35,2,2.498,2.292
A8E6L6,-1.17,4,0.322,3.384
P22465,1.47,11,3.042,0.52
Q94901,-0.72,4,2.678,4.179
Q9VXQ0,-1,2,2.015,2.975
P84040,-0.4,1,4.755,6.366
P54353,-0.59,3,1.959,2.965
Q9W3G0,-1.41,8,1.82,2.479
Q9VP77,-1.2,3,3.414,3.341
P91938,-0.68,5,4.142,2.891
P91928,1.89,9,3.658,2.719
Q960Y8,-1.4,12,4.154,3.479
E2QD63,-1.72,6,3.187,2.782
Q9VD58,3.06,11,4.215,3.383
Q8MRX2,1.05,1,0.785,1.984
Q9VAA9,-0.18,0,1.519,3.015
Q9VGS2,-0.97,9,5.446,6.967
Q9VLJ9,-0.65,3,2.065,3.192
Q7JUP3,2.01,2,2.656,2.973
Q9VXM4,0.83,9,5.701,3.66
Q8SY58,0.7,4,1.584,0.017
Q9W1Y0,1.15,2,2.626,2.474
Q9W3X7,1.91,9,3.607,3.557
Q7KMP8,-1.47,11,3.282,3.349
Q9W229,-1.47,8,6.178,6.861
A4V2J1,2.63,15,4.738,3.265
Q7JZZ3,0.73,2,5.346,3.615
Q0E8X7,2.26,5,5.351,4.248
Q9VNH5,-1.43,4,0.983,3.306
Q9W141,2.42,4,4.68,5.262
Q9VAX8,-0.7,2,1.196,2.277
M9PGW0,1.26,4,3.52,4.329
M9PDN9,-1.03,3,0.971,1.769
Q8SX57,-1.44,7,2.213,3.334
Q9VB64,0.23,2,3.637,2.071
Q9VBP9,-0.69,5,4.56,2.192
Q95RN0,-0.86,4,0.796,2.655
A4V2S3,3.66,8,3.313,3.76
T2GGB6,-1.41,3,0.416,1.495
Q9VF53,1.88,11,4.277,2.004
Q7KT11,1.66,10,4.241,4.085
Q9XZU1,-2.82,8,1.343,2.794
P81900,1.01,9,3.034,1.172
Q9V3I1,-2.16,8,1.985,5.046
Q9VMQ9,-1.02,6,4.364,4.047
Q9VTU2,2.71,7,5.126,4.601
Q9VC94,2.01,1,1.439,2.61
Q9VXY7,-1.63,7,4.878,3.981
P26686,-1.22,6,3.745,4.114
L0CRT0,-1.24,10,1.373,2.258
Q9Y119,5.57,12,5.698,2.647
Q7PLI7,-0.03,0,1.565,3.316
Q59E23,1.78,7,2.961,1.873
Q5BIJ9,2.39,11,8.348,1.045
O76268,1.56,10,3.596,3.194
Q7K1W4,-0.35,2,4.123,2.326
Q24160,-0.11,1,5.152,3.547
Q9VB96,-0.69,3,2.149,1.12
Q868Z9,2.02,8,2.696,3.612
Q9VSY0,3.41,7,4.439,3.606
O96553,2.04,12,3.55,2.492
Q960T2,2.2,9,2.473,1.452
Q7K2G1,-1.58,12,4.089,3.006
Q9VTF9,-1.14,4,2.209,2.613
M9PB90,1.02,3,1.839,2.303
Q9VFR2,3.73,10,6.239,2.319
Q7K110,-0.8,10,3.065,4.114
Q9VZU4,2.65,8,3.577,3.831
B6IDQ5,-1.56,10,2.278,2.066
Q9VHB1,3.34,9,3.798,2.956
O62602,-1.35,7,1.976,3.344
P52295,-2.92,6,2.96,4.256
Q541C9,0.04,0,0.437,2.314
Q9V463,4.08,8,0.868,2.847
Q9W0L7,-0.37,1,1.74,2.917
Q9VXI6,2.02,5,5.536,4.806
A4V4A5,-1.86,6,5.082,5.307
X2JFD6,1.57,9,4.177,2.82
Q08473,-1.16,9,4.299,4.121
Q9VMD7,0.19,1,3.781,1.726
Q9VIV2,1.31,2,2.611,2.94
Q9I7K0,-0.66,1,2.878,4.245
P62152,-0.79,8,4.893,3.743
Q9VRD9,-2.48,6,1.969,3.148
Q9V3L7,1.84,7,5.033,4.295
Q7KA66,1.37,1,-0.707,3.611
Q9VVH3,1.98,6,4.098,4.397
Q7K2W6,2.04,11,2.042,2.661
A1Z945,-1.04,4,0.259,1.555
P25439,-0.28,1,2.117,3.281
A4V391,-2.12,8,2.989,3.625
Q8IN25,2.72,9,6.984,3.702
Q9VHI8,-0.97,9,2.227,3.35
Q9VIH9,1.51,9,3.764,4.205
X2JEF0,2.09,9,2.739,1.982
P12080,2.14,8,2.189,2.14
Q9VSI1,0.77,2,1.689,3.178
Q9VHC7,-1.19,4,2.059,4.045
A1ZBM2,-1.07,5,2.266,3.216
Q8SYJ2,2.42,4,4.424,4.474
Q9W1G5,2.98,6,2.015,2.638
Q8IQW2,1.64,4,7.334,5
P25867,-1.43,10,5.154,4.721
C6SUY3,-1.69,4,0.624,3.294
P18432,4.49,10,7.124,5.7
Q9V438,-1.16,8,3.507,4.388
Q9GNH8,2.33,12,4.374,2.222
Q8IRQ5,2.18,11,4.401,3.292
Q7KN81,-1.65,2,0.98,5.401
Q24498,2.39,8,1.954,1.287
Q9W401,4.55,11,6.553,4.272
Q59E65,2.89,11,3.177,1.798
C8VV67,-0.42,1,3.377,4.471
Q86BH6,2.99,10,4.805,3.979
A4UZZ4,2.47,13,5.548,4.175
Q9VQL4,2.11,4,1.7,1.558
Q7KSM5,-2.23,14,2.031,3.825
Q8SZM2,2,10,3.62,4.147
Q7JVX3,0.41,0,1.698,2.794
X2JCV2,1.23,1,5.34,-1.706
P46415,-1.27,6,3.18,3.104
M9MRD0,-1.48,5,3.686,2.785
Q9VCC6,0.07,1,3.352,2.191
Q9VGK7,2.19,2,1.317,1.795
X2J8C3,0.57,2,5.256,4.065
A1Z9J3,2.14,8,2.88,2.64
Q9VHJ8,2.54,12,4.877,3.481
M9PG22,2.51,12,5.293,4.825
Q24492,-2.05,10,2.16,3.225
A1YK63,-1.21,7,1.226,2.012
A1ZBF1,-1.04,2,0.984,3.087
Q9VJI5,1.45,1,1.204,2.223
P91927,0.79,6,3.724,2.362
A4V2B8,-1.6,11,3.22,3.683
Q9GYU8,-1.22,11,1.625,2.464
Q9VTZ4,1.18,2,2.462,2.851
Q9V3W2,2.94,6,4.067,3.923
Q9VAM6,1.28,6,3.762,4.083
O97102,-2.24,10,5.159,6.164
P08266,-0.63,2,2.037,3.489
M9MS15,3.91,0,0.365,3.99
Q94523,3.17,13,4.984,3.706
Q9VN13,1.41,7,3.224,3.201
Q8SYS2,2.6,9,3.289,0.504
Q9V4C8,0.41,0,1.307,2.682
E1JH83,1.53,3,3.783,2.152
Q7JZW0,1.9,8,2.879,2.538
Q9W0H6,-1.14,8,0.783,2.332
Q9VTW1,-1.5,10,2.754,3.551
Q9VCC0,-1.59,10,2.06,2.053
X2JB48,2.73,9,7.126,6.053
P27864,1.3,5,1.61,2.789
Q9VTR6,1.34,7,-2.054,3.303
Q9VDE4,1.03,0,1.169,2.231
Q9VAD0,-0.8,4,1.85,3.014
Q9VCH5,0.82,1,1.518,2.769
M9NF33,2.24,4,2.391,3.362
Q9W1H4,0.63,0,0.129,1.608
O18413,-1.29,7,3.863,3.955
Q9NAZ4,1.18,5,3.911,1.175
Q9VAY2,-1.12,8,4.841,4.385
Q9V9E3,0.52,0,1.691,2.909
M9NEQ9,-1.3,8,5.861,6.496
Q95RF6,0.48,0,3.126,4.197
E1JIK0,-1.58,6,3.256,4.286
Q9VCB6,-1.69,6,2.134,2.341
Q76NQ0,-1.13,14,3.532,3.852
P13395,1.53,7,3.66,3.784
Q8MMD2,1.71,4,2.268,2.191
Q9VEA1,-1.13,3,4.769,4.166
P06754,3.75,12,3.903,3.324
X2JFG0,-1.36,8,0.573,1.65
Q2EZ47,-1.37,8,0.61,1.781
Q6AWN0,1.51,13,4.138,2.987
F6J1D0,0.74,1,5.488,4.216
Q9NHX7,-1.35,8,3.819,4.204
Q9VCI3,1.01,3,3.927,2.155
Q4AB54,-0.01,0,1.269,4.385
Q8SZS4,-0.9,2,-1.799,5.065
Q9VVU1,1.01,12,4.208,3.405
B7FNR1,0.93,3,1.943,3.192
Q9VLT7,-1.68,12,5.668,7.068
Q9VQG4,1.35,8,3.358,2.701
H5V888,2.4,11,3.313,2.578
Q9VKU1,1.98,10,3.984,2.633
O77134,3.15,4,4.439,4.596
Q9VLB7,-0.5,8,4.473,3.363
Q8SWX4,2.67,6,5.941,3.114
Q9VSS1,-0.53,6,3.536,4.555
Q9VCK6,0.15,1,2.769,1.283
Q9VFC8,1.52,13,3.447,3.751
M9MSN9,0.23,0,0.949,2.201
P35381,2.54,12,5.867,5.426
Q9VMR6,0.4,2,1.72,0.303
Q9VEQ2,-1.36,7,1.996,3.324
Q7JWR9,-1.28,11,3.126,2.684
Q9W445,-1.11,3,2.06,3.372
Q7K4T8,1.79,6,3.119,2.675
Q8MT27,2.14,1,0.472,2.294
P16914,-0.24,1,0.046,2.132
M9PFN1,-2.05,8,2.47,2.926
P21914,3.64,11,5.742,3.887
M9NEL1,1.11,6,3.516,1.294
Q9V426,-2.13,6,3.475,3.259
Q9VRJ4,1.86,7,3.579,1.77
Q9VVC5,3.16,10,5.29,3.436
Q9VHN7,1.25,10,5.37,4.247
Q24439,2.48,8,5.857,4.807
O77430,-0.3,2,3.672,5.147
Q9VBN5,-1,9,6.641,6.754
Q9VD66,-0.42,1,5.676,-1.03
Q7KN85,0.49,9,4.252,3.245
V9GZU6,2.13,7,3.152,2.426
P17336,3.81,13,5.562,3.275
Q23972,-0.53,0,3.121,4.14
M9PFG7,-1.12,13,2.935,2.798
Q9VA73,0.92,9,3.635,1.935
Q9VEN3,-1.11,7,2.902,2.541
Q6NP72,1.36,4,3.863,3.43
Q9V9A9,3.23,12,4.723,2.035
Q9VQ76,-1.59,8,1.669,2.307
Q9VJG0,-1.28,7,2.933,2.617
P14318,1.39,5,5.852,6.047
P47948,1.07,4,3.855,4.942
Q94516,2.68,8,5.965,5.804
Q7PLB8,1.21,1,3.526,0.27
Q95TK5,1.24,8,2.105,1.913
E1JJM9,-1.25,8,5.723,7.02
H0RN81,-1.05,7,6.053,5.785
Q9VLN6,1.28,7,1.593,2.129
Q9VTB4,2.05,6,3.763,3.732
Q9VN25,-1.08,14,3.753,3.729
E2QC56,-0.87,2,3.041,4.055
Q9VZQ3,1.1,5,3.169,2.639
Q9Y105,-1.48,9,2.56,1.939
Q9VGX3,2.08,11,4.788,3.766
Q9V7N5,1.19,8,4.4,3.567
Q8INH6,-1.06,6,3.71,2.808
P53997,-2.1,10,3.516,4.601
Q9V3W7,-0.76,6,3.122,4.126
Q7KSN8,0.46,1,0.334,1.688
Q9VWV2,1.23,12,3.379,2.74
E1JJF9,1.01,3,2.512,3.141
H8F4T6,1.03,10,2.118,1.794
Q59E09,3.42,13,4.549,3.262
Q02645,1.02,4,2.147,2.536
P09491,3.67,12,5.518,4.471
Q9VP57,1,7,2.61,3.842
P48592,-3.38,5,2.01,4.474
A1Z992,2.08,16,3.315,2.098
Q7K581,-1.87,16,3.684,3.415
Q9VAN7,2.2,10,5.005,4.444
X2JE06,-1.39,11,5.858,6.246
O62619,0.97,11,5.598,3.48
P39205,-1.19,5,1.674,3.15
I0DHK3,-1.6,6,4.073,4.724
Q9VHT2,-0.24,1,0.534,2.124
Q9I7M3,1.09,6,2.875,1.568
Q7JVZ8,-0.99,6,1.485,2.734
Q9I7J0,2.24,10,5.771,5.329
Q8IQH0,0.49,2,0.991,2.976
Q8T6B9,-1.98,8,2.465,2.635
Q960M4,1.5,10,3.986,3.625
E1JGP0,2.37,14,6.054,7.087
E1JIJ5,1.84,8,5.938,4.746
Q9VIH1,-0.95,1,1.285,3.529
P54622,-1.44,8,1.766,3.449
Q9VFL5,-1.42,8,-1.041,0.835
M9PEL1,1.67,11,3.214,3.137
Q23979,2.51,11,4.161,2.401
M9PIM0,-1.25,12,3.878,6.015
M9PD75,1.3,10,5.094,4.288
Q9W4I3,3.78,2,2.651,3.282
O01666,2.81,12,5.214,5.062
Q9VT03,2.77,5,3.24,3.257
Q26454,-1.51,5,0.888,3.21
Q7K4I5,2.97,8,1.161,2.193
Q9VCE3,-1.08,6,2.96,3.891
Q8MRN5,1.39,5,5.956,3.894
A1Z784,3.15,15,4.224,3.17
P54611,1.06,11,5.363,4.388
Q9VJD4,-1.29,7,3.369,3.679
Q9VWC7,-0.35,2,-0.279,1.624
Q95WY3,-0.59,3,2.617,4.442
Q70VI1,4.68,10,5.68,3.718
P20432,2.18,10,5.706,5.004
Q9VUV9,-0.86,6,1.648,2.691
O76922,-1.56,6,-0.052,2.015
Q9V9U3,1.39,2,3.01,3.352
Q9VTL1,0.17,0,-0.487,2.188
Q9VXF9,-1.89,8,3.524,2.697
Q9W5E4,0.96,1,1.082,2.611
X2JJD6,1.44,5,4.29,2.329
Q9VGW7,-0.71,1,2.17,3.597
D2NUK5,-1.07,5,3.515,3.121
Q7KTC3,1.03,7,2.475,2.173
Q8SYG3,-1,5,2.85,4.319
Q8MT18,3.01,11,4.532,3.191
Q9VGA3,0.73,2,1.439,3.999
D3PFE3,1.43,9,4.359,2.455
Q9VES1,1.9,2,2.64,3.556
X2JC35,-1.25,8,6.35,6.583
Q9VRV8,-1.97,6,2.338,3.109
P48610,3.74,10,5.585,4.231
Q8T0R6,1.68,7,1.72,2.564
Q9XZ19,-1.05,9,1.175,2.628
Q9V3H2,-1.04,7,4.121,3.534
Q9W3H4,1.48,7,1.723,1.042
B3LF78,-2.47,8,3.133,2.281
Q9VRS7,1.4,8,7.753,3.466
