study,name,Run,BioSample,sample,lake,depth,date,LibraryName,O2 (umol L-1)
MZG+20,Swiss Lakes,ERR2756243,SAMEA4853104,G16,Greifensee,11.7,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756310,SAMEA4853104,G16,Greifensee,11.7,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756311,SAMEA4853105,G17,Greifensee,12.1,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756244,SAMEA4853105,G17,Greifensee,12.1,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756245,SAMEA4853106,G18,Greifensee,12.5,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756312,SAMEA4853106,G18,Greifensee,12.5,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756313,SAMEA4853107,G19,Greifensee,12.9,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756246,SAMEA4853107,G19,Greifensee,12.9,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756247,SAMEA4853108,G02,Greifensee,13.3,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756314,SAMEA4853108,G02,Greifensee,13.3,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756315,SAMEA4853109,G01,Greifensee,13.7,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756248,SAMEA4853109,G01,Greifensee,13.7,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756249,SAMEA4853888,Z01,Lake Zug,100,2015-10-12,c,37.03
MZG+20,Swiss Lakes,ERR2756316,SAMEA4853888,Z01,Lake Zug,100,2015-10-12,c,37.03
MZG+20,Swiss Lakes,ERR2756317,SAMEA4853889,Z02,Lake Zug,102,2015-10-12,c,32.41
MZG+20,Swiss Lakes,ERR2756250,SAMEA4853889,Z02,Lake Zug,102,2015-10-12,c,32.41
MZG+20,Swiss Lakes,ERR2756251,SAMEA4853890,Z03,Lake Zug,104,2015-10-12,c,23.85
MZG+20,Swiss Lakes,ERR2756318,SAMEA4853890,Z03,Lake Zug,104,2015-10-12,c,23.85
MZG+20,Swiss Lakes,ERR2756319,SAMEA4853891,Z04,Lake Zug,106,2015-10-12,c,24.78
MZG+20,Swiss Lakes,ERR2756252,SAMEA4853891,Z04,Lake Zug,106,2015-10-12,c,24.78
MZG+20,Swiss Lakes,ERR2756253,SAMEA4853892,Z05,Lake Zug,108,2015-10-12,c,21.06
MZG+20,Swiss Lakes,ERR2756320,SAMEA4853892,Z05,Lake Zug,108,2015-10-12,c,21.06
MZG+20,Swiss Lakes,ERR2756321,SAMEA4853893,Z06,Lake Zug,110,2015-10-12,c,15.59
MZG+20,Swiss Lakes,ERR2756254,SAMEA4853893,Z06,Lake Zug,110,2015-10-12,c,15.59
MZG+20,Swiss Lakes,ERR2756255,SAMEA4853894,Z07,Lake Zug,112,2015-10-12,c,15.03
MZG+20,Swiss Lakes,ERR2756322,SAMEA4853894,Z07,Lake Zug,112,2015-10-12,c,15.03
MZG+20,Swiss Lakes,ERR2756323,SAMEA4853895,Z08,Lake Zug,114,2015-10-12,c,12.41
MZG+20,Swiss Lakes,ERR2756256,SAMEA4853895,Z08,Lake Zug,114,2015-10-12,c,12.41
MZG+20,Swiss Lakes,ERR2756257,SAMEA4853896,Z09,Lake Zug,116,2015-10-12,c,8.78
MZG+20,Swiss Lakes,ERR2756324,SAMEA4853896,Z09,Lake Zug,116,2015-10-12,c,8.78
MZG+20,Swiss Lakes,ERR2756325,SAMEA4853897,Z10,Lake Zug,118,2015-10-12,c,3.66
MZG+20,Swiss Lakes,ERR2756258,SAMEA4853897,Z10,Lake Zug,118,2015-10-12,c,3.66
MZG+20,Swiss Lakes,ERR2756259,SAMEA4853898,Z11,Lake Zug,120,2015-10-12,c,2.38
MZG+20,Swiss Lakes,ERR2756326,SAMEA4853898,Z11,Lake Zug,120,2015-10-12,c,2.38
MZG+20,Swiss Lakes,ERR2756327,SAMEA4853899,Z12,Lake Zug,122,2015-10-12,c,0.06
MZG+20,Swiss Lakes,ERR2756260,SAMEA4853899,Z12,Lake Zug,122,2015-10-12,c,0.06
