study,name,Run,BioSample,sample,sDII,type
MMA+20,"Pennsylvania Streams 2017",SRR9115096,SAMN11830908,PASFUOG_EF_Sinnemahoning_Sed_0416,23.21,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115097,SAMN11830909,PASFUOG_EF_Sinnemahoning_Sed_0417,23.21,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115094,SAMN11830910,PASFUOG_EF_Sinnemahoning_Sed_0916,23.21,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115095,SAMN11830911,PASFUOG_EF_Sinnemahoning_Sed_0917,23.21,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115092,SAMN11830912,PASFUOG_Gifford_Dup_Sed_0416,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115093,SAMN11830913,PASFUOG_Gifford_Dup_Sed_0916,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115090,SAMN11830914,PASFUOG_Gifford_Dup_Sed_0917,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115091,SAMN11830915,PASFUOG_Gifford_Sed_0416,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115098,SAMN11830916,PASFUOG_Gifford_Sed_0916,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115099,SAMN11830917,PASFUOG_Gifford_Sed_0917,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115137,SAMN11830918,PASFUOG_Grays_Dup_Sed_0416,51.79,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115136,SAMN11830919,PASFUOG_Grays_Sed_0416,51.79,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115135,SAMN11830920,PASFUOG_Grays_Sed_0417,51.79,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115134,SAMN11830921,PASFUOG_Grays_Sed_0916,51.79,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115133,SAMN11830922,PASFUOG_Grays_Sed_0917,51.79,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115132,SAMN11830923,PASFUOG_HW_Babb_Sed_0416,36.61,"high disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115131,SAMN11830924,PASFUOG_HW_Babb_Sed_0916,36.61,"high disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115130,SAMN11830925,PASFUOG_Hagerman_Dup_Sed_0417,42.86,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115129,SAMN11830926,PASFUOG_Hagerman_Dup_Sed_0916,42.86,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115128,SAMN11830927,PASFUOG_Hagerman_Dup_Sed_0917,42.86,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115104,SAMN11830928,PASFUOG_Hagerman_Sed_0416,42.86,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115105,SAMN11830929,PASFUOG_Hagerman_Sed_0417,42.86,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115106,SAMN11830930,PASFUOG_Hagerman_Sed_0916,42.86,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115107,SAMN11830931,PASFUOG_Hagerman_Sed_0917,42.86,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115108,SAMN11830932,PASFUOG_Hicks_Dup_Sed_0416,10.71,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115109,SAMN11830933,PASFUOG_Hicks_Dup_Sed_0916,10.71,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115110,SAMN11830934,PASFUOG_Hicks_Dup_Sed_0917,10.71,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115111,SAMN11830935,PASFUOG_Hicks_Sed_0416,10.71,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115101,SAMN11830936,PASFUOG_Hicks_Sed_0417,10.71,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115103,SAMN11830937,PASFUOG_Hicks_Sed_0916,10.71,"low disturbance"
