seed,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
33,1.176,1.176,1.153,1.129,1.153,1.129,1.176,-0.282,0.329,0.212,0.188,-0.071,0.682,0.635,0.612,1.106,1.153
34,1.624,1.671,1.6,1.553,1.671,1.647,1.694,-0.376,0.329,0.188,0.188,-0.141,0.824,0.847,0.824,1.506,1.671
35,2.376,2.4,2.353,2.329,2.376,2.353,2.4,0.918,1.482,1.365,1.365,1.106,1.835,1.788,1.765,2.282,2.376
36,2,2,1.976,1.929,1.976,1.953,2,0.235,0.871,0.753,0.729,0.447,1.318,1.271,1.271,1.882,1.976
37,2.141,2.165,2.094,2.047,2.141,2.118,2.165,-0.071,0.753,0.588,0.565,0.212,1.294,1.247,1.224,2,2.141
38,2.165,2.188,2.141,2.118,2.165,2.141,2.165,0.588,1.247,1.129,1.106,0.847,1.624,1.553,1.553,2.071,2.165
39,1.929,1.929,1.906,1.859,1.882,1.859,1.906,0.682,1.2,1.106,1.082,0.871,1.482,1.435,1.412,1.859,1.906
40,1.976,2,1.976,1.953,1.976,1.976,2,0.988,1.412,1.341,1.318,1.153,1.647,1.6,1.6,1.929,1.976
41,2.518,2.541,2.494,2.424,2.494,2.471,2.518,0.541,1.224,1.082,1.059,0.753,1.718,1.671,1.624,2.4,2.518
42,1.294,1.294,1.271,1.224,1.247,1.224,1.247,-0.118,0.424,0.329,0.306,0.071,0.8,0.729,0.706,1.224,1.247
43,2.706,2.659,2.659,2.612,2.588,2.541,2.565,1.176,1.859,1.741,1.694,1.435,2.235,2.071,2.024,2.588,2.588
44,2.047,2.047,2.024,2,2.024,1.976,2.024,0.659,1.247,1.129,1.106,0.871,1.553,1.482,1.459,1.976,2.024
45,2.259,2.259,2.235,2.188,2.212,2.188,2.212,0.965,1.459,1.341,1.318,1.129,1.788,1.718,1.694,2.165,2.212
46,2.118,2.141,2.071,2.024,2.118,2.094,2.141,-0.424,0.565,0.353,0.353,-0.094,1.176,1.153,1.129,1.976,2.118
47,1.506,1.506,1.459,1.435,1.459,1.435,1.482,-0.118,0.518,0.4,0.376,0.094,0.918,0.847,0.847,1.412,1.482
48,2.071,2.071,2.024,1.976,2.047,2.024,2.071,0.329,0.871,0.753,0.729,0.494,1.318,1.271,1.271,1.929,2.047
49,1.694,1.741,1.647,1.6,1.718,1.694,1.741,-0.635,0.235,0.071,0.047,-0.353,0.824,0.8,0.776,1.553,1.718
50,1.929,1.953,1.906,1.859,1.929,1.906,1.953,-0.071,0.729,0.588,0.565,0.212,1.224,1.176,1.153,1.835,1.953
51,1.224,1.247,1.2,1.176,1.247,1.247,1.271,-0.094,0.4,0.306,0.282,0.071,0.706,0.729,0.729,1.153,1.271
52,1.765,1.765,1.718,1.694,1.741,1.718,1.765,-0.071,0.659,0.518,0.494,0.188,1.106,1.059,1.035,1.647,1.741
53,1.459,1.459,1.412,1.388,1.412,1.388,1.412,-0.141,0.471,0.353,0.329,0.071,0.871,0.824,0.8,1.365,1.412
54,2,2.047,1.976,1.953,2.024,2,2.047,0.141,0.871,0.729,0.729,0.4,1.318,1.294,1.294,1.906,2.024
