protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
tr|Q95S79,DROME,FKL+19,Q95S79,1,26,24,28,23,12,35,14,16,22,29,5,23,15,11,27,37,19,27,14,23
sp|O02195,DROME,FKL+19,EIF3I,1,19,4,25,19,16,28,8,20,19,22,11,12,10,11,13,32,26,16,6,9
sp|P36241,DROME,FKL+19,RL19,1,19,3,7,12,2,8,7,11,33,18,6,9,3,8,27,7,6,10,2,5
tr|X2JGM9,DROME,FKL+19,X2JGM9,1,17,2,14,9,10,24,9,17,28,24,5,8,14,4,20,10,15,22,1,8
tr|O97428,DROME,FKL+19,O97428,1,15,0,5,18,5,3,2,8,18,10,1,12,7,9,0,3,9,4,0,0
tr|X2JGG6,DROME,FKL+19,X2JGG6,1,12,4,12,14,3,15,9,10,14,17,4,8,15,13,12,17,4,20,1,4
tr|Q9U1L2,DROME,FKL+19,Q9U1L2,1,32,1,11,10,8,25,4,17,14,25,4,15,7,7,10,14,15,30,0,2
sp|Q9VEG6,DROME,FKL+19,PERC,1,56,19,48,44,40,52,26,43,29,75,21,34,58,46,56,59,33,47,4,19
sp|Q8MLY8,DROME,FKL+19,RS8,1,15,2,7,14,5,17,4,8,28,17,2,9,5,6,23,13,11,13,2,7
tr|B8A416,DROME,FKL+19,B8A416,1,10,8,23,18,11,19,17,16,29,33,6,18,16,14,16,16,16,22,4,20
sp|O96827,DROME,FKL+19,EF1B,1,30,1,24,18,8,12,1,12,18,17,5,8,10,6,6,14,7,16,4,5
tr|Q7K8X7,DROME,FKL+19,Q7K8X7,1,20,4,13,10,9,13,4,15,14,25,4,9,10,9,10,14,6,16,2,14
tr|Q8IRJ9,DROME,FKL+19,Q8IRJ9,1,41,10,20,24,13,39,5,30,21,48,14,28,17,22,20,29,36,34,9,14
sp|P22464,DROME,FKL+19,ANXB9,1,27,5,24,29,15,25,4,29,24,29,5,7,7,13,12,25,17,12,3,12
tr|M9NDC3,DROME,FKL+19,M9NDC3,1,88,22,46,62,32,31,17,60,38,94,35,44,31,50,33,55,55,60,9,22
tr|Q9VNB9,DROME,FKL+19,Q9VNB9,1,23,2,1,7,4,11,7,6,22,5,3,5,8,5,17,5,8,11,1,6
tr|Q8T0L3,DROME,FKL+19,Q8T0L3,1,105,23,70,89,56,80,20,62,75,102,22,65,52,48,47,102,61,74,9,29
sp|Q9VV72,DROME,FKL+19,MINP1,1,34,12,34,20,18,24,11,19,28,56,8,18,17,23,22,28,31,24,8,32
tr|Q9VG42,DROME,FKL+19,Q9VG42,1,25,5,23,18,15,20,8,18,23,24,7,13,6,9,12,17,11,18,4,13
tr|Q9VK69,DROME,FKL+19,Q9VK69,1,59,12,32,30,12,28,8,43,40,51,11,23,16,19,23,42,31,50,0,3
tr|X2JCS6,DROME,FKL+19,X2JCS6,1,21,3,7,13,8,13,4,10,46,28,2,9,19,12,21,8,13,28,2,4
tr|Q9W0J9,DROME,FKL+19,Q9W0J9,1,20,5,12,26,14,30,10,14,20,35,3,18,19,16,12,14,16,26,3,9
sp|Q9VTP4,DROME,FKL+19,R10AB,1,14,3,9,11,7,13,5,9,32,28,7,12,8,10,7,17,4,16,1,4
tr|E2QCY2,DROME,FKL+19,E2QCY2,1,36,19,29,36,22,55,14,37,42,59,20,35,32,27,31,34,33,58,8,27
tr|Q9VSD6,DROME,FKL+19,Q9VSD6,1,80,15,69,90,36,33,25,75,60,113,34,34,47,62,33,62,60,72,14,35
tr|X2J5G6,DROME,FKL+19,X2J5G6,1,20,1,4,14,12,10,4,17,34,21,3,18,13,11,25,6,6,22,3,8
sp|Q9VFC2,DROME,FKL+19,SP88E,1,32,3,26,32,22,12,8,22,25,46,13,19,20,21,22,41,22,26,3,12
tr|Q9V405,DROME,FKL+19,Q9V405,1,29,2,34,36,14,20,9,28,31,40,13,14,20,19,24,20,17,29,0,14
sp|Q9U9Q4,DROME,FKL+19,EIF3H,1,26,6,16,29,11,13,10,15,20,32,13,18,11,20,17,21,23,24,1,12
tr|Q6NL44,DROME,FKL+19,Q6NL44,1,29,6,25,38,20,30,10,14,35,48,13,27,31,26,26,29,23,36,2,10
tr|M9PI17,DROME,FKL+19,M9PI17,1,17,5,19,26,11,19,6,25,32,25,3,13,19,9,11,14,17,26,5,14
sp|P28668,DROME,FKL+19,SYEP,1,169,21,111,105,51,99,24,90,175,137,23,59,99,65,63,109,103,129,31,51
tr|T2FFB7,DROME,FKL+19,T2FFB7,1,75,11,67,71,38,69,22,49,77,92,18,44,36,37,43,55,49,74,10,29
tr|Q9VHL2,DROME,FKL+19,Q9VHL2,1,53,11,30,41,14,43,9,44,42,50,18,21,18,27,23,28,23,38,3,8
tr|Q9VLI0,DROME,FKL+19,Q9VLI0,1,58,9,70,74,52,59,25,58,56,69,19,51,32,46,46,72,53,76,10,47
tr|Q9VPN5,DROME,FKL+19,Q9VPN5,1,60,6,27,51,17,20,9,28,54,31,15,25,25,28,21,21,17,12,1,22
tr|Q9VLH9,DROME,FKL+19,Q9VLH9,1,65,9,72,76,52,57,30,54,58,69,20,52,34,50,50,66,58,79,11,45
tr|M9PE14,DROME,FKL+19,M9PE14,1,5,0,8,12,10,6,0,6,16,9,5,5,11,5,12,8,10,11,3,8
sp|P41094,DROME,FKL+19,RS18,1,4,1,9,6,2,12,4,12,18,13,3,7,3,5,16,8,10,12,3,4
tr|M9PHM6,DROME,FKL+19,M9PHM6,1,12,3,6,5,8,11,5,8,18,20,2,6,9,7,26,9,14,14,0,5
sp|P13060,DROME,FKL+19,EF2,1,57,18,58,60,33,61,17,52,69,67,29,28,41,27,41,42,41,70,7,26
tr|Q9VY87,DROME,FKL+19,Q9VY87,1,20,14,18,22,13,41,16,17,15,21,4,12,16,7,18,27,14,24,10,11
sp|A1ZAX1,DROME,FKL+19,EIF3C,1,60,10,72,87,32,31,24,47,71,73,30,49,28,44,67,62,35,54,8,26
sp|Q9GU68,DROME,FKL+19,IF5A,1,8,6,15,12,5,10,4,8,14,16,7,5,5,4,5,12,12,9,0,2
tr|E4NKG1,DROME,FKL+19,E4NKG1,1,87,1,35,56,21,94,21,23,34,61,10,79,66,120,46,86,51,41,4,25
tr|Q9W392,DROME,FKL+19,Q9W392,1,60,8,34,42,15,38,9,39,37,55,15,17,13,20,29,33,25,40,1,5
sp|P22769,DROME,FKL+19,PSA71,1,23,4,11,24,9,16,5,14,21,18,6,10,5,13,16,13,10,23,0,8
tr|Q9VM19,DROME,FKL+19,Q9VM19,1,27,1,19,18,8,15,6,16,24,22,5,13,14,14,10,12,12,22,4,11
tr|C7LAB1,DROME,FKL+19,C7LAB1,1,121,34,91,101,69,116,52,82,77,154,31,77,84,71,91,111,78,103,29,68
tr|A5XCL5,DROME,FKL+19,A5XCL5,1,27,4,33,35,26,32,14,32,36,53,15,34,23,13,31,23,29,40,3,8
tr|Q9VZU7,DROME,FKL+19,Q9VZU7,1,73,15,55,64,33,56,21,34,52,68,25,40,44,27,39,55,41,48,9,28
tr|Q9VV82,DROME,FKL+19,Q9VV82,1,103,23,73,84,54,38,19,77,55,118,43,43,53,41,43,71,36,73,3,29
tr|Q9U5W6,DROME,FKL+19,Q9U5W6,1,200,22,118,146,58,105,33,115,186,218,51,91,111,105,88,122,98,131,16,36
tr|Q9Y112,DROME,FKL+19,Q9Y112,1,19,7,17,23,9,17,11,27,25,26,6,20,15,12,13,13,18,16,3,19
tr|Q9W3Y3,DROME,FKL+19,Q9W3Y3,1,20,1,19,17,5,13,4,9,28,25,5,9,2,13,7,14,15,15,3,6
tr|M9PFF0,DROME,FKL+19,M9PFF0,1,25,2,5,15,8,13,5,11,31,14,2,10,11,7,25,7,9,12,3,3
tr|M9NCS8,DROME,FKL+19,M9NCS8,1,69,5,46,127,27,52,18,28,13,101,4,44,82,116,90,56,45,46,10,47
tr|Q9VFT4,DROME,FKL+19,Q9VFT4,1,46,3,23,29,20,70,12,19,18,41,9,58,63,110,33,47,21,50,0,18
tr|Q9VJH2,DROME,FKL+19,Q9VJH2,1,65,11,69,89,49,82,22,52,60,92,25,65,63,45,74,64,59,63,5,28
tr|Q9VE79,DROME,FKL+19,Q9VE79,1,61,5,60,78,39,41,24,36,74,95,23,44,52,36,67,80,61,51,16,23
tr|X2JEB6,DROME,FKL+19,X2JEB6,1,34,4,28,21,20,41,10,18,34,49,1,27,26,10,16,28,18,31,6,20
tr|Q9VGF3,DROME,FKL+19,Q9VGF3,1,28,3,19,30,12,25,5,15,28,42,6,10,10,11,16,17,22,24,4,18
tr|Q7KMQ0,DROME,FKL+19,Q7KMQ0,1,32,7,38,32,16,29,6,30,36,34,12,13,24,17,28,17,20,31,1,10
tr|Q9VXK7,DROME,FKL+19,Q9VXK7,1,23,5,8,5,3,14,2,9,12,21,12,6,15,12,15,16,10,17,5,11
tr|Q7KM15,DROME,FKL+19,Q7KM15,1,19,0,10,12,3,15,3,13,19,11,2,10,8,7,3,11,13,10,0,0
tr|O97118,DROME,FKL+19,O97118,1,62,0,9,5,3,9,3,12,55,15,2,10,20,4,16,7,15,16,0,6
sp|P48591,DROME,FKL+19,RIR1,1,59,17,39,56,32,49,18,52,58,67,24,53,30,30,37,50,47,47,11,36
tr|Q9VIX4,DROME,FKL+19,Q9VIX4,1,76,12,29,45,27,42,15,36,32,75,15,30,27,28,39,47,40,38,12,28
tr|Q9VRQ2,DROME,FKL+19,Q9VRQ2,1,11,4,11,11,6,8,3,20,14,18,8,13,6,14,5,14,21,11,3,6
sp|Q9VL18,DROME,FKL+19,EF1D,1,22,1,25,30,7,10,3,16,28,26,2,7,6,9,10,16,11,19,4,4
tr|C0MIY4,DROME,FKL+19,C0MIY4,1,13,3,14,22,10,13,6,12,9,13,7,17,16,5,7,13,10,19,2,7
tr|Q9VTB0,DROME,FKL+19,Q9VTB0,1,39,14,19,28,16,21,15,17,28,45,9,22,11,28,20,22,20,21,3,9
tr|A4V3G8,DROME,FKL+19,A4V3G8,1,51,3,30,32,18,39,12,20,71,43,13,27,49,17,32,49,32,40,4,17
tr|Q8SXQ1,DROME,FKL+19,Q8SXQ1,1,44,8,18,35,15,59,9,36,27,42,2,26,19,31,26,34,32,53,8,16
tr|Q9VW54,DROME,FKL+19,Q9VW54,1,75,14,61,61,24,53,23,55,65,118,36,39,34,38,34,63,47,45,3,31
sp|P48601,DROME,FKL+19,PRS4,1,24,3,33,41,9,31,8,27,42,42,14,12,24,14,28,22,25,29,0,11
sp|P38979,DROME,FKL+19,RSSA,1,24,1,18,22,10,14,4,19,12,21,5,13,17,8,14,14,19,22,7,6
tr|Q9W1N3,DROME,FKL+19,Q9W1N3,1,12,1,3,7,6,9,7,2,7,8,3,5,5,4,9,6,1,7,2,5
tr|Q9VGM2,DROME,FKL+19,Q9VGM2,1,2,1,8,11,6,10,0,6,14,12,3,6,2,2,4,8,19,12,0,4
tr|M9PG76,DROME,FKL+19,M9PG76,1,37,2,14,24,16,23,4,24,28,26,7,15,19,9,9,20,14,20,1,5
tr|Q9VXQ5,DROME,FKL+19,Q9VXQ5,1,54,5,38,33,12,33,11,33,42,59,17,24,17,16,24,25,34,45,0,11
tr|Q7K3B7,DROME,FKL+19,Q7K3B7,1,62,10,22,32,24,45,12,35,28,48,16,24,34,30,26,24,26,45,5,20
sp|Q95083,DROME,FKL+19,PSA5,1,22,4,11,23,11,18,5,17,10,17,10,8,8,11,12,17,16,18,2,4
tr|X2JCY2,DROME,FKL+19,X2JCY2,1,29,16,30,45,17,54,19,41,38,60,9,22,32,26,35,44,35,52,4,19
tr|Q9V3Z4,DROME,FKL+19,Q9V3Z4,1,37,13,37,49,14,11,8,32,54,53,18,20,13,17,22,25,29,31,2,17
tr|Q9VNX4,DROME,FKL+19,Q9VNX4,1,44,10,32,30,28,41,9,40,45,41,16,23,28,19,22,47,34,36,7,22
tr|C7LA75,DROME,FKL+19,C7LA75,1,58,5,48,47,24,53,8,43,51,50,12,32,25,23,30,31,55,40,2,14
tr|Q9VCN6,DROME,FKL+19,Q9VCN6,1,66,16,42,56,33,24,22,37,41,81,23,33,23,28,30,55,33,36,5,34
tr|Q9W3K9,DROME,FKL+19,Q9W3K9,1,27,6,13,20,13,23,7,27,19,30,10,24,13,10,14,10,14,28,3,9
tr|C8VV30,DROME,FKL+19,C8VV30,1,23,11,31,33,23,17,12,31,34,31,6,30,17,11,23,38,24,28,7,13
sp|O46084,DROME,FKL+19,PGAM5,1,21,5,16,20,10,18,9,16,17,23,3,12,17,11,25,15,14,20,8,9
sp|P02299,DROME,FKL+19,H3,1,18,1,4,7,4,7,2,7,13,12,3,1,6,8,18,6,10,6,0,3
sp|Q7K550,DROME,FKL+19,EIF3J,1,26,2,20,34,9,11,3,6,31,19,3,9,9,8,6,12,10,11,4,3
sp|Q9XYU0,DROME,FKL+19,MCM7,1,50,16,54,47,22,40,18,42,43,70,27,24,27,32,54,42,41,51,2,18
tr|O97418,DROME,FKL+19,O97418,1,11,1,7,7,2,6,2,4,4,13,1,2,10,7,10,6,2,4,1,3
tr|Q7KKI0,DROME,FKL+19,Q7KKI0,1,51,8,34,41,15,37,11,42,44,52,20,12,20,25,23,32,27,41,2,5
sp|Q94518,DROME,FKL+19,NACA,1,28,0,18,20,3,15,1,15,19,14,5,11,9,8,6,13,14,16,0,2
tr|Q9VIQ8,DROME,FKL+19,Q9VIQ8,1,20,3,8,12,5,10,3,10,13,20,2,8,6,10,9,9,8,14,6,6
tr|Q9VZI1,DROME,FKL+19,Q9VZI1,1,19,4,6,14,10,12,1,11,16,13,4,18,5,10,7,18,7,9,2,2
tr|E2QCG7,DROME,FKL+19,E2QCG7,1,29,6,42,63,43,32,14,37,60,47,14,34,35,24,35,40,38,57,15,25
sp|P50887,DROME,FKL+19,RL22,1,89,1,16,11,5,7,1,7,56,11,2,12,26,1,8,14,9,16,1,6
tr|Q9V4E0,DROME,FKL+19,Q9V4E0,1,38,6,26,32,18,32,12,27,22,46,19,12,27,15,31,21,26,32,6,20
tr|Q7KLW9,DROME,FKL+19,Q7KLW9,1,51,7,30,27,13,30,18,28,35,49,8,16,26,25,17,30,44,34,6,11
tr|Q9U1K3,DROME,FKL+19,Q9U1K3,1,15,1,13,10,8,7,3,13,10,13,1,6,6,6,7,10,8,11,3,2
tr|E8NHA8,DROME,FKL+19,E8NHA8,1,92,15,51,73,47,73,13,75,62,97,30,32,40,27,39,72,65,82,14,21
tr|A1ZB68,DROME,FKL+19,A1ZB68,1,17,0,14,12,12,12,5,16,17,28,2,12,11,3,9,12,11,13,2,12
tr|Q9VRP4,DROME,FKL+19,Q9VRP4,1,31,5,35,28,11,30,14,35,25,56,7,15,33,24,36,42,24,50,7,10
tr|Q8MSI7,DROME,FKL+19,Q8MSI7,1,8,1,8,8,3,10,3,6,13,7,4,7,9,2,6,4,5,4,5,14
sp|Q9VUY9,DROME,FKL+19,PGM,1,44,6,31,32,26,56,10,35,38,40,11,25,24,13,21,38,37,48,4,21
tr|M9PGX7,DROME,FKL+19,M9PGX7,1,38,2,21,28,14,49,4,37,36,31,14,23,29,10,14,22,24,41,1,12
tr|R9Q794,DROME,FKL+19,R9Q794,1,31,4,16,17,13,20,8,12,31,19,3,12,7,10,25,12,18,23,1,17
tr|Q9VDZ8,DROME,FKL+19,Q9VDZ8,1,30,6,29,38,18,15,3,25,40,32,14,21,11,23,25,36,19,30,5,8
sp|Q9VAN0,DROME,FKL+19,SERC,1,36,3,15,18,14,30,4,21,25,31,11,27,16,11,11,24,18,31,3,15
tr|Q7JRC3,DROME,FKL+19,Q7JRC3,1,25,2,27,23,25,32,13,20,30,56,11,27,25,16,23,22,27,31,11,28
tr|Q9W414,DROME,FKL+19,Q9W414,1,27,4,28,32,10,24,5,27,32,48,12,14,19,12,30,16,20,25,0,12
tr|H1ZYF1,DROME,FKL+19,H1ZYF1,1,17,3,12,13,4,15,4,11,37,22,4,5,10,9,30,17,8,20,1,6
tr|Q7KVU4,DROME,FKL+19,Q7KVU4,1,16,1,25,15,18,12,10,6,17,23,5,5,5,8,18,15,10,15,3,4
tr|Q9W0S6,DROME,FKL+19,Q9W0S6,1,13,0,7,13,3,6,8,5,12,25,4,10,7,6,20,7,6,12,1,11
sp|Q9W0S7,DROME,FKL+19,SND1,1,95,7,53,75,32,55,13,41,70,74,7,37,47,34,61,54,53,78,13,27
tr|Q9W1G7,DROME,FKL+19,Q9W1G7,1,19,5,35,38,18,13,8,22,31,19,9,17,27,22,13,22,14,21,3,14
sp|P54397,DROME,FKL+19,FKB39,1,28,1,33,44,9,30,4,17,44,19,7,12,15,18,7,25,11,22,2,9
sp|Q9VGW6,DROME,FKL+19,MCM5,1,55,16,43,56,32,48,15,55,47,59,21,26,28,32,55,51,35,42,1,16
tr|Q9VIE8,DROME,FKL+19,Q9VIE8,1,67,15,52,35,23,75,18,49,62,71,15,45,40,22,32,47,44,45,9,21
tr|Q7JZD3,DROME,FKL+19,Q7JZD3,1,26,5,21,19,16,14,3,15,19,17,10,19,15,12,14,23,13,19,2,9
tr|M9NDR2,DROME,FKL+19,M9NDR2,1,53,4,47,92,13,22,14,25,61,108,16,40,4,55,39,63,45,34,2,13
tr|Q7KUC2,DROME,FKL+19,Q7KUC2,1,21,1,12,20,12,25,8,17,19,38,3,15,17,17,11,17,14,27,2,8
tr|B5T1Z6,DROME,FKL+19,B5T1Z6,1,23,4,22,33,32,23,8,29,27,33,11,20,18,11,25,16,28,22,3,19
tr|Q95TW1,DROME,FKL+19,Q95TW1,1,24,8,13,18,9,14,5,14,12,23,6,10,8,13,12,16,8,13,0,7
tr|Q9VUC1,DROME,FKL+19,Q9VUC1,1,83,10,49,64,30,49,9,42,58,60,14,45,36,46,37,53,44,52,5,18
tr|X2JA18,DROME,FKL+19,X2JA18,1,38,4,30,16,20,32,9,17,21,48,10,25,23,24,25,36,17,21,7,18
tr|Q9W2E7,DROME,FKL+19,Q9W2E7,1,22,11,24,13,16,24,7,13,25,16,11,16,20,14,13,28,26,26,8,13
tr|Q9VWV6,DROME,FKL+19,Q9VWV6,1,67,21,41,46,20,31,13,32,44,58,4,24,30,41,41,35,27,40,3,23
sp|Q7JVI3,DROME,FKL+19,EIF3M,1,20,8,23,30,15,13,11,19,26,53,11,16,15,23,15,29,19,29,3,9
tr|Q8MSW0,DROME,FKL+19,Q8MSW0,1,81,17,68,88,58,58,25,68,91,121,24,52,60,46,65,78,54,97,22,56
tr|Q9V3P3,DROME,FKL+19,Q9V3P3,1,10,3,14,22,8,6,3,18,20,28,5,14,15,7,13,16,8,26,2,7
tr|Q9VBH8,DROME,FKL+19,Q9VBH8,1,13,4,0,7,1,12,2,5,28,11,2,3,13,5,19,9,7,17,0,4
tr|Q9VPL0,DROME,FKL+19,Q9VPL0,1,21,6,23,20,14,30,15,20,17,26,8,16,12,15,22,28,20,20,7,7
tr|E3CTS3,DROME,FKL+19,E3CTS3,1,31,11,25,31,22,34,8,35,30,52,10,26,26,15,25,31,21,38,4,21
tr|Q8T6I0,DROME,FKL+19,Q8T6I0,1,28,3,49,34,29,35,15,40,44,56,14,16,29,19,31,28,14,32,5,13
sp|Q9VEX6,DROME,FKL+19,ATD3A,1,66,3,31,57,16,38,13,19,49,63,18,15,16,35,51,30,37,26,5,16
tr|Q9VC18,DROME,FKL+19,Q9VC18,1,70,9,38,22,18,46,12,27,33,62,11,21,24,24,29,43,32,49,4,16
tr|B5RIV0,DROME,FKL+19,B5RIV0,1,55,12,40,38,18,48,19,45,58,51,18,23,24,20,26,49,35,54,7,26
sp|Q9VQZ6,DROME,FKL+19,ELP3,1,29,12,29,40,14,39,15,34,33,48,17,16,29,17,46,34,26,44,3,27
tr|O44226,DROME,FKL+19,O44226,1,9,0,11,9,4,5,0,4,6,9,6,6,6,10,5,4,11,10,0,3
sp|P09180,DROME,FKL+19,RL4,1,47,2,12,15,13,25,7,15,42,35,5,21,19,14,46,18,16,37,5,7
tr|T2FFJ2,DROME,FKL+19,T2FFJ2,1,88,16,63,95,50,67,25,50,103,112,33,47,58,46,56,62,60,83,24,44
sp|Q24208,DROME,FKL+19,IF2G,1,34,11,23,25,10,40,6,43,34,47,5,22,24,22,24,29,24,41,2,9
tr|Q9W3Z3,DROME,FKL+19,Q9W3Z3,1,25,9,14,30,14,37,13,26,22,38,14,8,17,10,23,25,20,31,4,14
