Entry,Log2.ratio.Adult.Embryo,X.log10.BH.corrected.p.value.Adult.vs.Embryo,log10.mRNA.adult,log10.mRNA.embryo
R9Q794,-1.074,11.105,5.672,6.514
Q9VDZ8,0.073,0.137,2.84,1.768
Q9VAN0,0.009,0.036,3.101,1.173
Q7JRC3,1.225,8.403,3.107,2.911
Q9W414,-1.66,7.764,3.923,4.131
H1ZYF1,-1.309,13.352,5.971,6.917
Q7KVU4,-1.277,4.836,1.439,4.344
Q9W0S6,0.3,1.451,1.311,2.993
Q9W0S7,-1.353,9.438,3.997,4.285
Q9W1G7,-1.665,7.409,5.1,4.624
P54397,-1.586,15.091,4.766,4.41
Q9VGW6,-1.925,8.846,0.607,3.276
Q9VIE8,3.509,9.92,5.923,4.341
Q7JZD3,-1.197,9.293,2.343,3.828
M9NDR2,-1.159,4.949,2.386,2.307
Q7KUC2,1.01,6.952,2.723,3.112
B5T1Z6,-0.145,0.236,2.737,1.566
Q95TW1,0.36,0.391,0.552,2.128
Q9VUC1,-1.805,9.183,3.869,3.125
X2JA18,1.251,6.884,3.956,2.462
Q9W2E7,0.018,0.028,1.338,2.92
Q9VWV6,1.005,3.367,6.435,-1.789
Q7JVI3,-1.216,10.418,3.708,4.253
Q8MSW0,-1.67,13.79,2.289,2.932
Q9V3P3,-1.16,8.939,2.89,3.781
Q9VBH8,-1.296,9.084,4.354,4.999
Q9VPL0,-1.533,8.193,2.752,3.613
E3CTS3,0.735,5.963,3.42,2.284
Q8T6I0,1.001,14.517,2.976,2.328
Q9VEX6,0.314,4.206,2.005,3.133
Q9VC18,0.255,2.465,2.994,1.826
B5RIV0,1.418,9.281,3.382,2.937
Q9VQZ6,-1.434,8.343,1.013,2.264
O44226,1.593,7.953,4.378,3.781
P09180,-1.408,12.886,6.097,6.646
T2FFJ2,-1.544,10.046,2.171,1.763
Q24208,-1.156,13.207,3.339,3.941
Q9W3Z3,-0.026,0.026,3.011,0.98
Q9VLT3,0.691,3.118,1.365,3.299
P53777,1.878,6.462,4.421,4.152
X2JG90,-1.837,9.842,1.909,3.135
O44116,-0.974,4.808,1.408,2.509
P06606,-3.277,5.557,1.997,2.522
Q01637,-1.913,8.874,1.504,2.633
Q9VG04,-1.54,6.401,2.422,3.331
Q9V3I2,-0.401,3.311,4.244,3.022
P02283,-0.532,1.139,1.586,5.152
Q9VJZ4,2.474,6.857,3.469,3.862
Q95T84,-0.95,1.863,3.139,1.15
D1FYI8,2.286,1.763,3.762,6.109
P53034,6.112,3.402,1.563,2.94
P16371,-0.84,2.74,2.184,3.418
Q2XXZ0,1.1,2.661,1.551,1.816
Q9U616,2.23,8.177,4.212,3.134
Q3YMU0,-1.22,12.342,4.767,4.673
M9PGG8,-1.091,3.437,1.611,2.461
F6JQA6,-1.322,6.336,2.712,3.351
Q9VZQ8,1.584,14.366,4.669,3.051
O46106,2.297,3.312,1.732,2.816
Q9VXN4,-1.678,11.039,2.128,2.413
Q9VE00,0.736,2.278,5.062,1.225
Q9W2E8,2.238,5.416,4.223,3.432
Q9VD29,-0.321,2.905,4.833,3.483
F3YDH0,-1.375,12.711,5.744,4.425
Q9VRP3,-1.354,9.167,3.206,3.283
Q9VXZ0,2.457,5.238,3.611,3.307
Q9VUW2,0.845,1.83,4.413,2.802
Q9VDY8,-0.303,3.278,3.377,1.807
Q9W402,2.154,6.344,4.183,3.859
Q9VVA6,-1.274,8.542,2.208,2.534
P18053,-1.192,5.6,4.282,4.14
F3YDB2,-1.317,11.672,4.305,3.675
Q9VX36,2.541,9.589,4.08,3.305
Q9XZE0,-0.459,1.405,2.995,4.375
Q9VFG5,1.731,8.56,3.989,2.933
Q8MT58,-1.492,9.062,3.32,3.765
B7YZK4,-2.177,4.973,4.421,2.757
Q6IDF5,2.195,4.352,3.623,4.141
P11046,1.139,7.308,1.853,3.688
Q27268,-1.194,8.619,3.128,5.014
Q9V521,1.652,7.057,2.503,2.582
Q9VCR2,1.219,9.078,4.352,2.235
Q9V3V6,-1.58,11.087,3.607,3.188
Q9GQR6,-1.473,6.258,1.935,2.374
Q9V3P6,-1.431,8.802,3.884,2.89
Q9VR79,-1.253,2.494,2.721,3.356
A4V488,-1.05,5.437,2.213,2.29
M9NDM4,-0.531,2.197,2.145,3.261
Q94514,2.444,4.316,6.6,5.159
Q9V3N1,1.016,6.101,2.883,2.91
O97064,-1.501,1.742,-0.51,3.753
