study,name,Run,BioSample,sample,type,year,pH
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929712,SAMN07486323,C13008SD,MSA+,2013,6
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929705,SAMN07486316,C13005SD,MSA+,2013,6.67
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929698,SAMN07486309,C13001SD,MSA+,2013,4.57
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929943,SAMN07486566,WRS.2014,MSA-,2014,5.94
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929941,SAMN07486564,VRS.2014,MSA-,2014,7.12
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929933,SAMN07486556,UWEFS.2014,MSA-,2014,5.38
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929927,SAMN07486550,UTCS.2014,MSA-,2014,7.57
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929916,SAMN07486539,UNHS.2014,MSA-,2014,5.88
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929911,SAMN07486533,UEEFS.2014,MSA-,2014,6.46
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929906,SAMN07486528,UDBS.2014,MSA+,2014,6.85
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929899,SAMN07486521,TRTRS.2014,MSA+,2014,6.08
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929893,SAMN07486515,SRS.2014,MSA+,2014,5.39
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929886,SAMN07486508,SRCS.2014,MSA+,2014,6.77
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929879,SAMN07486501,SiCS1.2014,MSA+,2014,5.6
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929877,SAMN07486499,SiCS.2014,MSA+,2014,5.6
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929861,SAMN07486483,MRS.2014,MSA-,2014,6.82
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929853,SAMN07486475,LWRS.2014,MSA+,2014,6.69
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929847,SAMN07486469,LRS.2014,MSA+,2014,6.75
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5931713,SAMN07486456,LiLRS.2014,MSA+,2014,4.37
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929838,SAMN07486451,LCS.2014,MSA+,2014,6.33
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929834,SAMN07486447,IRS.2014,MSA+,2014,6.98
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929817,SAMN07486429,DRS.2014,MSA+,2014,5.54
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929811,SAMN07486423,DixRS.2014,MSA+,2014,6.16
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929796,SAMN07486408,CSS.2014,MSA+,2014,6.19
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929790,SAMN07486402,CroRS.2014,MSA-,2014,5.22
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929786,SAMN07486398,CaRS.2014,MSA+,2014,7.28
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929775,SAMN07486387,ALXS.2014,MSA+,2014,4.96
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929944,SAMN07486567,WRS.2015,MSA-,2015,5.56
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929934,SAMN07486557,UWEFS.2015,MSA+,2015,6.48
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929917,SAMN07486540,UNHS.2015,MSA+,2015,5.13
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929912,SAMN07486534,UEEFS.2015,MSA+,2015,7.3
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929907,SAMN07486529,UDBS.2015,MSA+,2015,9.42
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929902,SAMN07486524,UBS.2015,MSA-,2015,6.85
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929894,SAMN07486516,SRS.2015,MSA+,2015,5.42
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929876,SAMN07486498,SiCM.2015,MSA+,2015,6.13
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929872,SAMN07486494,PCS.2015,MSA+,2015,6.1
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929862,SAMN07486484,MRS.2015,MSA-,2015,6.42
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929854,SAMN07486476,LWRS.2015,MSA+,2015,6.5
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5931714,SAMN07486457,LiLRS.2015,MSA+,2015,4.68
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929831,SAMN07486444,HRS.2015,MSA+,2015,6.76
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929812,SAMN07486424,DixRS.2015,MSA+,2015,5.71
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929803,SAMN07486415,DHS.2015,MSA-,2015,6.67
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929797,SAMN07486409,CSS.2015,MSA+,2015,8.26
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929791,SAMN07486403,CroRS.2015,MSA-,2015,5.27
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929776,SAMN07486388,ALXS.2015,MSA+,2015,4.98
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929935,SAMN07486558,UWEFS.2016,MSA+,2016,6.96
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929928,SAMN07486551,UTCS.2016,MSA-,2016,7.71
UKD+18.sediment,NA,SRR5929918,SAMN07486541,UNHS.2016,MSA+,2016,7.37
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929913,SAMN07486535,UEEFS.2016,MSA+,2016,6.92
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929887,SAMN07486509,SRCS.2016,MSA+,2016,7.12
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929878,SAMN07486500,SiCS.2016,MSA+,2016,5.71
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929868,SAMN07486490,NHS.2016,MSA+,2016,5.98
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929863,SAMN07486485,MRS.2016,MSA-,2016,7.2
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929859,SAMN07486481,LWS.2016,MSA+,2016,6.94
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929848,SAMN07486470,LRS.2016,MSA+,2016,7.31
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5931715,SAMN07486458,LiLRS.2016,MSA+,2016,4.64
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929820,SAMN07486432,DRS2.2016,MSA+,2016,7.42
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929819,SAMN07486431,DRS.2016,MSA+,2016,7.42
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929813,SAMN07486425,DixRS.2016,MSA+,2016,7.01
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929804,SAMN07486416,DHS.2016,MSA-,2016,7.52
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929798,SAMN07486410,CSS.2016,MSA+,2016,6.3
UKD+18.sediment,"Pennsylvania Streams Sediment",SRR5929777,SAMN07486389,ALXS.2016,MSA+,2016,5.1
