accession,length,ZC
IPI00012729,407,-0.2258
IPI00012730,342,-0.2633
IPI00012733,362,-0.2571
IPI00012735,380,-0.2495
IPI00012736,370,-0.2666
IPI00013353,387,-0.2117
IPI00013375,425,-0.2259
IPI00013376,444,-0.2187
IPI00014315,328,-0.221
IPI00014785,350,-0.2908
IPI00014802,370,-0.2453
IPI00015134,481,-0.2649
IPI00015343,382,-0.2698
IPI00015730,359,-0.2564
IPI00015940,354,-0.227
IPI00015983,378,-0.2562
IPI00016314,358,-0.1822
IPI00016701,338,-0.3166
IPI00016900,373,-0.2344
IPI00016902,375,-0.2267
IPI00017041,370,-0.2404
IPI00017042,358,-0.2063
IPI00017043,349,-0.2242
IPI00017060,433,-0.2696
IPI00017705,422,-0.2107
IPI00017843,373,-0.2429
IPI00018079,364,-0.245
IPI00018147,487,-0.1965
IPI00018252,384,-0.2203
IPI00018253,360,-0.2751
IPI00018648,488,-0.176
IPI00018669,378,-0.2744
IPI00018672,380,-0.1843
IPI00018843,400,-0.2092
IPI00019382,352,-0.2509
IPI00019403,365,-0.2209
IPI00019433,375,-0.1831
IPI00019489,415,-0.2338
IPI00019491,455,-0.2182
IPI00019955,344,-0.2603
IPI00019957,355,-0.2934
IPI00019958,360,-0.2888
IPI00019985,355,-0.2865
IPI00020543,337,-0.2076
IPI00020968,421,-0.1682
IPI00020974,412,-0.2103
IPI00020976,332,-0.2612
IPI00021052,423,-0.2521
IPI00021358,465,-0.2155
IPI00021534,384,-0.209
IPI00021724,364,-0.2156
IPI00021725,364,-0.2182
IPI00022525,364,-0.2062
IPI00022557,385,-0.2065
IPI00022579,337,-0.2927
IPI00022860,325,-0.2584
IPI00022867,389,-0.2003
IPI00022919,588,-0.1365
IPI00023057,319,-0.3041
IPI00023456,590,-0.1766
IPI00023596,390,-0.2188
IPI00023623,337,-0.2264
IPI00023793,366,-0.2514
IPI00024206,300,-0.2464
IPI00024208,346,-0.2125
IPI00025357,356,-0.2213
IPI00025628,387,-0.2233
IPI00026065,381,-0.2618
IPI00026228,334,-0.2631
IPI00026347,430,-0.1907
IPI00026534,391,-0.2457
IPI00026564,362,-0.2388
IPI00026666,357,-0.2326
IPI00026825,373,-0.2583
IPI00026826,424,-0.2039
IPI00026872,326,-0.3219
IPI00026881,384,-0.2446
IPI00026886,389,-0.2353
IPI00027003,515,-0.2285
IPI00027391,348,-0.2492
IPI00027473,492,-0.2116
IPI00027474,539,-0.2038
IPI00027666,428,-0.2221
IPI00027684,332,-0.2586
IPI00027685,355,-0.2915
IPI00027686,399,-0.2383
IPI00027687,378,-0.287
IPI00027688,361,-0.2501
IPI00027755,370,-0.2538
IPI00027756,360,-0.2605
IPI00027804,391,-0.2231
IPI00027807,369,-0.2645
IPI00027955,372,-0.2285
IPI00028093,366,-0.2434
IPI00028132,328,-0.269
IPI00028150,418,-0.1875
IPI00029278,477,-0.1846
IPI00029486,363,-0.2733
IPI00030217,394,-0.2001
IPI00030283,418,-0.1933
IPI00031457,375,-0.2514
IPI00031548,368,-0.1658
IPI00031686,422,-0.2078
IPI00031710,532,-0.1908
IPI00032009,440,-0.2317
IPI00032116,410,-0.2204
IPI00032405,481,-0.1944
IPI00032463,361,-0.2127
IPI00043553,419,-0.3012
IPI00044280,431,-0.2627
IPI00044281,336,-0.2734
IPI00044282,337,-0.2574
IPI00044283,363,-0.1986
IPI00044315,378,-0.232
IPI00045309,345,-0.2423
IPI00045310,348,-0.2384
IPI00045329,339,-0.2788
IPI00046715,508,-0.1738
IPI00056444,342,-0.2838
IPI00059513,343,-0.2433
IPI00060424,333,-0.2274
IPI00064953,322,-0.2857
IPI00064965,330,-0.287
IPI00099988,398,-0.1873
IPI00100753,415,-0.2329
IPI00102131,322,-0.2767
IPI00103510,754,-0.2599
IPI00140250,451,-0.2202
IPI00152453,797,-0.1607
IPI00152470,393,-0.2568
IPI00152594,423,-0.2101
IPI00152604,470,-0.1662
IPI00152620,330,-0.2303
IPI00152634,335,-0.2757
IPI00168597,337,-0.2212
IPI00168843,384,-0.2454
IPI00171156,529,-0.199
IPI00172675,351,-0.2152
IPI00215964,338,-0.2583
IPI00216445,356,-0.2631
IPI00217217,453,-0.1812
IPI00217954,951,-0.1794
IPI00218912,520,-0.1891
IPI00260367,347,-0.2656
IPI00289120,368,-0.2448
IPI00291503,374,-0.2391
IPI00293530,482,-0.1922
IPI00293730,374,-0.2477
IPI00296446,397,-0.2797
IPI00296538,353,-0.2578
IPI00296618,350,-0.2609
IPI00296869,425,-0.2417
IPI00297315,450,-0.1769
IPI00298305,372,-0.2432
IPI00298653,377,-0.1956
IPI00298980,460,-0.1901
IPI00299062,617,-0.1612
IPI00299615,699,-0.2295
IPI00299952,340,-0.2657
IPI00300717,402,-0.2563
IPI00303575,695,-0.1997
IPI00303663,434,-0.1773
IPI00306173,388,-0.247
IPI00306651,358,-0.243
IPI00306781,349,-0.2481
IPI00306912,522,-0.1917
IPI00307219,426,-0.1798
IPI00328644,350,-0.2809
IPI00328871,319,-0.2507
IPI00329027,359,-0.2328
IPI00333751,289,-0.2898
IPI00337428,337,-0.2413
IPI00375079,445,-0.2093
IPI00375312,419,-0.2255
IPI00376213,377,-0.2805
IPI00386179,516,-0.1804
IPI00386324,1464,-0.0806
IPI00395810,354,-0.2621
IPI00409704,387,-0.2573
IPI00410442,609,-0.1357
IPI00412405,398,-0.2257
IPI00412464,532,-0.2244
IPI00419658,347,-0.2429
IPI00419887,376,-0.2577
IPI00427774,361,-0.1743
IPI00430196,499,-0.2089
IPI00434353,427,-0.2048
IPI00447219,321,-0.2271
IPI00455139,353,-0.2797
IPI00465066,413,-0.1755
IPI00470558,408,-0.204
IPI00477724,479,-0.2175
IPI00478110,494,-0.1696
IPI00514084,462,-0.1956
IPI00514691,967,-0.1759
IPI00554479,454,-0.1994
IPI00555618,331,-0.3154
IPI00556142,390,-0.2536
IPI00640020,415,-0.1941
IPI00640769,333,-0.2671
IPI00641364,794,-0.1435
IPI00646790,498,-0.191
IPI00744312,764,-0.2124
IPI00745939,407,-0.2065
IPI00748585,428,-0.2217
IPI00759535,344,-0.2541
IPI00783196,312,-0.2533
IPI00787570,387,-0.2149
IPI00789314,354,-0.2938
IPI00793941,386,-0.1903
IPI00795728,907,-0.2137
IPI00797565,388,-0.3107
IPI00797870,465,-0.1792
IPI00843916,296,-0.2165
IPI00872251,322,-0.2869
IPI00877977,372,-0.1621
IPI00878155,362,-0.2975
IPI00003083,447,-0.1851
IPI00026133,550,-0.1712
IPI00026641,440,-0.1965
IPI00169244,964,-0.0863
IPI00187004,508,-0.2021
IPI00218266,492,-0.1875
IPI00218459,493,-0.1711
IPI00219074,438,-0.2233
IPI00295079,423,-0.2065
IPI00300576,463,-0.204
IPI00420122,438,-0.2164
IPI00437612,496,-0.1784
IPI00478934,335,-0.2421
IPI00873212,554,-0.1985
IPI00873582,472,-0.2082
IPI00004476,299,-0.3108
IPI00021300,299,-0.3811
IPI00027205,316,-0.3015
IPI00027213,299,-0.3306
IPI00027216,291,-0.3248
IPI00028323,312,-0.3762
IPI00028325,309,-0.3582
IPI00028328,318,-0.3141
IPI00028332,303,-0.3445
IPI00028349,307,-0.3293
IPI00028350,317,-0.3071
IPI00221131,323,-0.2955
IPI00221132,307,-0.3042
IPI00249602,333,-0.2787
IPI00250364,318,-0.3013
IPI00255108,319,-0.3335
IPI00255111,309,-0.3452
IPI00259669,309,-0.3345
IPI00259671,309,-0.3399
IPI00259673,299,-0.3506
IPI00259693,299,-0.3496
IPI00375371,314,-0.3411
IPI00386340,263,-0.363
IPI00470540,338,-0.29
IPI00470541,309,-0.3398
IPI00847315,252,-0.3756
IPI00000035,311,-0.2326
IPI00009853,353,-0.2184
IPI00152613,301,-0.2368
IPI00168753,357,-0.2998
IPI00176426,395,-0.2331
IPI00013971,323,-0.116
IPI00023502,374,-0.1634
IPI00023505,317,-0.1138
IPI00026646,365,-0.1509
IPI00027491,321,-0.0279
IPI00064951,429,-0.1224
IPI00107694,508,-0.1312
IPI00141559,532,-0.0842
IPI00171151,742,-0.0878
IPI00418616,434,-0.1394
IPI00549768,260,-0.1859
IPI00640044,290,-0.1661
IPI00644622,262,-0.138
IPI00001584,304,-0.0798
IPI00001587,304,-0.0831
IPI00019883,348,-0.0914
IPI00019905,304,-0.0922
IPI00292723,304,-0.0725
IPI00302335,348,-0.0948
IPI00383528,436,-0.0866
IPI00383854,249,-0.0441
IPI00410313,410,-0.1166
IPI00655842,375,-0.0969
IPI00657784,399,-0.0779
IPI00719576,341,-0.0984
IPI00873936,455,-0.1005
IPI00845449,454,-0.1019
IPI00017501,499,-0.1197
IPI00027972,483,-0.1007
IPI00043215,1336,-0.1652
IPI00158145,299,-0.1058
IPI00329104,439,-0.1184
IPI00375601,489,-0.0844
IPI00376783,648,-0.0758
IPI00385705,668,-0.0841
IPI00792726,506,-0.1329
IPI00794127,615,-0.1106
IPI00829955,591,-0.145
IPI00016422,1447,-0.127
IPI00023814,1461,-0.114
IPI00027220,1287,-0.0956
IPI00154834,1250,-0.1075
IPI00216869,518,-0.1026
IPI00292980,814,-0.1182
IPI00293757,931,-0.1373
IPI00328431,945,-0.1195
IPI00465322,1115,-0.102
IPI00470692,842,-0.1532
IPI00470696,953,-0.0796
IPI00658004,1150,-0.1427
IPI00013435,335,-0.1607
IPI00019849,333,-0.1687
IPI00019850,333,-0.1564
IPI00025382,327,-0.1468
IPI00418592,388,-0.1648
IPI00003835,224,-0.1368
IPI00152018,332,-0.1337
IPI00166989,238,-0.1222
IPI00376457,232,-0.1481
IPI00414784,299,-0.161
IPI00783431,293,-0.1557
IPI00004573,764,-0.0915
IPI00019146,365,-0.1629
IPI00419977,348,-0.1693
IPI00432782,194,-0.1599
IPI00455582,271,-0.1931
IPI00552161,420,-0.1158
IPI00006749,304,-0.1456
IPI00384964,201,-0.1783
IPI00414863,276,-0.1557
IPI00003531,1021,-0.1246
IPI00008578,336,-0.1309
IPI00025142,241,-0.1248
IPI00031620,547,-0.1157
IPI00042916,1215,-0.0988
IPI00056478,613,-0.1162
IPI00185088,431,-0.1066
IPI00245940,407,-0.0563
IPI00293853,319,-0.0715
IPI00003648,517,-0.0915
IPI00022661,538,-0.1273
IPI00022959,549,-0.1638
IPI00043992,510,-0.0777
IPI00299158,417,-0.1336
IPI00103871,1007,-0.0902
IPI00385980,1394,-0.0799
IPI00418122,1615,-0.053
IPI00418275,1386,-0.082
IPI00015696,380,-0.1708
IPI00023119,390,-0.1263
IPI00410333,311,-0.1671
IPI00414495,200,-0.1527
IPI00427321,234,-0.2088
IPI00429125,260,-0.1413
IPI00024139,133,-0.0398
IPI00450949,278,-0.1244
IPI00639851,338,-0.1799
IPI00816333,116,-0.2111
IPI00003058,378,-0.1405
IPI00003101,272,-0.0661
IPI00003102,372,-0.131
IPI00005954,521,-0.0978
IPI00009243,1165,-0.1701
IPI00010099,686,-0.1876
IPI00012899,369,-0.1309
IPI00017476,508,-0.1452
IPI00020354,427,-0.1437
IPI00021382,398,-0.1534
IPI00021998,599,-0.1833
IPI00021999,541,-0.1853
IPI00022674,979,-0.1441
IPI00023599,638,-0.1166
IPI00027508,569,-0.1917
IPI00027637,635,-0.1013
IPI00028640,622,-0.1273
IPI00031171,468,-0.1014
IPI00031789,570,-0.1923
IPI00032199,380,-0.1872
IPI00184319,422,-0.1187
IPI00216365,863,-0.1353
IPI00289561,422,-0.0974
IPI00292014,459,-0.1579
IPI00296161,556,-0.1597
IPI00297124,918,-0.1179
IPI00303045,629,-0.1505
IPI00306687,420,-0.1904
IPI00431738,696,-0.164
IPI00432567,504,-0.1107
IPI00438855,862,-0.1342
IPI00444272,1097,-0.1309
IPI00444383,825,-0.0965
IPI00465082,764,-0.1663
IPI00550381,169,-0.0793
IPI00643921,560,-0.1218
IPI00795120,702,-0.0921
IPI00795930,603,-0.1807
IPI00855945,434,-0.1176
IPI00878728,556,-0.1344
IPI00879222,903,-0.1052
IPI00004366,553,-0.136
IPI00010193,515,-0.1329
IPI00010808,489,-0.149
IPI00012877,557,-0.1766
IPI00014417,578,-0.1116
IPI00097434,311,-0.2221
IPI00216651,520,-0.1024
IPI00297430,574,-0.1398
IPI00646217,327,-0.128
IPI00658181,356,-0.1818
IPI00005722,996,-0.1318
IPI00011218,972,-0.1311
IPI00015902,1106,-0.1488
IPI00022296,976,-0.1504
IPI00027721,1089,-0.1601
IPI00003446,573,-0.1144
IPI00005731,532,-0.1485
IPI00005732,505,-0.1425
IPI00005733,503,-0.1465
IPI00010862,502,-0.1346
IPI00015691,513,-0.1507
IPI00029219,509,-0.1402
IPI00164934,592,-0.1109
IPI00302552,493,-0.1604
IPI00437565,512,-0.1258
IPI00783156,1038,-0.0622
IPI00784262,517,-0.1276
IPI00029756,999,-0.1605
IPI00030887,890,-0.1547
IPI00296992,894,-0.1137
IPI00016371,1308,-0.1001
IPI00018274,1210,-0.1028
IPI00298285,1342,-0.0689
IPI00300384,1255,-0.1045
IPI00008290,1037,-0.1232
IPI00008315,984,-0.1213
IPI00008318,986,-0.1116
IPI00016645,998,-0.1199
IPI00021274,1005,-0.0958
IPI00021275,1055,-0.1023
IPI00166339,1008,-0.0933
IPI00289329,998,-0.1245
IPI00289342,987,-0.1098
IPI00294250,976,-0.0945
IPI00298105,983,-0.1323
IPI00745296,976,-0.1244
IPI00783604,1130,-0.1236
IPI00873411,1021,-0.0859
IPI00005142,822,-0.128
IPI00218424,841,-0.131
IPI00556393,1034,-0.1366
IPI00556575,879,-0.0867
IPI00025803,1402,-0.1083
IPI00027212,1297,-0.1169
IPI00027232,1367,-0.1101
IPI00004409,855,-0.1335
IPI00010405,937,-0.1048
IPI00013983,1114,-0.1205
IPI00014629,350,-0.1176
IPI00018335,1338,-0.1495
IPI00019530,1138,-0.1074
IPI00021365,864,-0.096
IPI00021396,1356,-0.1498
IPI00030273,1400,-0.1328
IPI00219225,610,-0.1812
IPI00288965,2347,-0.1645
IPI00289243,875,-0.1748
IPI00293565,1363,-0.103
IPI00294528,1408,-0.1515
IPI00298292,1070,-0.1085
IPI00304999,943,-0.0988
IPI00657861,919,-0.122
IPI00884093,1124,-0.129
IPI00012491,1073,-0.1738
IPI00013826,541,-0.1121
IPI00020942,1108,-0.1692
IPI00024685,1047,-0.1478
IPI00027200,1061,-0.1472
IPI00027242,1103,-0.153
IPI00000824,839,-0.1393
IPI00163641,838,-0.1242
IPI00514519,790,-0.1195
IPI00002224,386,-0.1751
IPI00018112,238,-0.2096
IPI00059263,375,-0.2141
IPI00217645,270,-0.2174
IPI00293360,330,-0.2338
IPI00328879,346,-0.2448
IPI00394849,377,-0.2295
IPI00455669,273,-0.1836
IPI00457115,311,-0.2306
IPI00479237,359,-0.2096
IPI00514089,363,-0.1595
IPI00001245,1288,-0.0792
IPI00029343,1331,-0.0701
IPI00216250,1311,-0.0898
IPI00219249,1384,-0.0887
IPI00292300,1306,-0.0787
IPI00647097,1288,-0.081
IPI00740827,291,-0.1257
IPI00844598,500,-0.0845
IPI00013271,251,-0.2383
IPI00304264,239,-0.2733
IPI00430407,239,-0.268
IPI00148059,502,-0.1633
IPI00300564,791,-0.1343
IPI00304993,866,-0.1153
IPI00413812,336,-0.0873
IPI00641705,739,-0.1087
IPI00747706,700,-0.1576
IPI00000151,788,-0.0846
IPI00007205,1196,-0.1154
IPI00009803,1038,-0.1276
IPI00010697,1130,-0.1252
IPI00013744,1181,-0.1398
IPI00014478,1181,-0.1241
IPI00015181,1035,-0.1359
IPI00023410,1063,-0.1393
IPI00026165,1167,-0.117
IPI00027422,1822,-0.0695
IPI00027505,1048,-0.1333
IPI00029533,769,-0.0799
IPI00215613,1189,-0.1135
IPI00217561,825,-0.0723
IPI00218987,1162,-0.1356
IPI00219896,1223,-0.1344
IPI00290043,1066,-0.1286
IPI00291792,769,-0.0721
IPI00295976,1039,-0.1309
IPI00297880,798,-0.0312
IPI00303283,788,-0.0694
IPI00306604,1049,-0.1247
IPI00479724,1169,-0.1278
IPI00645887,1153,-0.121
IPI00743104,1179,-0.1367
IPI00788112,958,-0.0587
IPI00018248,212,-0.337
IPI00028116,212,-0.3257
IPI00376991,220,-0.2791
IPI00000070,860,-0.0196
IPI00000073,1207,-0.0732
IPI00000201,770,-0.0073
IPI00000203,1613,-0.0833
IPI00005774,963,-0.0343
IPI00020557,4544,0.0099
IPI00021027,859,-0.0132
IPI00022608,2214,-0.0678
IPI00024273,873,-0.0132
IPI00024292,4655,-0.0022
IPI00032063,4636,-0.0117
IPI00045841,500,-0.077
IPI00238575,1189,-0.0555
IPI00306851,1950,-0.0099
IPI00414231,713,-0.0786
IPI00744811,1615,-0.0879
IPI00007921,1712,-0.0882
IPI00414249,1643,-0.1037
IPI00855821,1547,-0.0985
IPI00029693,931,-0.088
IPI00398715,923,-0.104
IPI00029819,2321,0.0319
IPI00297655,2471,0.029
IPI00412982,2556,0.0466
IPI00829649,2003,0.0203
IPI00014374,1447,-0.1504
IPI00419647,1203,-0.1967
IPI00020884,1871,-0.1341
IPI00024766,1568,-0.1451
IPI00155729,1909,-0.1188
IPI00165931,1894,-0.1481
IPI00412492,1925,-0.1317
IPI00455329,2135,-0.1139
IPI00552671,1896,-0.1322
IPI00719621,1909,-0.1393
IPI00853369,1838,-0.1206
IPI00032420,148,-0.179
IPI00032425,148,-0.2073
IPI00299297,180,-0.175
IPI00004440,979,-0.1129
IPI00011644,711,-0.1576
IPI00011651,1445,-0.0932
IPI00013096,1463,-0.1188
IPI00107472,1446,-0.1015
IPI00217020,669,-0.1704
IPI00241041,1216,-0.169
IPI00290328,1392,-0.0984
IPI00306325,1306,-0.0922
IPI00332271,1948,-0.1225
IPI00334666,1015,-0.0871
IPI00465186,1898,-0.1271
IPI00470937,1458,-0.1188
IPI00642099,1465,-0.1122
IPI00741536,2978,-0.1636
IPI00743698,804,-0.1282
IPI00745991,2215,-0.1132
IPI00760988,1117,-0.0552
IPI00871792,2405,-0.0987
IPI00872017,1912,-0.1337
IPI00218795,385,-0.0881
IPI00295339,830,-0.049
IPI00296542,610,-0.0464
IPI00002441,310,-0.0286
IPI00300407,201,-0.1434
IPI00395366,442,-0.1338
IPI00001796,242,-0.0372
IPI00002435,260,-0.038
IPI00004413,655,-0.1018
IPI00006073,595,-0.0551
IPI00006097,435,-0.0802
IPI00014211,255,-0.0469
IPI00018282,277,-0.0932
IPI00018362,293,-0.003
IPI00018859,277,-0.0431
IPI00021968,616,-0.017
IPI00021970,299,-0.0238
IPI00021975,468,-0.0648
IPI00023501,461,-0.0331
IPI00024331,283,-0.0745
IPI00027436,427,-0.0188
IPI00064377,430,-0.1085
IPI00100067,423,-0.0517
IPI00218927,185,-0.1487
IPI00220676,426,-0.0719
IPI00235003,362,-0.0818
IPI00293877,184,-0.1623
IPI00294516,386,-0.0759
IPI00296379,440,-0.071
IPI00440236,191,-0.0808
IPI00456756,318,-0.0667
IPI00470902,480,-0.1023
IPI00646641,404,-0.0495
IPI00796532,459,-0.1156
IPI00008673,839,-0.185
IPI00008887,811,-0.1882
IPI00009812,1049,-0.204
IPI00019006,784,-0.1879
IPI00019007,904,-0.1896
IPI00023722,661,-0.1768
IPI00090764,786,-0.2044
IPI00219489,1056,-0.1572
IPI00294125,796,-0.2155
IPI00335051,1059,-0.1695
IPI00657896,858,-0.1915
IPI00022462,760,-0.1475
IPI00215612,801,-0.1095
IPI00010381,1222,-0.1297
IPI00044600,1159,-0.1264
IPI00217882,831,-0.103
IPI00412910,1198,-0.1103
IPI00009521,520,-0.0387
IPI00010351,451,-0.0828
IPI00414467,742,-0.0699
IPI00217766,478,-0.1876
IPI00291007,552,-0.1896
IPI00418495,472,-0.2059
IPI00002252,354,-0.0993
IPI00004307,416,-0.1219
IPI00004503,417,-0.1347
IPI00216172,411,-0.1362
IPI00001517,233,-0.1146
IPI00001675,188,-0.1278
IPI00001759,273,-0.1297
IPI00003869,219,-0.1074
IPI00006971,757,-0.0664
IPI00009061,215,-0.1404
IPI00009457,229,-0.1136
IPI00010851,359,-0.089
IPI00014854,199,-0.066
IPI00024272,550,-0.044
IPI00032471,225,-0.1389
IPI00102814,213,-0.1035
IPI00153018,195,-0.0953
IPI00176843,241,-0.0917
IPI00216794,316,-0.0563
IPI00218064,167,-0.2034
IPI00219135,257,-0.1258
IPI00221061,180,-0.1134
IPI00243602,293,-0.0422
IPI00296527,328,-0.1698
IPI00299937,237,-0.1166
IPI00328246,280,-0.0855
IPI00329001,215,-0.0947
IPI00385903,399,-0.1198
IPI00394851,409,-0.0981
IPI00409688,276,-0.1033
IPI00411381,247,-0.122
IPI00411721,306,-0.1065
IPI00418125,382,-0.0814
IPI00455070,211,-0.1376
IPI00455618,209,-0.0836
IPI00464954,194,-0.1108
IPI00746231,231,-0.1267
IPI00748823,232,-0.1629
IPI00796242,292,-0.0316
IPI00797444,197,-0.1303
IPI00853389,174,-0.1668
IPI00873057,129,-0.138
IPI00877085,311,-0.0361
IPI00880140,275,-0.1474
IPI00064606,1044,0.0803
IPI00064607,1140,0.0719
IPI00066367,830,0.0543
IPI00154858,1037,0.0718
IPI00412711,870,0.0391
IPI00004946,273,-0.1102
IPI00292579,2551,-0.0462
IPI00419565,2570,-0.0224
IPI00005707,1479,-0.0436
IPI00027848,1456,-0.0826
IPI00105353,1465,-0.0935
IPI00473066,1456,-0.0823
IPI00789911,1873,-0.0991
IPI00216702,1624,-0.2252
IPI00293895,2146,-0.1729
IPI00295640,1617,-0.2385
IPI00328762,5058,-0.1975
IPI00375954,901,-0.2174
IPI00384874,1543,-0.229
IPI00414303,2466,-0.1614
IPI00477917,2261,-0.1843
IPI00479296,1581,-0.2214
IPI00619902,1708,-0.2025
IPI00782981,2595,-0.1992
IPI00844585,2309,-0.1792
IPI00874173,1643,-0.2523
IPI00015826,738,-0.185
IPI00019022,735,-0.1693
IPI00027481,1280,-0.2001
IPI00042932,1286,-0.1954
IPI00184848,1321,-0.1695
IPI00328112,686,-0.1975
IPI00418359,766,-0.2039
IPI00556553,753,-0.1734
IPI00646625,808,-0.1873
IPI00742677,842,-0.1893
IPI00746222,1257,-0.1903
IPI00006674,1527,-0.2148
IPI00006675,1325,-0.2229
IPI00023868,1545,-0.221
IPI00024278,1549,-0.2134
IPI00029455,1503,-0.1979
IPI00063878,1359,-0.2137
IPI00168635,1492,-0.2201
IPI00186714,1382,-0.2179
IPI00719178,1541,-0.2137
IPI00789367,1448,-0.1902
IPI00815998,1480,-0.222
IPI00871283,1582,-0.2194
IPI00002372,659,-0.2002
IPI00002618,740,-0.2061
IPI00023165,606,-0.2099
IPI00291373,745,-0.1719
IPI00005579,646,-0.2392
IPI00007839,651,-0.213
IPI00007840,673,-0.1936
IPI00298214,655,-0.2238
IPI00414196,825,-0.1888
IPI00001723,1426,-0.1759
IPI00003021,1020,-0.1743
IPI00003831,1220,-0.1708
IPI00006482,1023,-0.1811
IPI00008161,1045,-0.2039
IPI00009791,1243,-0.1698
IPI00012490,1241,-0.1881
IPI00012851,1251,-0.1612
IPI00015154,1180,-0.2207
IPI00020058,1465,-0.177
IPI00021695,1258,-0.1749
IPI00024368,1047,-0.1948
IPI00024804,1001,-0.1897
IPI00032402,1164,-0.1877
IPI00034277,1204,-0.2118
IPI00152868,1192,-0.1793
IPI00166229,1196,-0.2058
IPI00215615,1581,-0.1908
IPI00218919,1035,-0.1808
IPI00219078,1042,-0.191
IPI00237913,1310,-0.1716
IPI00240793,1177,-0.192
IPI00375339,1029,-0.2063
IPI00396022,1147,-0.1796
IPI00396234,1132,-0.1913
IPI00456983,1191,-0.1797
IPI00465166,1188,-0.194
IPI00607633,1218,-0.2155
IPI00745171,959,-0.2126
IPI00783442,1499,-0.1403
IPI00788782,1226,-0.1819
IPI00844415,1223,-0.1828
IPI00847139,1226,-0.221
IPI00852619,1461,-0.1414
IPI00871296,1081,-0.1565
IPI00872635,975,-0.2162
IPI00008167,279,-0.2215
IPI00013724,357,-0.1031
IPI00016421,291,-0.1452
IPI00293971,290,-0.1163
IPI00747849,303,-0.1852
IPI00289083,1274,-0.0983
IPI00302181,1092,-0.1509
IPI00470535,1110,-0.1374
IPI00856031,1154,-0.1506
IPI00871339,1146,-0.1173
IPI00001962,323,-0.1152
IPI00002685,327,-0.1265
IPI00011071,275,-0.1674
IPI00011072,260,-0.2002
IPI00029074,315,-0.1134
IPI00030935,222,-0.2109
IPI00103601,192,-0.243
IPI00103604,425,-0.0816
IPI00155892,296,-0.1941
IPI00175625,223,-0.2266
IPI00002294,103,-0.1308
IPI00002366,123,-0.1651
IPI00017519,142,-0.0952
IPI00103336,170,-0.1079
IPI00305022,129,-0.1604
IPI00217101,210,-0.1654
IPI00299315,279,-0.1522
IPI00411546,235,-0.1725
IPI00828136,191,-0.2026
IPI00167450,197,-0.2342
IPI00217845,208,-0.2152
IPI00383441,208,-0.2359
IPI00816438,207,-0.2181
IPI00005750,2253,-0.1905
IPI00152661,2849,-0.1297
IPI00373872,2459,-0.1436
IPI00375881,1732,-0.1916
IPI00409566,4303,-0.1224
IPI00000087,215,-0.1176
IPI00018980,218,-0.1427
IPI00020747,215,-0.1725
IPI00514804,229,-0.2366
IPI00011954,295,-0.2742
IPI00012818,271,-0.2155
IPI00013717,282,-0.2472
IPI00021558,292,-0.2207
IPI00022359,342,-0.2238
IPI00022752,403,-0.178
IPI00022799,323,-0.2173
IPI00024689,269,-0.2107
IPI00026069,263,-0.2309
IPI00168299,271,-0.2536
IPI00185014,301,-0.2433
IPI00395685,261,-0.247
IPI00478533,295,-0.1915
IPI00856090,307,-0.1926
IPI00020504,898,-0.1914
IPI00020524,812,-0.2103
IPI00020879,687,-0.2298
IPI00020881,687,-0.2242
IPI00293558,988,-0.1901
IPI00294055,760,-0.2109
IPI00294056,766,-0.2199
IPI00398349,868,-0.1935
IPI00642888,953,-0.1795
IPI00305281,534,-0.1487
IPI00437697,460,-0.2089
IPI00749429,523,-0.145
IPI00019391,399,-0.1817
IPI00219279,497,-0.1396
IPI00290106,397,-0.1882
IPI00293327,388,-0.1753
IPI00293328,595,-0.1373
IPI00395827,441,-0.1354
IPI00789729,432,-0.1235
IPI00872001,101,-0.2379
IPI00006217,1336,-0.1181
IPI00007632,902,-0.1733
IPI00011396,908,-0.1861
IPI00011397,919,-0.1706
IPI00029768,1464,-0.1118
IPI00103335,981,-0.1735
IPI00215887,1236,-0.1339
IPI00219124,906,-0.1523
IPI00219315,894,-0.1514
IPI00292269,956,-0.1553
IPI00297677,1043,-0.1513
IPI00297933,1484,-0.1012
IPI00374337,1009,-0.137
IPI00470731,959,-0.1355
IPI00478811,1115,-0.1541
IPI00747494,1007,-0.1374
IPI00790860,949,-0.1852
IPI00871510,901,-0.1711
IPI00002215,453,-0.2244
IPI00002897,492,-0.1966
IPI00003858,502,-0.1821
IPI00005432,479,-0.183
IPI00005673,441,-0.198
IPI00008224,497,-0.2203
IPI00008225,554,-0.1734
IPI00012181,440,-0.1899
IPI00012471,462,-0.1802
IPI00014192,517,-0.2066
IPI00016662,458,-0.259
IPI00016869,502,-0.1872
IPI00019942,529,-0.2143
IPI00019948,494,-0.2191
IPI00020036,627,-0.1962
IPI00022298,482,-0.2427
IPI00025243,464,-0.1832
IPI00026461,450,-0.1736
IPI00026631,451,-0.1977
IPI00028080,498,-0.2123
IPI00029753,493,-0.1988
IPI00103496,447,-0.2327
IPI00171948,412,-0.1806
IPI00179555,510,-0.2219
IPI00216394,512,-0.1897
IPI00220450,452,-0.1799
IPI00293005,490,-0.198
IPI00294459,467,-0.1989
IPI00295235,456,-0.1946
IPI00295323,468,-0.2144
IPI00297165,569,-0.2215
IPI00297725,506,-0.1578
IPI00297913,632,-0.1247
IPI00298986,501,-0.2069
IPI00299122,474,-0.1851
