accession,length,ZC
IPI00742726,1610,-0.1995
IPI00784385,1119,-0.1935
IPI00002526,958,-0.1391
IPI00009885,201,-0.2863
IPI00328161,413,-0.1463
IPI00008599,230,-0.2408
IPI00064193,454,-0.161
IPI00297858,152,-0.2386
IPI00788599,534,-0.1877
IPI00798153,552,-0.1097
IPI00012728,698,-0.1844
IPI00029737,711,-0.2023
IPI00031397,720,-0.1921
IPI00218718,722,-0.1911
IPI00401990,739,-0.19
IPI00006937,318,-0.0928
IPI00514050,275,-0.1894
IPI00015994,685,0.0088
IPI00021010,618,-0.0308
IPI00028381,383,-0.0081
IPI00160384,383,-0.0579
IPI00413521,723,0.018
IPI00005126,333,-0.1439
IPI00019501,340,-0.0882
IPI00024307,346,-0.1511
IPI00159048,393,-0.1499
IPI00873799,320,-0.1998
IPI00099650,1218,0.0552
IPI00794528,1372,0.0557
IPI00000793,263,-0.1415
IPI00005171,254,-0.2058
IPI00005172,255,-0.1765
IPI00005182,266,-0.0999
IPI00010410,273,-0.1557
IPI00015988,338,-0.078
IPI00021711,260,-0.166
IPI00026244,250,-0.1902
IPI00103082,258,-0.1056
IPI00107714,266,-0.1029
IPI00218637,279,-0.1117
IPI00291924,261,-0.1879
IPI00640031,261,-0.1252
IPI00640150,383,-0.0614
IPI00646225,365,-0.05
IPI00646822,362,-0.0581
IPI00743716,366,-0.0425
IPI00746667,266,-0.0979
IPI00747116,266,-0.1069
IPI00785180,232,-0.1574
IPI00827612,362,-0.046
IPI00830076,358,-0.0595
IPI00877774,89,0.0191
IPI00646595,383,-0.0667
IPI00018860,246,-0.1937
IPI00018861,244,-0.1895
IPI00154722,263,-0.1975
IPI00433027,334,-0.157
IPI00002307,848,-0.1229
IPI00176424,835,-0.1246
IPI00307328,840,-0.119
IPI00472566,836,-0.1235
IPI00643159,873,-0.1202
IPI00002211,1047,-0.0969
IPI00013880,1074,-0.0514
IPI00023643,962,-0.0945
IPI00023807,862,-0.1488
IPI00032914,770,-0.1128
IPI00073763,833,-0.1358
IPI00149097,761,-0.1446
IPI00178302,1073,-0.1064
IPI00295525,888,-0.1053
IPI00395376,1151,-0.0325
IPI00419724,837,-0.1373
IPI00478294,843,-0.0948
IPI00012977,584,-0.1444
IPI00013210,526,-0.1445
IPI00013576,523,-0.1759
IPI00026633,415,-0.1206
IPI00031464,586,-0.1442
IPI00044556,475,-0.1768
IPI00099583,334,-0.1618
IPI00166469,536,-0.1336
IPI00215967,527,-0.1511
IPI00302614,285,-0.1923
IPI00383474,513,-0.1588
IPI00419727,467,-0.149
IPI00432378,500,-0.1266
IPI00645210,388,-0.1337
IPI00790218,473,-0.0958
IPI00793688,561,-0.1075
IPI00872004,329,-0.1623
IPI00015801,183,-0.2519
IPI00027219,152,-0.3813
IPI00043490,182,-0.2007
IPI00062343,175,-0.2699
IPI00152170,248,-0.2453
IPI00293848,234,-0.1675
IPI00293878,173,-0.2106
IPI00328165,286,-0.2292
IPI00375373,223,-0.223
IPI00007461,675,-0.2646
IPI00065441,758,-0.2406
IPI00298724,376,-0.2562
IPI00334281,723,-0.2647
IPI00410211,716,-0.2481
IPI00433420,242,-0.2365
IPI00001649,150,-0.1776
IPI00006433,782,-0.1704
IPI00014400,375,-0.0372
IPI00025510,358,-0.0912
IPI00027909,360,-0.1711
IPI00074870,554,-0.1456
IPI00157375,226,-0.0608
IPI00158847,702,-0.0595
IPI00166797,341,-0.2124
IPI00178504,379,-0.0487
IPI00792166,27,-0.3359
IPI00867696,311,-0.076
IPI00020210,2081,-0.154
IPI00021048,2061,-0.1546
IPI00333405,1857,-0.166
IPI00375559,1997,-0.1364
IPI00795736,1794,-0.1498
IPI00883989,2093,-0.1645
IPI00028564,592,-0.1528
IPI00169267,583,-0.1217
IPI00298353,638,-0.1678
IPI00373946,558,-0.1652
IPI00798277,595,-0.169
IPI00845461,568,-0.1361
IPI00848358,591,-0.1685
IPI00002191,563,-0.1038
IPI00045955,180,-0.2225
IPI00046633,584,-0.1575
IPI00177027,327,-0.172
IPI00290792,179,-0.1745
IPI00329525,538,-0.1592
IPI00384217,682,-0.1709
IPI00398064,538,-0.1652
IPI00400837,555,-0.2046
IPI00400838,563,-0.1985
IPI00400839,584,-0.202
IPI00401451,514,-0.1225
IPI00409652,527,-0.1394
IPI00414885,626,-0.1784
IPI00446290,327,-0.171
IPI00655760,665,-0.1382
IPI00015800,482,-0.1927
IPI00412395,560,-0.1511
IPI00413152,277,-0.169
IPI00414890,588,-0.1478
IPI00418129,587,-0.1476
IPI00856047,416,-0.1496
IPI00872007,438,-0.1391
IPI00411828,699,-0.1541
IPI00411829,699,-0.1544
IPI00413151,698,-0.1561
IPI00413936,699,-0.152
IPI00414889,698,-0.1576
IPI00414900,661,-0.1666
IPI00008922,132,-0.21
IPI00217491,177,-0.1986
IPI00300620,125,-0.2586
IPI00303726,133,-0.2212
IPI00328520,394,-0.0896
IPI00375820,132,-0.2015
IPI00792285,142,-0.1731
IPI00878971,125,-0.2481
IPI00002225,394,-0.1974
IPI00014218,370,-0.2457
IPI00019462,350,-0.2199
IPI00166833,392,-0.2027
IPI00216667,394,-0.2244
IPI00219111,374,-0.26
IPI00296199,369,-0.2409
IPI00642378,400,-0.227
IPI00795030,392,-0.1982
IPI00001120,606,-0.1872
IPI00001577,628,-0.1372
IPI00001633,660,-0.1443
IPI00002320,649,-0.1568
IPI00005516,653,-0.1438
IPI00006556,811,-0.1117
IPI00008107,789,-0.1278
IPI00008377,257,-0.1597
IPI00009111,420,-0.142
IPI00009653,370,-0.1849
IPI00010227,345,-0.1633
IPI00014223,640,-0.1444
IPI00016467,977,-0.1549
IPI00016679,958,-0.1418
IPI00021485,716,-0.1589
IPI00023576,516,-0.1577
IPI00024059,623,-0.1441
IPI00025256,713,-0.1505
IPI00027410,560,-0.1972
IPI00027502,177,-0.1639
IPI00030280,662,-0.1738
IPI00044336,259,-0.1275
IPI00102543,696,-0.1494
IPI00140246,341,-0.146
IPI00152871,581,-0.1651
IPI00165975,785,-0.1091
IPI00167619,370,-0.1338
IPI00172530,635,-0.1059
IPI00176104,845,-0.1641
IPI00176398,841,-0.179
IPI00184265,1119,-0.1
IPI00216345,740,-0.092
IPI00217146,837,-0.2025
IPI00238262,522,-0.1618
IPI00248596,803,-0.1185
IPI00252944,510,-0.112
IPI00258050,593,-0.1943
IPI00259519,550,-0.1556
IPI00289849,820,-0.1219
IPI00291395,674,-0.1407
IPI00296351,305,-0.0917
IPI00297687,313,-0.1732
IPI00300241,713,-0.1051
IPI00328716,522,-0.1422
IPI00329367,692,-0.1514
IPI00376131,673,-0.1516
IPI00394850,552,-0.1436
IPI00395488,673,-0.1552
IPI00396321,307,-0.1612
IPI00410140,493,-0.1393
IPI00455850,513,-0.1595
IPI00457055,578,-0.0718
IPI00464990,411,-0.1481
IPI00465126,708,-0.1989
IPI00465323,590,-0.1586
IPI00465325,620,-0.1768
IPI00470812,880,-0.0779
IPI00478892,1065,-0.1193
IPI00552093,504,-0.1252
IPI00737556,355,-0.1529
IPI00740074,1093,-0.0988
IPI00746307,384,-0.137
IPI00746770,273,-0.1463
IPI00748955,639,-0.2055
IPI00793456,771,-0.108
IPI00816324,621,-0.195
IPI00871150,719,-0.137
IPI00874128,585,-0.1579
IPI00002070,810,-0.2306
IPI00018213,858,-0.2239
IPI00152642,803,-0.2241
IPI00166036,803,-0.2451
IPI00419535,796,-0.2206
IPI00007041,153,-0.2907
IPI00011439,153,-0.3207
IPI00030362,152,-0.2713
IPI00032485,182,-0.2711
IPI00056414,176,-0.2422
IPI00065182,245,-0.2806
IPI00102685,322,-0.256
IPI00009673,201,-0.2037
IPI00024670,189,-0.2492
IPI00100674,257,-0.1847
IPI00164434,255,-0.2124
IPI00604430,254,-0.2143
IPI00646963,211,-0.2296
IPI00027781,232,-0.168
IPI00168265,263,-0.1151
IPI00304691,246,-0.1236
IPI00419776,225,-0.1109
IPI00005129,338,-0.1501
IPI00056310,229,-0.2013
IPI00218850,329,-0.1642
IPI00453116,347,-0.1711
IPI00478460,243,-0.2146
IPI00032061,387,-0.1551
IPI00232311,402,-0.0808
IPI00375705,398,-0.1317
IPI00552528,342,-0.1314
IPI00656113,508,-0.0924
IPI00013940,234,-0.1264
IPI00013947,229,-0.1464
IPI00165658,223,-0.1475
IPI00294757,234,-0.2205
IPI00654744,275,-0.156
IPI00009507,259,-0.2425
IPI00027770,313,-0.1385
IPI00047169,265,-0.1564
IPI00477131,272,-0.1175
IPI00009439,422,-0.2154
IPI00011727,386,-0.1652
IPI00022735,425,-0.1939
IPI00026638,426,-0.1443
IPI00027875,431,-0.1906
IPI00031100,590,-0.123
IPI00180851,510,-0.157
IPI00219274,419,-0.1934
IPI00219472,456,-0.1439
IPI00376930,390,-0.1631
IPI00386377,491,-0.112
IPI00395601,523,-0.1521
IPI00470681,602,-0.0953
IPI00788240,643,-0.1017
IPI00853594,401,-0.1421
IPI00009976,227,-0.1738
IPI00016608,201,-0.1727
IPI00023542,235,-0.16
IPI00028055,219,-0.2088
IPI00032825,224,-0.131
IPI00103251,240,-0.1023
IPI00294472,229,-0.2003
IPI00296259,227,-0.1352
IPI00003391,2725,-0.0849
IPI00182194,2774,-0.0741
IPI00737429,2769,-0.0703
IPI00788121,2736,-0.0801
IPI00000735,204,-0.2428
IPI00000736,294,-0.2404
IPI00000737,305,-0.2067
IPI00003400,281,-0.2337
IPI00007734,245,-0.2107
IPI00010342,351,-0.1857
IPI00013449,245,-0.233
IPI00013928,346,-0.1905
IPI00015872,237,-0.2809
IPI00016600,249,-0.2008
IPI00018307,219,-0.286
IPI00020446,267,-0.2065
IPI00024174,238,-0.2564
IPI00025498,349,-0.1157
IPI00030418,210,-0.2483
IPI00030914,268,-0.2137
IPI00030936,241,-0.251
IPI00030938,221,-0.2343
IPI00030941,253,-0.211
IPI00083978,248,-0.2508
IPI00102599,355,-0.1149
IPI00215889,260,-0.1582
IPI00215997,228,-0.2583
IPI00215998,238,-0.2524
IPI00296805,355,-0.1375
IPI00298851,253,-0.2025
IPI00303059,270,-0.2235
IPI00382955,267,-0.2383
IPI00654852,273,-0.1581
IPI00657752,274,-0.2143
IPI00737952,253,-0.2093
IPI00879795,294,-0.2225
IPI00880170,271,-0.2206
IPI00000436,828,-0.0767
IPI00012792,784,-0.1064
IPI00014371,790,-0.1011
IPI00024034,916,-0.098
IPI00024035,790,-0.105
IPI00024036,799,-0.1352
IPI00024046,713,-0.1525
IPI00024048,814,-0.1036
IPI00025240,829,-0.141
IPI00028135,772,-0.1171
IPI00216560,3359,-0.1271
IPI00290085,906,-0.12
IPI00290089,832,-0.1534
IPI00295399,788,-0.1133
IPI00296942,794,-0.1333
IPI00297180,789,-0.1086
IPI00297181,785,-0.1052
IPI00304227,796,-0.0982
IPI00307612,801,-0.1053
IPI00386103,819,-0.0997
IPI00744889,901,-0.1139
IPI00747243,829,-0.1079
IPI00853237,888,-0.1016
IPI00025753,1049,-0.0788
IPI00025846,901,-0.1045
IPI00028931,1118,-0.1217
IPI00031547,999,-0.104
IPI00031549,896,-0.1003
IPI00216099,894,-0.1099
IPI00428691,1059,-0.102
IPI00005491,955,-0.1001
IPI00396423,968,-0.0901
IPI00413959,981,-0.0844
IPI00000691,211,-0.2381
IPI00001521,305,-0.1905
IPI00007364,220,-0.2452
IPI00011082,228,-0.1944
IPI00011084,220,-0.2521
IPI00011085,225,-0.2127
IPI00011088,244,-0.2372
IPI00011103,224,-0.2624
IPI00011634,219,-0.1983
IPI00012089,303,-0.1807
IPI00019231,228,-0.2002
IPI00021944,209,-0.2482
IPI00026053,207,-0.2632
IPI00027998,230,-0.2318
IPI00030843,217,-0.2876
IPI00031288,239,-0.2124
IPI00059710,292,-0.1606
IPI00218314,261,-0.1777
IPI00332356,220,-0.1795
IPI00412494,224,-0.2127
IPI00555716,205,-0.2366
IPI00737822,229,-0.2511
IPI00794537,231,-0.2085
IPI00165433,123,-0.1756
IPI00397504,1406,-0.028
IPI00410585,1285,-0.0382
IPI00007769,160,-0.2874
IPI00008880,157,-0.3013
IPI00008895,167,-0.2525
IPI00008901,163,-0.2986
IPI00219587,215,-0.1707
IPI00002946,396,-0.1352
IPI00007029,439,-0.0651
IPI00007618,321,-0.1694
IPI00018323,266,-0.1885
IPI00019868,226,-0.2599
IPI00026801,270,-0.1786
IPI00027190,283,-0.197
