"accession","SGDID","associations"
"YDR126W","S000002533","E,D"
"YDR127W","S000002534","C"
"YDR128W","S000002535","V"
"YDR129C","S000002536","C,B"
"YDR130C","S000002537","C,N"
"YDR131C","S000002538","V"
"YDR132C","S000002539","C,N,M"
"YDR134C","S000002541","X"
"YDR135C","S000002542","V,O"
"YDR137W","S000002544","G"
"YDR138W","S000002545","N"
"YDR139C","S000002546","C"
"YDR140W","S000002547","C,N"
"YDR141C","S000002548","C,M,G"
"YDR142C","S000002549","C"
"YDR143C","S000002550","C,N"
"YDR145W","S000002552","N"
"YDR146C","S000002553","C,N"
"YDR147W","S000002554","C"
"YDR148C","S000002555","M"
"YDR150W","S000002557","M,B"
"YDR151C","S000002558","N"
"YDR152W","S000002559","C"
"YDR153C","S000002560","C"
"YDR155C","S000002562","C,N,M"
"YDR156W","S000002563","N,U"
"YDR158W","S000002565","C,N"
"YDR159W","S000002566","N"
"YDR160W","S000002567","P"
"YDR161W","S000002568","C,N"
"YDR162C","S000002569","C,N"
"YDR163W","S000002570","N"
"YDR164C","S000002571","K,B"
"YDR165W","S000002572","N"
"YDR166C","S000002573","K,B"
"YDR167W","S000002574","N"
"YDR168W","S000002575","C"
"YDR169C","S000002576","C,N"
"YDR170C","S000002577","C,G"
"YDR171W","S000002578","C"
"YDR172W","S000002579","C"
"YDR173C","S000002580","N"
"YDR174W","S000002581","C,N,U"
"YDR175C","S000002582","M"
"YDR176W","S000002583","N"
"YDR178W","S000002585","M,R"
"YDR179C","S000002586","C,N"
"YDR180W","S000002588","N"
"YDR181C","S000002589","N"
"YDR182W","S000002590","E"
"YDR183W","S000002591","C"
"YDR184C","S000002592","C,N"
"YDR185C","S000002593","M"
"YDR186C","S000002594","C"
"YDR188W","S000002596","C"
"YDR189W","S000002597","C,E"
"YDR190C","S000002598","N"
"YDR191W","S000002599","C,N"
"YDR192C","S000002600","N,L"
"YDR194C","S000002602","M"
"YDR195W","S000002603","N"
"YDR196C","S000002604","N,M,E"
"YDR197W","S000002605","M"
"YDR200C","S000002608","C,E,D"
"YDR201W","S000002609","C,N"
"YDR202C","S000002610","C"
"YDR204W","S000002612","M"
"YDR205W","S000002613","N,E,D,L"
"YDR206W","S000002614","C,N"
"YDR207C","S000002615","N"
"YDR208W","S000002616","N"
"YDR211W","S000002619","C"
"YDR212W","S000002620","C"
"YDR213W","S000002621","C,N"
"YDR214W","S000002622","C"
"YDR216W","S000002624","C,N"
"YDR217C","S000002625","N"
"YDR218C","S000002626","K"
"YDR219C","S000002627","M"
"YDR221W","S000002629","E"
"YDR222W","S000002630","C"
"YDR223W","S000002631","C,N"
"YDR224C","S000002632","N"
"YDR225W","S000002633","N"
"YDR226W","S000002634","C,M"
"YDR227W","S000002635","N"
"YDR228C","S000002636","N"
"YDR229W","S000002637","V"
"YDR231C","S000002639","M,R"
"YDR232W","S000002640","M"
"YDR233C","S000002641","M,E,G,D"
"YDR234W","S000002642","M"
"YDR235W","S000002643","N"
"YDR236C","S000002644","M,E"
"YDR237W","S000002645","M"
"YDR238C","S000002646","C,G"
"YDR239C","S000002647","C"
"YDR240C","S000002648","N"
"YDR243C","S000002651","C,N"
"YDR244W","S000002652","C"
"YDR245W","S000002653","E,G,D"
"YDR246W","S000002654","E,G"
"YDR247W","S000002655","C"
"YDR248C","S000002656","C"
"YDR251W","S000002659","K"
"YDR252W","S000002660","C,N"
"YDR253C","S000002661","C,N"
"YDR254W","S000002662","N"
"YDR255C","S000002663","C"
"YDR257C","S000002665","N"
"YDR258C","S000002666","M"
"YDR259C","S000002667","N"
"YDR260C","S000002668","N"
"YDR262W","S000002670","V"
"YDR263C","S000002671","N,M"
"YDR264C","S000002672","G,A"
"YDR266C","S000002674","C"
"YDR267C","S000002675","C,N"
"YDR268W","S000002676","C,M"
"YDR270W","S000002678","G"
"YDR272W","S000002680","C"
"YDR276C","S000002684","P"
"YDR279W","S000002687","N"
"YDR280W","S000002688","C,N,U"
"YDR281C","S000002689","V,O"
"YDR282C","S000002690","R"
"YDR284C","S000002692","V,O"
"YDR285W","S000002693","N"
"YDR288W","S000002696","C,N"
"YDR289C","S000002697","N"
"YDR291W","S000002699","N"
"YDR292C","S000002700","E"
"YDR293C","S000002701","C,N,K"
"YDR294C","S000002702","E"
"YDR295C","S000002703","N"
"YDR296W","S000002704","N,M"
"YDR297W","S000002705","E,D"
"YDR298C","S000002706","M,R"
"YDR299W","S000002707","N,U"
"YDR300C","S000002708","C"
"YDR301W","S000002709","N,M"
"YDR302W","S000002710","E,D"
"YDR303C","S000002711","N"
"YDR304C","S000002712","C,E"
"YDR305C","S000002713","C,N,M"
"YDR307W","S000002715","E,D"
"YDR308C","S000002716","N"
"YDR309C","S000002717","C,K,B"
"YDR310C","S000002718","N"
"YDR311W","S000002719","N"
"YDR312W","S000002720","N,U"
"YDR313C","S000002721","V"
"YDR314C","S000002722","N"
"YDR315C","S000002723","N"
"YDR316W","S000002724","M,R"
"YDR318W","S000002726","N"
"YDR320C","S000002728","C,E"
"YDR321W","S000002729","C"
"YDR322W","S000002730","M"
"YDR323C","S000002731","C,N,V"
"YDR324C","S000002732","N,U"
"YDR325W","S000002733","C,N"
"YDR326C","S000002734","M"
"YDR328C","S000002736","C,N"
"YDR329C","S000002737","E"
"YDR330W","S000002738","C,N"
"YDR331W","S000002739","E,D"
"YDR332W","S000002740","M"
"YDR333C","S000002741","C"
"YDR334W","S000002742","N"
"YDR335W","S000002743","C,N"
"YDR337W","S000002745","M"
"YDR339C","S000002747","N,U"
"YDR341C","S000002749","C,M"
"YDR342C","S000002750","M,P"
"YDR343C","S000002751","M,P"
"YDR345C","S000002753","P"
"YDR346C","S000002754","C,N"
"YDR347W","S000002755","M"
"YDR348C","S000002756","C,K,B"
"YDR349C","S000002757","C,E,D"
"YDR350C","S000002758","M"
"YDR351W","S000002759","G"
"YDR352W","S000002760","V,O"
"YDR353W","S000002761","C"
"YDR354W","S000002762","C,N"
"YDR356W","S000002764","C,N"
"YDR357C","S000002765","C"
"YDR358W","S000002766","G"
"YDR359C","S000002767","N"
"YDR361C","S000002769","C,N"
"YDR362C","S000002770","N"
"YDR363W","S000002771","C,N"
"YDR364C","S000002772","N"
"YDR365C","S000002773","N,U"
"YDR367W","S000002775","C,G,A"
"YDR368W","S000002776","C,N"
"YDR369C","S000002777","N"
"YDR370C","S000002778","C"
"YDR371W","S000002779","C,X"
"YDR372C","S000002780","C,N,G"
"YDR375C","S000002783","M,R"
"YDR376W","S000002784","M"
"YDR377W","S000002785","M"
"YDR378C","S000002786","C,N,U"
"YDR380W","S000002788","C"
"YDR381W","S000002789","N"
"YDR382W","S000002790","C"
"YDR383C","S000002791","N"
"YDR384C","S000002792","M,P"
"YDR385W","S000002793","C"
"YDR386W","S000002794","N"
"YDR388W","S000002796","C"
"YDR389W","S000002797","C"
"YDR390C","S000002798","N"
"YDR391C","S000002799","C,N"
"YDR392W","S000002800","N"
"YDR393W","S000002801","M,R"
"YDR394W","S000002802","C,N"
"YDR395W","S000002803","C,N"
"YDR397C","S000002805","N"
"YDR398W","S000002806","N,U"
"YDR399W","S000002807","C,N"
"YDR400W","S000002808","C,N"
"YDR404C","S000002812","C,N"
"YDR405W","S000002813","M"
"YDR407C","S000002815","G"
"YDR408C","S000002816","C,N"
"YDR409W","S000002817","C,N,K"
"YDR410C","S000002818","E,D"
"YDR411C","S000002819","E,D"
"YDR412W","S000002820","C,N,U"
"YDR414C","S000002822","E,D"
"YDR416W","S000002824","N"
"YDR418W","S000002826","C"
"YDR419W","S000002827","N,M"
"YDR420W","S000002828","P"
"YDR421W","S000002829","N"
"YDR422C","S000002830","C,V"
"YDR423C","S000002831","C,N"
"YDR424C","S000002832","C"
"YDR427W","S000002835","N"
"YDR429C","S000002837","C"
"YDR430C","S000002838","M"
"YDR432W","S000002840","C,N,U"
"YDR434W","S000002842","E,D"
"YDR437W","S000002845","E,D"
"YDR438W","S000002846","M"
"YDR439W","S000002847","N,U"
"YDR440W","S000002848","N"
"YDR441C","S000002849","C"
"YDR443C","S000002851","N"
"YDR444W","S000002852","C"
"YDR446W","S000002854","N"
"YDR447C","S000002855","C"
"YDR448W","S000002856","N"
"YDR449C","S000002857","N,U"
"YDR450W","S000002858","C,M"
"YDR451C","S000002859","N"
"YDR452W","S000002860","N,V,O"
"YDR453C","S000002861","C"
"YDR454C","S000002862","C,N"
"YDR457W","S000002865","N,U"
"YDR458C","S000002866","N"
"YDR459C","S000002867","P"
"YDR460W","S000002868","N"
"YDR461W","S000002869","X"
"YDR462W","S000002870","M"
"YDR463W","S000002871","C,N"
"YDR464W","S000002872","N"
"YDR465C","S000002873","C,N"
"YDR468C","S000002876","G"
"YDR469W","S000002877","N"
"YDR470C","S000002878","M,T"
"YDR471W","S000002879","C"
"YDR472W","S000002880","E,G"
"YDR473C","S000002881","N"
"YDR476C","S000002884","E"
"YDR477W","S000002885","C,N,M"
"YDR478W","S000002886","N"
"YDR480W","S000002888","N"
"YDR481C","S000002889","C,V,O"
"YDR482C","S000002890","C,N"
"YDR483W","S000002891","G,A"
"YDR484W","S000002892","C,G"
"YDR485C","S000002893","C,N"
"YDR486C","S000002894","C,V"
"YDR488C","S000002896","C"
"YDR489W","S000002897","N"
"YDR492W","S000002900","E,D"
"YDR493W","S000002901","M"
"YDR494W","S000002902","M"
"YDR495C","S000002903","C"
"YDR496C","S000002904","N,U,B"
"YDR497C","S000002905","P"
"YDR498C","S000002906","E,D"
"YDR499W","S000002907","C,N"
"YDR500C","S000002908","C"
"YDR501W","S000002909","N"
"YDR503C","S000002911","G,A"
"YDR505C","S000002913","C,M"
"YDR507C","S000002915","C,K"
"YDR508C","S000002916","M,P"
"YDR510W","S000002918","N"
"YDR511W","S000002919","M"
"YDR513W","S000002921","C,M"
"YDR514C","S000002922","N,M"
"YDR515W","S000002923","C"
"YDR516C","S000002924","C"
"YDR517W","S000002925","C"
"YDR518W","S000002926","E"
"YDR519W","S000002927","C,N,E"
"YDR520C","S000002928","C,N"
"YDR523C","S000002931","C,N"
"YDR524C","S000002932","C"
"YDR527W","S000002935","C"
"YDR528W","S000002936","C"
"YDR529C","S000002937","M,R"
"YDR530C","S000002938","C,N"
"YDR531W","S000002939","C,N"
"YDR532C","S000002940","C,N"
"YDR534C","S000002942","X"
"YDR536W","S000002944","P"
"YDR538W","S000002946","M"
"YDR539W","S000002947","C"
"YDR540C","S000002948","C,N"
"YDR545W","S000002953","N"
"YEL059C-A","S000002954","M"
"YER007C-A","S000002957","C"
"YER060W-A","S000002958","P"
"YFL002W-A","S000002962","C,N"
"YFL017W-A","S000002965","N"
"YFR024C-A","S000002968","C,M,K"
"YGL001C","S000002969","E"
"YGL002W","S000002970","M,E,D"
"YGL003C","S000002971","C,N"
"YGL004C","S000002972","C,N"
"YGL005C","S000002973","M,G"
"YGL006W","S000002974","V,O"
"YGL008C","S000002976","M,P"
"YGL010W","S000002978","E,D"
"YGL011C","S000002979","C,N,M"
"YGL012W","S000002980","E"
"YGL013C","S000002981","N"
"YGL014W","S000002982","C"
"YGL016W","S000002984","C,N"
"YGL017W","S000002985","C"
"YGL018C","S000002986","M"
"YGL020C","S000002988","M,E,G,D,A"
"YGL022W","S000002990","E,D"
"YGL023C","S000002991","M,V"
"YGL025C","S000002993","N"
"YGL026C","S000002994","C,N"
"YGL027C","S000002995","E,D"
"YGL028C","S000002996","X"
"YGL029W","S000002997","N,U"
"YGL030W","S000002998","C"
"YGL031C","S000002999","C"
"YGL033W","S000003001","N"
"YGL035C","S000003003","C,N"
"YGL036W","S000003004","C"
"YGL037C","S000003005","C,N"
"YGL038C","S000003006","E,G,D,A"
"YGL039W","S000003007","C"
"YGL040C","S000003008","C,N"
"YGL043W","S000003011","N"
"YGL044C","S000003012","N"
"YGL047W","S000003015","C,N,E"
"YGL048C","S000003016","C,N"
"YGL049C","S000003017","C"
"YGL051W","S000003019","E,G,P"
"YGL053W","S000003021","E,P"
"YGL054C","S000003022","E,G,D,A"
"YGL055W","S000003023","E,D"
"YGL056C","S000003024","C,N"
"YGL057C","S000003025","M"
"YGL058W","S000003026","C,N"
"YGL059W","S000003027","M"
"YGL060W","S000003028","C"
"YGL061C","S000003029","C,N"
"YGL062W","S000003030","C"
"YGL063W","S000003031","M"
"YGL064C","S000003032","M"
"YGL065C","S000003033","E,D"
"YGL066W","S000003034","N"
"YGL067W","S000003035","C"
"YGL068W","S000003036","M"
"YGL070C","S000003038","N"
"YGL071W","S000003039","C,N"
"YGL073W","S000003041","N,M"
"YGL075C","S000003043","C,N,L"
"YGL076C","S000003044","C"
"YGL077C","S000003045","P"
"YGL078C","S000003046","N,U"
"YGL080W","S000003048","M,R"
"YGL082W","S000003050","C,N"
"YGL084C","S000003052","E,P"
"YGL085W","S000003053","M"
"YGL086W","S000003054","N"
"YGL087C","S000003055","C,N"
"YGL089C","S000003057","X"
"YGL090W","S000003058","C,N"
"YGL091C","S000003059","C,N"
"YGL092W","S000003060","N,L"
"YGL093W","S000003061","C,N,M"
"YGL094C","S000003062","C"
"YGL095C","S000003063","C,V"
"YGL096W","S000003064","N"
"YGL097W","S000003065","N"
"YGL098W","S000003066","E,D"
"YGL099W","S000003067","C"
"YGL100W","S000003068","N,V,P,O"
"YGL101W","S000003069","C,N"
"YGL103W","S000003071","C,N"
"YGL104C","S000003072","M"
"YGL105W","S000003073","C"
"YGL106W","S000003074","K,B"
"YGL107C","S000003075","M"
"YGL110C","S000003078","C"
"YGL111W","S000003079","N,U"
"YGL112C","S000003080","N"
"YGL113W","S000003081","N"
"YGL115W","S000003083","C,N"
"YGL116W","S000003084","C,N"
"YGL119W","S000003087","M"
"YGL120C","S000003088","N,M"
"YGL121C","S000003089","C"
"YGL122C","S000003090","C,N"
"YGL123W","S000003091","C,N,U"
"YGL124C","S000003092","V"
"YGL125W","S000003093","M"
"YGL126W","S000003094","E"
"YGL127C","S000003095","N"
"YGL128C","S000003096","C,N"
"YGL129C","S000003097","M"
"YGL130W","S000003098","N"
"YGL131C","S000003099","C,N"
"YGL133W","S000003101","N"
"YGL134W","S000003102","C"
"YGL135W","S000003103","C"
"YGL136C","S000003104","M"
"YGL137W","S000003105","C,G"
"YGL139W","S000003107","M,E,D"
"YGL141W","S000003109","C,N"
"YGL142C","S000003110","E,D"
"YGL143C","S000003111","C,M"
"YGL145W","S000003113","E"
"YGL147C","S000003115","C"
"YGL148W","S000003116","C"
"YGL150C","S000003118","N"
"YGL151W","S000003119","N,M"
"YGL154C","S000003122","C"
"YGL156W","S000003124","V"
"YGL157W","S000003125","C,N"
"YGL161C","S000003129","G"
"YGL162W","S000003130","C,N"
"YGL163C","S000003131","C,N"
"YGL164C","S000003132","C,N"
"YGL166W","S000003134","N"
"YGL167C","S000003135","G,A"
"YGL169W","S000003137","C,N"
"YGL170C","S000003138","C"
"YGL171W","S000003139","N,U"
"YGL172W","S000003140","N,L"
"YGL173C","S000003141","C"
"YGL174W","S000003142","C,N"
"YGL175C","S000003143","C,N"
"YGL178W","S000003146","C"
"YGL179C","S000003147","C"
"YGL180W","S000003148","C"
"YGL181W","S000003149","C,N"
"YGL183C","S000003151","N"
"YGL184C","S000003152","C,N"
"YGL185C","S000003153","C"
"YGL186C","S000003154","P"
"YGL187C","S000003155","M,R"
"YGL189C","S000003157","C"
"YGL190C","S000003158","C,N,K,B"
"YGL191W","S000003159","M,R"
"YGL192W","S000003160","N"
"YGL194C","S000003162","C,N"
"YGL195W","S000003163","M"
"YGL197W","S000003165","C,M"
"YGL198W","S000003166","G,A"
"YGL200C","S000003168","E,G,D,A"
"YGL201C","S000003169","C,N"
"YGL202W","S000003170","C"
"YGL203C","S000003171","G"
"YGL207W","S000003175","N"
"YGL208W","S000003176","C"
"YGL209W","S000003177","N,M"
"YGL210W","S000003178","G"
"YGL211W","S000003179","C,M"
"YGL212W","S000003180","V"
"YGL213C","S000003181","C,N"
"YGL216W","S000003184","C"
"YGL219C","S000003187","C,M,T"
"YGL220W","S000003188","C,N"
"YGL221C","S000003189","C,M"
"YGL222C","S000003190","C,N"
"YGL223C","S000003191","G"
"YGL225W","S000003193","M,E,G,D,A"
"YGL226C-A","S000003194","E,D"
"YGL226W","S000003195","M"
"YGL227W","S000003196","C,N"
"YGL228W","S000003197","M"
"YGL229C","S000003198","C,M"
"YGL231C","S000003200","E,D"
"YGL232W","S000003201","C,N"
"YGL233W","S000003202","C,K,B"
"YGL234W","S000003203","C"
"YGL236C","S000003205","M"
"YGL237C","S000003206","N"
"YGL238W","S000003207","C,N"
"YGL240W","S000003209","C,N,M"
"YGL241W","S000003210","C,N"
"YGL243W","S000003212","N"
"YGL244W","S000003213","N"
"YGL245W","S000003214","C,M"
"YGL246C","S000003215","N"
"YGL247W","S000003216","N,L"
"YGL249W","S000003218","N,M"
"YGL250W","S000003219","C,N"
"YGL251C","S000003220","N"
"YGL252C","S000003221","C"
"YGL253W","S000003222","N,M"
"YGL254W","S000003223","N"
"YGL256W","S000003225","M"
"YGL257C","S000003226","G,A"
"YGL258W","S000003227","C"
"YGR001C","S000003233","C"
"YGR002C","S000003234","N"
"YGR003W","S000003235","C,N"
"YGR005C","S000003237","N"
"YGR006W","S000003238","N"
"YGR007W","S000003239","C,N"
"YGR008C","S000003240","C,M"
"YGR010W","S000003242","N"
"YGR012W","S000003244","M"
"YGR013W","S000003245","C,N"
"YGR014W","S000003246","P"
"YGR015C","S000003247","M"
"YGR017W","S000003249","C,N"
"YGR019W","S000003251","C"
"YGR021W","S000003253","M"
"YGR024C","S000003256","C,N"
"YGR026W","S000003258","P"
"YGR027C","S000003259","C"
"YGR028W","S000003260","M,T"
"YGR029W","S000003261","M"
"YGR030C","S000003262","N"
"YGR031W","S000003263","M"
"YGR033C","S000003265","M,R"
"YGR034W","S000003266","C"
"YGR036C","S000003268","E,D"
"YGR037C","S000003269","C,N,X"
"YGR038W","S000003270","E,D"
"YGR040W","S000003272","C,N"
"YGR041W","S000003273","K,P"
"YGR042W","S000003274","C,N"
"YGR043C","S000003275","C,N"
"YGR044C","S000003276","C,N"
"YGR046W","S000003278","M"
"YGR047C","S000003279","C,N"
"YGR048W","S000003280","N"
"YGR049W","S000003281","M,T"
"YGR052W","S000003284","M"
"YGR056W","S000003288","N"
"YGR058W","S000003290","C,N,K,B"
"YGR059W","S000003291","K"
"YGR060W","S000003292","E,P,D"
"YGR061C","S000003293","C"
"YGR062C","S000003294","M,R"
"YGR063C","S000003295","N"
"YGR065C","S000003297","P"
"YGR067C","S000003299","N"
"YGR071C","S000003303","N"
"YGR072W","S000003304","C,N,U"
"YGR074W","S000003306","N"
"YGR075C","S000003307","N"
"YGR076C","S000003308","M"
"YGR078C","S000003310","C"
"YGR080W","S000003312","C"
"YGR081C","S000003313","N,U"
"YGR082W","S000003314","M,T"
"YGR084C","S000003316","M"
"YGR085C","S000003317","C,N"
"YGR086C","S000003318","C,M"
"YGR087C","S000003319","C"
"YGR088W","S000003320","C"
"YGR089W","S000003321","E,D"
"YGR090W","S000003322","N,U"
"YGR091W","S000003323","N,M"
"YGR092W","S000003324","K"
"YGR093W","S000003325","N"
"YGR094W","S000003326","C,M"
"YGR095C","S000003327","C,N,U"
"YGR096W","S000003328","M,R"
"YGR097W","S000003329","C"
"YGR098C","S000003330","C,N,M"
"YGR099W","S000003331","N"
"YGR100W","S000003332","C"
"YGR101W","S000003333","M,R"
"YGR102C","S000003334","M"
"YGR103W","S000003335","N,U"
"YGR104C","S000003336","N"
"YGR105W","S000003337","E,D"
"YGR106C","S000003338","E,V,D,O"
"YGR108W","S000003340","C,N"
"YGR109C","S000003341","N"
"YGR110W","S000003342","M"
"YGR111W","S000003343","C,N"
"YGR112W","S000003344","M,R"
"YGR113W","S000003345","C,N"
"YGR116W","S000003348","N,M"
"YGR117C","S000003349","C"
"YGR118W","S000003350","C"
"YGR119C","S000003351","N,L"
"YGR120C","S000003352","G"
"YGR121C","S000003353","P"
"YGR122W","S000003354","C,N"
"YGR123C","S000003355","C,N"
"YGR124W","S000003356","C"
"YGR125W","S000003357","V,O"
"YGR126W","S000003358","C,N"
"YGR128C","S000003360","N,U"
"YGR129W","S000003361","N"
"YGR130C","S000003362","C"
"YGR131W","S000003363","P"
"YGR132C","S000003364","M"
"YGR134W","S000003366","C,N"
"YGR135W","S000003367","C,N"
"YGR136W","S000003368","C,N"
"YGR138C","S000003370","P"
"YGR140W","S000003372","C,N"
"YGR142W","S000003374","C,N"
"YGR144W","S000003376","C,N"
"YGR145W","S000003377","N,U"
"YGR147C","S000003379","C,M"
"YGR148C","S000003380","C"
"YGR150C","S000003382","M"
"YGR152C","S000003384","K"
"YGR155W","S000003387","C,M"
"YGR156W","S000003388","N"
"YGR157W","S000003389","E"
"YGR158C","S000003390","C,N,U"
"YGR159C","S000003391","N,M,U"
"YGR161C","S000003393","C,N"
"YGR162W","S000003394","C,M"
"YGR163W","S000003395","C,N,V,O"
"YGR165W","S000003397","M"
"YGR166W","S000003398","C,G"
"YGR169C","S000003401","C,M"
"YGR170W","S000003402","G,V"
"YGR171C","S000003403","C,M"
"YGR172C","S000003404","E,G,D,A"
"YGR173W","S000003405","C"
"YGR174C","S000003406","M,R"
"YGR175C","S000003407","E,D"
"YGR177C","S000003409","C,E"
"YGR178C","S000003410","C,N,M"
"YGR179C","S000003411","N"
"YGR180C","S000003412","C,N"
"YGR181W","S000003413","M,R"
"YGR183C","S000003415","M,R"
"YGR184C","S000003416","C"
"YGR185C","S000003417","C,N"
"YGR186W","S000003418","N"
"YGR187C","S000003419","C,N"
"YGR188C","S000003420","N"
"YGR189C","S000003421","X"
"YGR191W","S000003423","P"
"YGR192C","S000003424","C,M"
"YGR193C","S000003425","M"
"YGR194C","S000003426","C"
"YGR195W","S000003427","C,N,U"
"YGR196C","S000003428","C"
"YGR197C","S000003429","P"
"YGR198W","S000003430","C"
"YGR199W","S000003431","E,D"
"YGR200C","S000003432","C,N"
"YGR202C","S000003434","N,G"
"YGR203W","S000003435","C,N"
"YGR204W","S000003436","C,N"
"YGR205W","S000003437","C,N"
"YGR206W","S000003438","C"
"YGR207C","S000003439","M"
"YGR208W","S000003440","C,N"
"YGR209C","S000003441","C,N,G"
"YGR210C","S000003442","C"
"YGR211W","S000003443","C,N"
"YGR212W","S000003444","E"
"YGR213C","S000003445","P"
"YGR214W","S000003446","C"
"YGR215W","S000003447","M"
"YGR217W","S000003449","P"
"YGR218W","S000003450","C,N"
"YGR220C","S000003452","M"
"YGR221C","S000003453","K,B,P"
"YGR222W","S000003454","M"
"YGR223C","S000003455","C"
"YGR224W","S000003456","P"
"YGR227W","S000003459","E,D"
"YGR229C","S000003461","N,K"
"YGR231C","S000003463","M,R"
"YGR232W","S000003464","N"
"YGR233C","S000003465","C,N"
"YGR234W","S000003466","C,N,M"
"YGR235C","S000003467","M,R"
"YGR236C","S000003468","M"
"YGR237C","S000003469","C"
"YGR238C","S000003470","K,B"
"YGR239C","S000003471","C"
"YGR240C","S000003472","C,M"
"YGR241C","S000003473","C,K"
"YGR243W","S000003475","M,R"
"YGR244C","S000003476","M"
"YGR245C","S000003477","N,U"
"YGR246C","S000003478","N"
"YGR247W","S000003479","G"
"YGR248W","S000003480","C,N"
"YGR249W","S000003481","N"
"YGR250C","S000003482","C"
"YGR251W","S000003483","N,U"
"YGR252W","S000003484","N"
"YGR253C","S000003485","C,N"
"YGR254W","S000003486","C,M"
"YGR255C","S000003487","M"
"YGR257C","S000003489","M,R"
"YGR258C","S000003490","N"
"YGR260W","S000003492","M"
"YGR261C","S000003493","G"
"YGR262C","S000003494","C,N"
"YGR263C","S000003495","E,D"
"YGR264C","S000003496","C"
"YGR266W","S000003498","M"
"YGR267C","S000003499","C,N"
"YGR268C","S000003500","C"
"YGR270W","S000003502","N"
"YGR271W","S000003503","C"
"YGR274C","S000003506","N"
"YGR275W","S000003507","N"
"YGR276C","S000003508","N"
"YGR277C","S000003509","C,N"
"YGR278W","S000003510","C,N"
"YGR279C","S000003511","X"
"YGR280C","S000003512","N,U"
"YGR281W","S000003513","P"
"YGR282C","S000003514","X"
"YGR283C","S000003515","U"
"YGR284C","S000003516","E,D"
"YGR285C","S000003517","C,M,U"
"YGR286C","S000003518","M"
"YGR287C","S000003519","M"
"YGR288W","S000003520","N"
"YGR289C","S000003521","P"
"YGR296W","S000003528","N"
"YHR001W-A","S000003529","M,R"
"YHR005C-A","S000003530","M,R"
"YHR214C-B","S000003534","C,N"
"YIL082W-A","S000003537","C,N"
"YJL001W","S000003538","C,N"
"YJL002C","S000003539","E,D"
"YJL003W","S000003540","M,R"
"YJL004C","S000003541","G,A"
"YJL005W","S000003542","M"
"YJL006C","S000003543","N,U"
"YJL008C","S000003545","C"
"YJL010C","S000003547","N,U"
"YJL011C","S000003548","N"
"YJL012C","S000003549","E,V,O"
"YJL013C","S000003550","N"
"YJL014W","S000003551","C"
"YJL016W","S000003553","C"
"YJL019W","S000003556","C,N,L"
"YJL020C","S000003557","C"
"YJL023C","S000003560","M"
"YJL024C","S000003561","G"
"YJL025W","S000003562","N,U"
"YJL026W","S000003563","C,N"
"YJL029C","S000003566","C,G"
"YJL030W","S000003567","N"
"YJL033W","S000003570","N,U"
"YJL034W","S000003571","E"
"YJL035C","S000003572","C,N"
"YJL036W","S000003573","C"
"YJL039C","S000003576","N,L"
"YJL041W","S000003577","N,L"
"YJL042W","S000003578","C"
"YJL043W","S000003579","C,M"
"YJL044C","S000003580","C"
"YJL045W","S000003581","M"
"YJL046W","S000003582","M"
"YJL047C","S000003583","C,N"
"YJL048C","S000003584","N"
"YJL050W","S000003586","N,U"
"YJL052W","S000003588","C,M"
"YJL053W","S000003589","C"
"YJL054W","S000003590","M,R"
"YJL055W","S000003591","C,N"
"YJL056C","S000003592","N"
"YJL058C","S000003594","C,V"
"YJL059W","S000003595","V,O"
"YJL060W","S000003596","C,M"
"YJL061W","S000003597","N,L"
"YJL062W","S000003598","E,D"
"YJL063C","S000003599","M"
"YJL065C","S000003601","N"
"YJL066C","S000003602","M"
"YJL068C","S000003604","C"
"YJL069C","S000003605","N,U"
"YJL070C","S000003606","C,M"
"YJL071W","S000003607","M"
"YJL072C","S000003608","N"
"YJL073W","S000003609","N,E"
"YJL074C","S000003610","N"
"YJL076W","S000003612","N,U"
"YJL078C","S000003614","X"
"YJL079C","S000003615","E,X"
"YJL080C","S000003616","N,E"
"YJL081C","S000003617","N"
"YJL082W","S000003618","C,N,M,T"
"YJL084C","S000003620","C"
"YJL085W","S000003621","C,K,B"
"YJL088W","S000003624","C"
"YJL089W","S000003625","N"
"YJL090C","S000003626","N"
"YJL091C","S000003627","E,D"
"YJL092W","S000003628","N"
"YJL093C","S000003629","P"
"YJL094C","S000003630","M,G"
"YJL095W","S000003631","C"
"YJL096W","S000003632","M"
"YJL097W","S000003633","E,V,D,O"
"YJL098W","S000003634","C,M"
"YJL099W","S000003635","G"
"YJL100W","S000003636","C,V"
"YJL101C","S000003637","C"
"YJL102W","S000003638","M"
"YJL103C","S000003639","N"
"YJL104W","S000003640","M"
"YJL106W","S000003642","N"
"YJL109C","S000003645","N,M,U"
"YJL110C","S000003646","N"
"YJL111W","S000003647","C"
"YJL112W","S000003648","M"
"YJL113W","S000003649","C,N,M"
"YJL115W","S000003651","N"
"YJL116C","S000003652","M"
"YJL117W","S000003653","E"
"YJL121C","S000003657","C"
"YJL122W","S000003658","C,N"
"YJL123C","S000003659","C,G"
"YJL124C","S000003660","C,N"
"YJL125C","S000003661","N"
"YJL127C","S000003663","N"
"YJL128C","S000003664","C,K,B"
"YJL129C","S000003665","P"
"YJL130C","S000003666","C,M"
"YJL131C","S000003667","M"
"YJL133W","S000003669","M,R"
"YJL134W","S000003670","E,D"
"YJL136C","S000003672","C"
