"accession","SGDID","associations"
"YEL048C","S000000774","G"
"YEL050C","S000000776","M"
"YEL052W","S000000778","M"
"YEL053C","S000000779","C"
"YEL054C","S000000780","C"
"YEL055C","S000000781","U"
"YEL056W","S000000782","C,N"
"YEL058W","S000000784","C,N"
"YEL060C","S000000786","V"
"YEL061C","S000000787","C,M"
"YEL062W","S000000788","V"
"YEL063C","S000000789","M,P"
"YEL064C","S000000790","E,V,O"
"YEL066W","S000000792","C,N"
"YEL067C","S000000793","M"
"YEL069C","S000000795","P"
"YEL071W","S000000797","C"
"YER001W","S000000803","G,A"
"YER002W","S000000804","N,U"
"YER003C","S000000805","C,N"
"YER004W","S000000806","M,E"
"YER005W","S000000807","G,A"
"YER006W","S000000808","N,U"
"YER007W","S000000809","C"
"YER008C","S000000810","C,K,B"
"YER009W","S000000811","C"
"YER011W","S000000813","X"
"YER012W","S000000814","C,N"
"YER013W","S000000815","N"
"YER014W","S000000816","M"
"YER015W","S000000817","C,M"
"YER016W","S000000818","C"
"YER017C","S000000819","M,R"
"YER018C","S000000820","N"
"YER019W","S000000821","M,E"
"YER020W","S000000822","M"
"YER022W","S000000824","N"
"YER023W","S000000825","C"
"YER024W","S000000826","C"
"YER026C","S000000828","M,T"
"YER027C","S000000829","C,N"
"YER028C","S000000830","C,N"
"YER029C","S000000831","N"
"YER030W","S000000832","N"
"YER031C","S000000833","G"
"YER032W","S000000834","K"
"YER033C","S000000835","C,M,K,B"
"YER034W","S000000836","C,N"
"YER035W","S000000837","C,N,U"
"YER036C","S000000838","C,N"
"YER037W","S000000839","C,N"
"YER038C","S000000840","C,N"
"YER039C","S000000841","E,G,D,A"
"YER040W","S000000842","N"
"YER041W","S000000843","C,N"
"YER042W","S000000844","C,N"
"YER043C","S000000845","C"
"YER044C","S000000846","E,D"
"YER045C","S000000847","N"
"YER046W","S000000848","C"
"YER047C","S000000849","C"
"YER048C","S000000850","N"
"YER049W","S000000851","N"
"YER050C","S000000852","M"
"YER051W","S000000853","N"
"YER052C","S000000854","C"
"YER053C","S000000855","M,R"
"YER055C","S000000857","C"
"YER056C","S000000858","P"
"YER057C","S000000859","C,N"
"YER058W","S000000860","M"
"YER059W","S000000861","C,N"
"YER060W","S000000862","P"
"YER061C","S000000863","M"
"YER062C","S000000864","C,N"
"YER063W","S000000865","N"
"YER064C","S000000866","C,N"
"YER065C","S000000867","C"
"YER067W","S000000869","C,N"
"YER068W","S000000870","C,N"
"YER069W","S000000871","C,M"
"YER070W","S000000872","C,N"
"YER071C","S000000873","C"
"YER072W","S000000874","E,V,O"
"YER073W","S000000875","M"
"YER074W","S000000876","C,M,U"
"YER075C","S000000877","C,N"
"YER076C","S000000878","M"
"YER077C","S000000879","M"
"YER078C","S000000880","N,M"
"YER079W","S000000881","C,N"
"YER080W","S000000882","M"
"YER081W","S000000883","C"
"YER082C","S000000884","N,U"
"YER083C","S000000885","E,G,D,A"
"YER084W","S000000886","C,N"
"YER086W","S000000888","M"
"YER087W","S000000889","C,M"
"YER088C","S000000890","C,N"
"YER089C","S000000891","C,N"
"YER090W","S000000892","C"
"YER091C","S000000893","C"
"YER092W","S000000894","N"
"YER093C","S000000895","V"
"YER094C","S000000896","C,N"
"YER095W","S000000897","N"
"YER096W","S000000898","C"
"YER098W","S000000900","C"
"YER099C","S000000901","C"
"YER100W","S000000902","E,D"
"YER101C","S000000903","C"
"YER102W","S000000904","C"
"YER103W","S000000905","C,N"
"YER104W","S000000906","C,N"
"YER105C","S000000907","N,L"
"YER106W","S000000908","N"
"YER107C","S000000909","C,N,L"
"YER109C","S000000911","C,N"
"YER110C","S000000912","C,N"
"YER112W","S000000914","C,N,U"
"YER113C","S000000915","G,A"
"YER114C","S000000916","C,K"
"YER116C","S000000918","C,N,U"
"YER117W","S000000919","C,N"
"YER118C","S000000920","K,P"
"YER119C","S000000921","V,O"
"YER120W","S000000922","N,E,B,D,L"
"YER122C","S000000924","G"
"YER123W","S000000925","N,V"
"YER124C","S000000926","K"
"YER125W","S000000927","C,N,M,G,B"
"YER126C","S000000928","N,U"
"YER127W","S000000929","N,U"
"YER128W","S000000930","C"
"YER129W","S000000931","C"
"YER130C","S000000932","N"
"YER131W","S000000933","C"
"YER132C","S000000934","C"
"YER133W","S000000935","C,N,U,K"
"YER134C","S000000936","C,N"
"YER136W","S000000938","C"
"YER138C","S000000940","C,N"
"YER139C","S000000941","C,N"
"YER140W","S000000942","M"
"YER141W","S000000943","M,R"
"YER142C","S000000944","N"
"YER143W","S000000945","C"
"YER144C","S000000946","K"
"YER145C","S000000947","P"
"YER146W","S000000948","N,U"
"YER147C","S000000949","N"
"YER148W","S000000950","N"
"YER150W","S000000952","X"
"YER151C","S000000953","C"
"YER152C","S000000954","C,N"
"YER153C","S000000955","M"
"YER154W","S000000956","M,R"
"YER155C","S000000957","C,M,B"
"YER156C","S000000958","C,N"
"YER157W","S000000959","G"
"YER159C","S000000961","N"
"YER160C","S000000962","C,N"
"YER161C","S000000963","N"
"YER162C","S000000964","C,N"
"YER163C","S000000965","C,N"
"YER164W","S000000966","N,M"
"YER165W","S000000967","C,N"
"YER166W","S000000968","M,G,P"
"YER167W","S000000969","C,N"
"YER168C","S000000970","C,N,M"
"YER169W","S000000971","N"
"YER170W","S000000972","M"
"YER171W","S000000973","N"
"YER172C","S000000974","N"
"YER173W","S000000975","N"
"YER174C","S000000976","N"
"YER175C","S000000977","C"
"YER176W","S000000978","C"
"YER177W","S000000979","C,N"
"YER178W","S000000980","M"
"YER179W","S000000981","N"
"YER182W","S000000984","M"
"YER183C","S000000985","M"
"YER184C","S000000986","N"
"YER185W","S000000987","P"
"YER190W","S000000992","N"
"YHL001W","S000000993","C"
"YHL003C","S000000995","E,D"
"YHL004W","S000000996","M"
"YHL006C","S000000998","N,U"
"YHL007C","S000000999","C,N"
"YHL009C","S000001001","C,N"
"YHL010C","S000001002","C"
"YHL011C","S000001003","C"
"YHL013C","S000001005","C"
"YHL014C","S000001006","M"
"YHL015W","S000001007","C"
"YHL016C","S000001008","P"
"YHL017W","S000001009","G"
"YHL018W","S000001010","M"
"YHL020C","S000001012","N,E"
"YHL021C","S000001013","M"
"YHL022C","S000001014","N"
"YHL023C","S000001015","V"
"YHL024W","S000001016","C"
"YHL025W","S000001017","N"
"YHL027W","S000001019","C,N"
"YHL028W","S000001020","D"
"YHL029C","S000001021","C"
"YHL030W","S000001022","C,N"
"YHL031C","S000001023","G,A"
"YHL032C","S000001024","C,M"
"YHL033C","S000001025","C"
"YHL034C","S000001026","C,N,U"
"YHL035C","S000001027","M,V,O"
"YHL038C","S000001030","M"
"YHL039W","S000001031","C"
"YHL040C","S000001032","C,N,P"
"YHL044W","S000001036","P"
"YHL047C","S000001039","P"
"YHR001W","S000001043","C"
"YHR002W","S000001044","M,R"
"YHR003C","S000001045","M"
"YHR004C","S000001046","N,M,E,D,L"
"YHR006W","S000001048","C,N"
"YHR007C","S000001049","E"
"YHR008C","S000001050","M"
"YHR009C","S000001051","C"
"YHR010W","S000001052","C"
"YHR011W","S000001053","C,M"
"YHR013C","S000001055","C"
"YHR014W","S000001056","N"
"YHR015W","S000001057","C"
"YHR016C","S000001058","C"
"YHR017W","S000001059","M"
"YHR019C","S000001061","C"
"YHR020W","S000001062","C"
"YHR021C","S000001063","C"
"YHR023W","S000001065","K"
"YHR024C","S000001066","M"
"YHR027C","S000001069","C,N,E"
"YHR028C","S000001070","V,O"
"YHR030C","S000001072","C,N,B"
"YHR033W","S000001075","C"
"YHR034C","S000001076","C,N"
"YHR036W","S000001078","N,E,L"
"YHR037W","S000001079","M"
"YHR038W","S000001080","M"
"YHR039C","S000001081","E"
"YHR040W","S000001082","C,N"
"YHR041C","S000001083","N"
"YHR042W","S000001084","M,E,P,D,T"
"YHR043C","S000001085","C,N"
"YHR045W","S000001087","E"
"YHR046C","S000001088","C,N"
"YHR047C","S000001089","C,N"
"YHR049W","S000001091","C,N"
"YHR050W","S000001092","M,V,O"
"YHR051W","S000001093","M,R"
"YHR052W","S000001094","N,U"
"YHR056C","S000001098","N"
"YHR057C","S000001099","X"
"YHR058C","S000001100","N"
"YHR059W","S000001101","M"
"YHR061C","S000001103","C,N,K,B"
"YHR062C","S000001104","N"
"YHR063C","S000001105","C"
"YHR064C","S000001106","C"
"YHR065C","S000001107","N,U"
"YHR066W","S000001108","N,U"
