"Ensemble gene ID",Entry,"Up/down regulated in cancer","Times of up-regulation observed","Times of down-regulation observed"
ENSG00000154265,Q8WWZ7,Down-regulated,0,14
ENSG00000154556,O94875,Down-regulated,0,14
ENSG00000168079,Q6ZMJ2,Down-regulated,0,14
ENSG00000182836,Q63HM9,Down-regulated,0,14
ENSG00000207966,NA,Down-regulated,0,14
ENSG00000004799,Q16654,Down-regulated,0,14
ENSG00000060762,Q9Y5U8,Down-regulated,0,14
ENSG00000075239,P24752,Down-regulated,0,14
ENSG00000103647,Q9UQ03,Down-regulated,0,14
ENSG00000118526,O43680,Down-regulated,0,14
ENSG00000122042,O95164,Down-regulated,0,14
ENSG00000138678,Q53EU6,Down-regulated,0,14
ENSG00000148057,Q5T6J7,Down-regulated,0,14
ENSG00000165379,Q96NI6,Down-regulated,0,14
ENSG00000171503,Q16134,Down-regulated,0,14
ENSG00000171522,P35408,Down-regulated,0,14
ENSG00000179914,Q8WWA0,Down-regulated,0,14
ENSG00000251615,NA,Down-regulated,0,14
ENSG00000260124,NA,Down-regulated,0,14
ENSG00000130988,Q15493,Down-regulated,0,14
ENSG00000050628,P43115,Down-regulated,0,13
ENSG00000106733,Q9NWW6,Down-regulated,0,13
ENSG00000107864,Q8NE35,Down-regulated,0,13
ENSG00000108924,Q16534,Down-regulated,0,13
ENSG00000121413,Q8TBC5,Down-regulated,0,13
ENSG00000154822,Q9UPR0,Down-regulated,0,13
ENSG00000156298,P41732,Down-regulated,0,13
ENSG00000165995,Q08289,Down-regulated,0,13
ENSG00000167434,P22748,Down-regulated,0,13
ENSG00000169116,Q6UWI2,Down-regulated,0,13
ENSG00000172260,Q7Z3B1,Down-regulated,0,13
ENSG00000205795,Q717R9,Down-regulated,0,13
ENSG00000118507,O43687,Down-regulated,0,13
ENSG00000122971,P16219,Down-regulated,0,13
ENSG00000136546,Q01118,Down-regulated,0,13
ENSG00000164035,Q9ULC0,Down-regulated,0,13
ENSG00000180440,A2A2V5,Down-regulated,0,13
ENSG00000189292,Q6UX46,Down-regulated,0,13
ENSG00000204789,NA,Down-regulated,0,13
ENSG00000205364,Q8N339,Down-regulated,0,13
ENSG00000250722,P49908,Down-regulated,0,13
ENSG00000111275,P05091,Down-regulated,0,13
ENSG00000137960,Q8TF65,Down-regulated,0,13
