Protein_ID,"Phylostratum (ps)",Tax_ID,"Phylostratum name"
AQZ89158.1,1,131567,"root : Cellular_organisms"
AQZ89159.1,1,131567,"root : Cellular_organisms"
AQZ89160.1,1,131567,"root : Cellular_organisms"
AQZ89161.1,1,131567,"root : Cellular_organisms"
AQZ89162.1,1,131567,"root : Cellular_organisms"
AQZ89163.1,1,131567,"root : Cellular_organisms"
AQZ89164.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89165.1,1,131567,"root : Cellular_organisms"
AQZ89166.1,1,131567,"root : Cellular_organisms"
AQZ89167.1,1,131567,"root : Cellular_organisms"
AQZ89168.1,1,131567,"root : Cellular_organisms"
AQZ89169.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89170.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89171.1,10,4000021,"Bacillus_subtilis_group : Bacillus_subtilis_node"
AQZ89172.1,1,131567,"root : Cellular_organisms"
AQZ89173.1,2,2,"Cellular_organisms : Bacteria"
AQZ89174.1,1,131567,"root : Cellular_organisms"
AQZ89175.1,1,131567,"root : Cellular_organisms"
AQZ89176.1,1,131567,"root : Cellular_organisms"
AQZ89177.1,1,131567,"root : Cellular_organisms"
AQZ89178.1,1,131567,"root : Cellular_organisms"
AQZ89179.1,1,131567,"root : Cellular_organisms"
AQZ89180.1,1,131567,"root : Cellular_organisms"
AQZ89181.1,1,131567,"root : Cellular_organisms"
AQZ89182.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89183.1,1,131567,"root : Cellular_organisms"
AQZ89184.1,1,131567,"root : Cellular_organisms"
AQZ89185.1,1,131567,"root : Cellular_organisms"
AQZ89186.1,1,131567,"root : Cellular_organisms"
AQZ89187.1,1,131567,"root : Cellular_organisms"
AQZ89188.1,5,4000015,"Bacillales/Lactobacillales/Erysipelotrichaceae/Tenericutes : Bacillales/Lactobacillales"
AQZ89189.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89190.1,2,2,"Cellular_organisms : Bacteria"
AQZ89191.1,1,131567,"root : Cellular_organisms"
AQZ89192.1,1,131567,"root : Cellular_organisms"
AQZ89193.1,1,131567,"root : Cellular_organisms"
AQZ89194.1,1,131567,"root : Cellular_organisms"
AQZ89195.1,1,131567,"root : Cellular_organisms"
AQZ89196.1,1,131567,"root : Cellular_organisms"
AQZ89197.1,1,131567,"root : Cellular_organisms"
AQZ89198.1,1,131567,"root : Cellular_organisms"
AQZ89199.1,1,131567,"root : Cellular_organisms"
AQZ89200.1,1,131567,"root : Cellular_organisms"
AQZ89201.1,2,2,"Cellular_organisms : Bacteria"
AQZ89202.1,2,2,"Cellular_organisms : Bacteria"
AQZ89203.1,1,131567,"root : Cellular_organisms"
AQZ89204.1,1,131567,"root : Cellular_organisms"
AQZ89205.1,1,131567,"root : Cellular_organisms"
AQZ89206.1,1,131567,"root : Cellular_organisms"
AQZ89207.1,1,131567,"root : Cellular_organisms"
AQZ89208.1,1,131567,"root : Cellular_organisms"
AQZ89209.1,1,131567,"root : Cellular_organisms"
AQZ89210.1,2,2,"Cellular_organisms : Bacteria"
AQZ89211.1,6,1385,"Bacillales/Lactobacillales : Bacillales"
AQZ89212.1,1,131567,"root : Cellular_organisms"
AQZ89213.1,1,131567,"root : Cellular_organisms"
AQZ89214.1,1,131567,"root : Cellular_organisms"
AQZ89215.1,1,131567,"root : Cellular_organisms"
AQZ89216.1,1,131567,"root : Cellular_organisms"
AQZ89217.1,1,131567,"root : Cellular_organisms"
AQZ89218.1,1,131567,"root : Cellular_organisms"
AQZ89219.1,1,131567,"root : Cellular_organisms"
AQZ89220.1,1,131567,"root : Cellular_organisms"
AQZ89221.1,1,131567,"root : Cellular_organisms"
AQZ89222.1,10,4000021,"Bacillus_subtilis_group : Bacillus_subtilis_node"
AQZ89223.1,1,131567,"root : Cellular_organisms"
AQZ89224.1,1,131567,"root : Cellular_organisms"
AQZ89225.1,1,131567,"root : Cellular_organisms"
AQZ89226.1,2,2,"Cellular_organisms : Bacteria"
AQZ89227.1,1,131567,"root : Cellular_organisms"
AQZ89228.1,1,131567,"root : Cellular_organisms"
