seed,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
16,1.435,1.506,1.412,1.365,1.529,1.506,1.576,-1.271,-0.329,-0.541,-0.518,-0.988,0.376,0.447,0.447,1.294,1.529
17,1.388,1.459,1.365,1.294,1.459,1.435,1.482,-0.988,-0.282,-0.447,-0.424,-0.776,0.353,0.376,0.376,1.247,1.459
18,1.647,1.694,1.624,1.576,1.694,1.694,1.741,-0.682,0.188,0.024,0,-0.376,0.753,0.8,0.776,1.529,1.718
19,1.365,1.388,1.341,1.294,1.341,1.318,1.365,-0.965,-0.024,-0.212,-0.212,-0.659,0.588,0.518,0.494,1.247,1.341
20,1.788,1.859,1.765,1.694,1.835,1.812,1.882,-0.8,0.094,-0.094,-0.094,-0.518,0.753,0.776,0.753,1.647,1.859
21,1.6,1.671,1.553,1.506,1.694,1.671,1.741,-1.035,-0.188,-0.376,-0.353,-0.776,0.494,0.565,0.565,1.435,1.694
22,1.318,1.388,1.294,1.247,1.388,1.365,1.435,-0.988,-0.165,-0.329,-0.329,-0.706,0.424,0.447,0.424,1.2,1.412
23,2.188,2.282,2.165,2.094,2.282,2.259,2.329,-0.659,0.282,0.071,0.071,-0.376,1.012,1.059,1.035,2.024,2.306
24,1.271,1.365,1.247,1.2,1.412,1.388,1.459,-1.153,-0.353,-0.518,-0.494,-0.894,0.259,0.353,0.353,1.129,1.412
25,1.129,1.176,1.106,1.059,1.2,1.176,1.224,-0.965,-0.235,-0.376,-0.376,-0.729,0.306,0.376,0.353,1.012,1.2
26,2.047,2.118,2,1.953,2.118,2.094,2.165,-0.894,0.071,-0.141,-0.141,-0.588,0.824,0.871,0.847,1.859,2.141
27,1.341,1.365,1.318,1.271,1.365,1.341,1.365,-0.612,0.141,0,-0.024,-0.353,0.635,0.612,0.588,1.247,1.365
28,1.812,1.906,1.788,1.741,1.929,1.929,2,-0.894,0.024,-0.165,-0.141,-0.612,0.706,0.8,0.8,1.671,1.953
29,1.576,1.624,1.529,1.482,1.6,1.576,1.624,-0.918,-0.141,-0.329,-0.329,-0.706,0.494,0.518,0.518,1.412,1.624
30,1.835,1.906,1.812,1.741,1.882,1.859,1.929,-1.035,-0.024,-0.235,-0.259,-0.706,0.682,0.682,0.659,1.671,1.906
31,1.694,1.741,1.647,1.6,1.741,1.694,1.765,-0.918,0.024,-0.165,-0.188,-0.612,0.682,0.635,0.612,1.529,1.741
32,2.329,2.424,2.306,2.235,2.447,2.424,2.494,-0.659,0.4,0.188,0.188,-0.306,1.153,1.2,1.176,2.165,2.447
33,1.482,1.553,1.459,1.412,1.576,1.553,1.6,-0.941,-0.165,-0.329,-0.329,-0.682,0.447,0.494,0.494,1.341,1.576
34,1.529,1.6,1.506,1.459,1.6,1.576,1.624,-0.918,-0.047,-0.212,-0.212,-0.635,0.565,0.588,0.588,1.388,1.6
35,1.388,1.459,1.365,1.318,1.459,1.459,1.506,-0.776,0,-0.141,-0.141,-0.518,0.565,0.588,0.588,1.271,1.482
36,1.412,1.506,1.388,1.341,1.529,1.529,1.576,-1.106,-0.165,-0.353,-0.353,-0.776,0.424,0.494,0.494,1.294,1.553
37,2.024,2.047,1.976,1.929,2.024,1.976,2.047,-0.871,0.235,0.024,0,-0.494,0.965,0.894,0.871,1.859,2.024
38,1.129,1.2,1.106,1.059,1.247,1.224,1.294,-1.059,-0.353,-0.494,-0.494,-0.824,0.212,0.259,0.259,0.988,1.247
39,1.624,1.694,1.6,1.553,1.718,1.694,1.741,-0.871,0,-0.188,-0.165,-0.588,0.635,0.682,0.682,1.482,1.718
40,2.118,2.165,2.071,2.024,2.141,2.118,2.188,-0.635,0.4,0.212,0.188,-0.282,1.082,1.059,1.035,1.953,2.165
41,2.235,2.306,2.212,2.141,2.306,2.282,2.353,-0.682,0.329,0.118,0.118,-0.353,1.059,1.082,1.082,2.071,2.329
42,1.624,1.718,1.6,1.553,1.765,1.741,1.812,-1.176,-0.235,-0.424,-0.424,-0.894,0.471,0.565,0.565,1.459,1.788
43,1.718,1.765,1.671,1.624,1.765,1.741,1.788,-0.988,-0.024,-0.212,-0.235,-0.659,0.659,0.635,0.612,1.553,1.765
44,1.976,2.071,1.953,1.906,2.094,2.094,2.141,-0.376,0.4,0.235,0.259,-0.141,0.988,1.082,1.082,1.859,2.118
45,1.812,1.859,1.765,1.718,1.835,1.788,1.859,-1.035,0.047,-0.165,-0.188,-0.682,0.753,0.729,0.706,1.647,1.835
46,1.671,1.741,1.647,1.6,1.765,1.741,1.812,-0.471,0.259,0.118,0.094,-0.235,0.776,0.8,0.8,1.553,1.788
47,1.153,1.176,1.129,1.082,1.153,1.129,1.176,-0.894,-0.094,-0.259,-0.259,-0.635,0.424,0.4,0.376,1.035,1.176
48,1.6,1.694,1.576,1.529,1.718,1.694,1.765,-1.012,-0.094,-0.282,-0.282,-0.706,0.565,0.635,0.612,1.459,1.718
49,1.929,2,1.906,1.859,2.024,2,2.047,-0.894,0.165,-0.047,-0.071,-0.541,0.871,0.871,0.871,1.788,2.024
50,1.765,1.812,1.741,1.671,1.788,1.765,1.835,-1.082,-0.047,-0.259,-0.282,-0.753,0.682,0.682,0.659,1.624,1.812
51,1.906,2,1.882,1.835,2.024,2,2.071,-0.753,0.141,-0.047,-0.047,-0.471,0.776,0.847,0.847,1.741,2.047
52,1.106,1.153,1.082,1.035,1.176,1.153,1.224,-1.2,-0.4,-0.565,-0.565,-0.941,0.165,0.212,0.188,0.965,1.2
53,1.365,1.459,1.341,1.294,1.482,1.459,1.506,-0.965,-0.188,-0.353,-0.329,-0.706,0.4,0.471,0.447,1.247,1.482
54,1.812,1.882,1.788,1.741,1.906,1.882,1.953,-0.706,0.141,-0.047,-0.047,-0.447,0.776,0.824,0.824,1.671,1.906
55,1.012,1.106,0.988,0.941,1.129,1.106,1.176,-1.318,-0.518,-0.682,-0.682,-1.082,0.071,0.141,0.141,0.894,1.129
56,1.835,1.929,1.812,1.765,1.953,1.953,2,-0.729,0.165,-0.024,0,-0.424,0.8,0.871,0.871,1.694,1.976
57,1.741,1.859,1.741,1.694,1.929,1.929,1.976,-0.824,0.047,-0.141,-0.118,-0.565,0.682,0.824,0.824,1.624,1.929
58,1.318,1.365,1.294,1.247,1.388,1.365,1.435,-1.082,-0.212,-0.376,-0.376,-0.776,0.376,0.424,0.424,1.176,1.412
59,1.718,1.788,1.671,1.624,1.788,1.788,1.835,-0.753,0.071,-0.094,-0.094,-0.471,0.682,0.706,0.682,1.553,1.812
60,1.741,1.812,1.718,1.671,1.835,1.835,1.882,-0.776,0.141,-0.047,-0.047,-0.471,0.753,0.824,0.8,1.6,1.859
61,1.506,1.576,1.482,1.435,1.576,1.576,1.624,-0.824,-0.047,-0.212,-0.212,-0.588,0.541,0.588,0.565,1.388,1.6
62,2.141,2.212,2.094,2.024,2.212,2.165,2.235,-0.847,0.094,-0.118,-0.118,-0.565,0.871,0.894,0.871,1.953,2.212
63,2.165,2.188,2.118,2.071,2.141,2.118,2.165,-0.541,0.518,0.306,0.282,-0.188,1.2,1.153,1.129,2.024,2.141
64,1.624,1.694,1.6,1.553,1.741,1.718,1.788,-0.941,0,-0.188,-0.188,-0.635,0.612,0.682,0.659,1.482,1.741
65,0.965,1.035,0.941,0.894,1.035,1.012,1.059,-1.2,-0.424,-0.588,-0.588,-0.965,0.118,0.141,0.141,0.847,1.035
66,1.529,1.6,1.506,1.459,1.6,1.576,1.624,-0.871,-0.094,-0.259,-0.259,-0.635,0.541,0.565,0.565,1.388,1.6
67,1.812,1.859,1.765,1.718,1.859,1.835,1.906,-0.682,0.118,-0.047,-0.071,-0.424,0.729,0.729,0.706,1.647,1.882
68,2.494,2.541,2.424,2.353,2.518,2.471,2.541,-0.847,0.329,0.094,0.094,-0.447,1.176,1.153,1.129,2.282,2.518
69,1.294,1.318,1.271,1.2,1.271,1.247,1.294,-1.153,-0.188,-0.376,-0.4,-0.847,0.447,0.4,0.376,1.176,1.294
70,1.129,1.2,1.106,1.082,1.224,1.224,1.271,-0.988,-0.235,-0.4,-0.376,-0.729,0.282,0.353,0.329,1.012,1.247
71,1.765,1.835,1.741,1.671,1.859,1.835,1.906,-0.706,0.118,-0.047,-0.047,-0.424,0.706,0.753,0.729,1.624,1.882
72,1.035,1.129,1.012,0.988,1.176,1.176,1.224,-1.082,-0.4,-0.541,-0.541,-0.871,0.118,0.212,0.212,0.918,1.2
73,1.482,1.553,1.459,1.388,1.576,1.553,1.624,-0.871,-0.071,-0.212,-0.235,-0.588,0.518,0.518,0.518,1.341,1.576
74,2.024,2.094,2,1.953,2.118,2.094,2.165,-0.494,0.4,0.212,0.212,-0.212,1.035,1.059,1.059,1.882,2.118
75,2.188,2.259,2.141,2.071,2.259,2.212,2.306,-0.8,0.235,0.024,0,-0.447,0.965,0.965,0.941,2,2.259
76,2,2.071,1.953,1.906,2.047,2.024,2.094,-0.8,0.071,-0.118,-0.118,-0.541,0.824,0.847,0.847,1.835,2.071
77,1.224,1.247,1.176,1.129,1.2,1.176,1.224,-1.035,-0.141,-0.306,-0.329,-0.729,0.424,0.376,0.353,1.106,1.224
78,1.576,1.671,1.553,1.482,1.694,1.694,1.741,-0.871,-0.141,-0.306,-0.282,-0.659,0.494,0.588,0.588,1.435,1.718
79,1.718,1.788,1.694,1.624,1.788,1.765,1.835,-0.918,0.047,-0.141,-0.141,-0.588,0.682,0.706,0.682,1.576,1.788
80,1.341,1.388,1.318,1.271,1.388,1.388,1.435,-0.8,0.024,-0.141,-0.165,-0.518,0.541,0.541,0.518,1.224,1.412
81,1.671,1.741,1.647,1.6,1.741,1.718,1.788,-0.894,-0.024,-0.188,-0.212,-0.612,0.612,0.635,0.612,1.529,1.765
82,1.506,1.576,1.482,1.435,1.6,1.576,1.624,-1.341,-0.329,-0.541,-0.541,-1.012,0.4,0.424,0.424,1.365,1.6
83,1.082,1.153,1.059,1.012,1.176,1.153,1.2,-1.294,-0.447,-0.612,-0.612,-1.012,0.165,0.235,0.212,0.965,1.176
84,1.906,1.953,1.859,1.812,1.929,1.882,1.953,-0.824,0.165,-0.047,-0.071,-0.518,0.847,0.847,0.824,1.741,1.929
85,1.318,1.388,1.294,1.247,1.412,1.388,1.435,-1.224,-0.306,-0.471,-0.471,-0.918,0.329,0.4,0.376,1.176,1.412
86,1.176,1.247,1.153,1.106,1.247,1.247,1.294,-1.247,-0.353,-0.518,-0.518,-0.941,0.259,0.306,0.306,1.059,1.271
87,1.012,1.059,0.988,0.965,1.059,1.059,1.106,-0.776,-0.165,-0.282,-0.282,-0.565,0.282,0.329,0.306,0.918,1.082
88,2.047,2.118,2.024,1.953,2.118,2.094,2.141,-0.635,0.282,0.094,0.094,-0.353,0.965,1.012,1.012,1.906,2.118
89,1.694,1.741,1.647,1.6,1.741,1.718,1.765,-0.706,0.047,-0.118,-0.141,-0.494,0.659,0.659,0.659,1.529,1.741
90,1.459,1.482,1.435,1.388,1.435,1.412,1.459,-0.612,0.212,0.071,0.047,-0.329,0.753,0.682,0.659,1.341,1.435
91,1.906,1.976,1.882,1.812,1.953,1.906,1.976,-1.153,-0.071,-0.306,-0.306,-0.824,0.729,0.729,0.706,1.741,1.953
92,1.671,1.765,1.647,1.6,1.812,1.788,1.859,-1.012,-0.094,-0.282,-0.259,-0.729,0.588,0.682,0.682,1.529,1.812
93,1.576,1.671,1.553,1.482,1.671,1.671,1.718,-1.294,-0.306,-0.518,-0.494,-0.988,0.424,0.471,0.447,1.412,1.694
94,1.835,1.929,1.812,1.741,1.976,1.976,2.047,-1.012,0.024,-0.188,-0.188,-0.682,0.706,0.776,0.753,1.671,2
95,1.671,1.718,1.624,1.576,1.694,1.647,1.718,-0.965,-0.071,-0.259,-0.282,-0.682,0.612,0.565,0.541,1.506,1.694
96,1.247,1.294,1.2,1.153,1.318,1.318,1.365,-1.247,-0.353,-0.541,-0.541,-0.965,0.282,0.306,0.306,1.106,1.341
97,1.812,1.882,1.765,1.718,1.882,1.859,1.929,-0.824,0,-0.188,-0.188,-0.565,0.659,0.729,0.706,1.647,1.906
98,1.435,1.506,1.412,1.365,1.506,1.506,1.553,-0.965,-0.094,-0.259,-0.259,-0.659,0.518,0.541,0.541,1.294,1.529
99,1.082,1.153,1.059,1.012,1.176,1.176,1.224,-1.059,-0.306,-0.471,-0.447,-0.824,0.212,0.282,0.282,0.965,1.2
100,2.047,2.165,2.024,1.953,2.188,2.188,2.259,-1.2,-0.094,-0.329,-0.306,-0.847,0.706,0.8,0.8,1.859,2.212
