seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
79,-68.02,-67.69,-67.278,-67.306,-67.278,-67.169,-67.333,-67.278,-67.745,-67.58,-68.816,-67.718,-67.471,-66.922,-67.031,-67.333
80,-68.267,-68.047,-67.69,-67.69,-67.663,-67.58,-67.718,-67.69,-68.075,-67.91,-68.953,-68.047,-67.882,-67.416,-67.498,-67.718
81,-67.525,-67.031,-66.29,-66.29,-66.263,-66.043,-66.373,-66.29,-67.114,-66.812,-68.678,-67.059,-66.675,-65.604,-65.824,-66.373
82,-67.937,-67.635,-67.251,-67.251,-67.251,-67.141,-67.278,-67.251,-67.69,-67.525,-68.678,-67.635,-67.443,-66.922,-67.004,-67.306
83,-68.075,-67.855,-67.471,-67.443,-67.443,-67.333,-67.498,-67.443,-67.882,-67.718,-68.871,-67.882,-67.663,-67.141,-67.278,-67.498
84,-67.498,-67.059,-66.345,-66.318,-66.29,-66.125,-66.427,-66.345,-67.114,-66.812,-68.651,-67.114,-66.757,-65.741,-66.016,-66.4
85,-67.553,-67.059,-66.318,-66.29,-66.263,-66.071,-66.4,-66.318,-67.141,-66.839,-68.651,-67.114,-66.729,-65.659,-65.933,-66.373
86,-68.102,-67.882,-67.498,-67.471,-67.471,-67.361,-67.525,-67.498,-67.91,-67.745,-68.871,-67.91,-67.718,-67.196,-67.306,-67.525
87,-68.129,-67.91,-67.498,-67.471,-67.471,-67.361,-67.553,-67.498,-67.937,-67.745,-68.925,-67.91,-67.718,-67.169,-67.306,-67.525
88,-68.267,-68.047,-67.69,-67.69,-67.663,-67.58,-67.745,-67.69,-68.075,-67.937,-69.008,-68.075,-67.882,-67.416,-67.525,-67.718
89,-68.157,-67.855,-67.471,-67.471,-67.443,-67.361,-67.498,-67.471,-67.91,-67.745,-68.898,-67.855,-67.663,-67.141,-67.224,-67.525
90,-67.388,-66.839,-66.016,-66.016,-65.988,-65.769,-66.098,-66.016,-66.922,-66.592,-68.569,-66.839,-66.427,-65.302,-65.494,-66.098
91,-67.443,-66.949,-66.29,-66.29,-66.263,-66.071,-66.345,-66.29,-67.031,-66.784,-68.514,-66.949,-66.592,-65.659,-65.796,-66.373
92,-67.224,-66.729,-65.851,-65.851,-65.824,-65.604,-65.961,-65.851,-66.812,-66.455,-68.541,-66.784,-66.373,-65.137,-65.439,-65.961
93,-67.69,-67.278,-66.537,-66.51,-66.482,-66.318,-66.62,-66.537,-67.333,-67.031,-68.788,-67.333,-66.949,-65.906,-66.18,-66.62
94,-68.212,-67.965,-67.553,-67.525,-67.525,-67.416,-67.608,-67.553,-67.992,-67.827,-69.008,-67.992,-67.773,-67.224,-67.333,-67.58
95,-67.937,-67.718,-67.333,-67.333,-67.306,-67.224,-67.388,-67.333,-67.745,-67.58,-68.733,-67.745,-67.553,-67.059,-67.196,-67.361
96,-68.157,-67.91,-67.498,-67.471,-67.471,-67.388,-67.553,-67.498,-67.937,-67.773,-68.953,-67.91,-67.718,-67.196,-67.306,-67.525
97,-67.965,-67.635,-67.224,-67.251,-67.224,-67.114,-67.251,-67.251,-67.663,-67.525,-68.706,-67.608,-67.388,-66.867,-66.894,-67.278
98,-67.58,-67.059,-66.18,-66.18,-66.125,-65.878,-66.263,-66.18,-67.141,-66.784,-68.733,-67.086,-66.62,-65.302,-65.522,-66.263
99,-68.184,-67.965,-67.635,-67.608,-67.608,-67.525,-67.663,-67.635,-67.992,-67.855,-68.898,-67.992,-67.8,-67.361,-67.443,-67.663
100,-67.471,-67.004,-66.345,-66.373,-66.318,-66.153,-66.4,-66.373,-67.059,-66.812,-68.486,-67.004,-66.647,-65.741,-65.878,-66.427
