seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
38,-70.957,-70.792,-70.435,-70.408,-70.408,-70.325,-70.463,-70.408,-70.82,-70.655,-71.616,-70.82,-70.655,-70.133,-70.271,-70.463
39,-70.737,-70.545,-70.161,-70.161,-70.133,-70.051,-70.216,-70.161,-70.573,-70.408,-71.451,-70.573,-70.38,-69.831,-69.941,-70.188
40,-71.533,-71.369,-71.122,-71.122,-71.094,-71.039,-71.149,-71.122,-71.396,-71.286,-72,-71.396,-71.259,-70.875,-70.929,-71.149
41,-70.49,-70.435,-70.243,-70.188,-70.216,-70.161,-70.271,-70.216,-70.463,-70.353,-70.82,-70.463,-70.38,-70.078,-70.188,-70.243
42,-70.655,-70.545,-70.271,-70.243,-70.243,-70.188,-70.325,-70.271,-70.573,-70.435,-71.122,-70.573,-70.463,-70.051,-70.188,-70.298
43,-70.682,-70.627,-70.243,-70.161,-70.188,-70.133,-70.298,-70.216,-70.655,-70.463,-71.424,-70.737,-70.545,-69.969,-70.188,-70.243
44,-70.298,-70.298,-70.106,-70.051,-70.078,-70.024,-70.133,-70.078,-70.298,-70.188,-70.655,-70.325,-70.243,-69.941,-70.051,-70.106
45,-70.902,-70.765,-70.435,-70.408,-70.435,-70.353,-70.49,-70.435,-70.792,-70.655,-71.478,-70.792,-70.655,-70.188,-70.325,-70.463
46,-70.655,-70.463,-70.133,-70.133,-70.106,-70.024,-70.161,-70.133,-70.49,-70.353,-71.286,-70.463,-70.298,-69.886,-69.969,-70.161
47,-70.627,-70.6,-70.408,-70.408,-70.408,-70.353,-70.435,-70.408,-70.6,-70.518,-70.984,-70.627,-70.545,-70.243,-70.325,-70.435
48,-70.875,-70.682,-70.38,-70.353,-70.353,-70.271,-70.408,-70.38,-70.71,-70.573,-71.341,-70.655,-70.518,-70.133,-70.188,-70.408
49,-71.039,-70.82,-70.545,-70.573,-70.545,-70.463,-70.573,-70.573,-70.847,-70.765,-71.533,-70.82,-70.655,-70.298,-70.325,-70.6
50,-71.012,-70.847,-70.518,-70.518,-70.49,-70.435,-70.573,-70.518,-70.875,-70.737,-71.588,-70.847,-70.71,-70.271,-70.353,-70.545
51,-71.012,-70.847,-70.655,-70.655,-70.655,-70.573,-70.655,-70.655,-70.875,-70.792,-71.314,-70.82,-70.737,-70.435,-70.49,-70.682
52,-70.792,-70.545,-70.161,-70.161,-70.133,-70.051,-70.216,-70.161,-70.6,-70.435,-71.478,-70.573,-70.38,-69.831,-69.969,-70.216
53,-70.353,-70.133,-69.694,-69.694,-69.694,-69.557,-69.749,-69.722,-70.161,-69.996,-71.039,-70.133,-69.914,-69.31,-69.392,-69.749
54,-70.627,-70.325,-69.886,-69.914,-69.886,-69.749,-69.914,-69.886,-70.353,-70.188,-71.369,-70.325,-70.078,-69.475,-69.557,-69.941
