seed,LC,6H,12H,1D,2D,3D,5D,7D,14D,1M,2M
30,0.635,1.294,0.965,0.663,0.69,0.58,0.8,0.635,0.443,0.471,0.114
31,0.224,0.965,0.58,0.278,0.333,0.196,0.416,0.251,0.031,-0.078,-1.122
32,0.608,1.322,0.937,0.663,0.69,0.58,0.8,0.608,0.443,0.278,-0.655
33,0.169,0.882,0.498,0.224,0.251,0.141,0.361,0.169,-0.024,-0.106,-0.573
34,0.663,1.322,0.992,0.718,0.745,0.635,0.827,0.69,0.498,0.443,-0.408
35,0.718,1.431,1.047,0.773,0.8,0.69,0.91,0.718,0.553,0.416,-0.325
36,0.58,1.294,0.965,0.635,0.663,0.525,0.773,0.608,0.388,0.361,-0.188
37,0.333,1.075,0.663,0.388,0.416,0.306,0.525,0.333,0.141,-0.051,-1.149
38,0.361,1.047,0.718,0.416,0.443,0.333,0.553,0.388,0.196,0.169,-0.243
39,0.416,1.102,0.773,0.471,0.498,0.388,0.608,0.443,0.224,0.224,0.059
40,0.525,1.294,0.882,0.553,0.608,0.471,0.69,0.525,0.306,0.251,-0.271
41,0.553,1.239,0.91,0.58,0.635,0.498,0.718,0.553,0.333,0.416,0.169
42,0.306,1.075,0.663,0.361,0.416,0.278,0.498,0.333,0.114,0.031,-0.49
43,0.58,1.322,0.965,0.608,0.663,0.525,0.773,0.58,0.361,0.361,-0.133
44,0.553,1.267,0.91,0.608,0.635,0.525,0.718,0.553,0.361,0.306,-0.216
45,0.718,1.514,1.102,0.773,0.8,0.663,0.91,0.718,0.498,0.388,-0.325
46,0.498,1.157,0.827,0.553,0.58,0.471,0.663,0.498,0.306,0.224,-0.463
47,0.69,1.404,1.047,0.745,0.773,0.663,0.882,0.718,0.498,0.416,-0.243
48,0.58,1.294,0.937,0.635,0.663,0.525,0.745,0.58,0.361,0.388,0.059
49,0.663,1.404,1.047,0.69,0.745,0.608,0.827,0.663,0.443,0.471,-0.051
50,0.443,1.129,0.773,0.498,0.525,0.416,0.608,0.443,0.251,0.169,-0.6
51,0.525,1.184,0.855,0.58,0.608,0.498,0.69,0.525,0.361,0.224,-0.655
52,0.525,1.239,0.882,0.553,0.608,0.471,0.69,0.525,0.306,0.361,0.114
53,0.196,0.91,0.525,0.251,0.306,0.169,0.388,0.224,0.031,-0.078,-0.545
54,0.388,1.075,0.718,0.443,0.471,0.361,0.553,0.388,0.224,0.004,-1.204
55,0.718,1.431,1.075,0.773,0.8,0.69,0.91,0.718,0.525,0.471,-0.106
56,0.663,1.349,0.992,0.718,0.745,0.635,0.827,0.663,0.471,0.416,-0.325
57,0.553,1.267,0.91,0.608,0.663,0.525,0.745,0.58,0.388,0.224,-0.929
58,0.471,1.129,0.8,0.525,0.553,0.443,0.635,0.471,0.306,0.224,-0.38
59,0.663,1.431,1.02,0.718,0.773,0.635,0.855,0.69,0.471,0.333,-0.627
60,0.471,1.102,0.773,0.498,0.553,0.416,0.635,0.471,0.278,0.224,-0.133
61,0.58,1.376,0.965,0.635,0.69,0.553,0.773,0.58,0.361,0.278,-0.325
62,0.58,1.294,0.91,0.635,0.663,0.553,0.773,0.58,0.388,0.224,-0.792
63,0.443,1.157,0.8,0.471,0.525,0.388,0.608,0.443,0.224,0.196,-0.38
64,0.333,1.047,0.69,0.388,0.443,0.306,0.525,0.361,0.169,0.059,-0.49
65,0.553,1.322,0.937,0.608,0.635,0.498,0.745,0.553,0.333,0.278,-0.38
66,0.553,1.322,0.937,0.608,0.635,0.498,0.745,0.553,0.333,0.278,-0.298
67,0.498,1.212,0.855,0.553,0.58,0.471,0.69,0.525,0.306,0.278,-0.243
68,0.773,1.514,1.157,0.827,0.855,0.745,0.965,0.8,0.553,0.58,0.031
69,0.471,1.212,0.855,0.525,0.58,0.443,0.663,0.498,0.278,0.251,-0.463
70,0.553,1.349,0.937,0.608,0.663,0.525,0.745,0.553,0.333,0.251,-0.573
71,0.608,1.349,0.992,0.663,0.69,0.553,0.8,0.608,0.388,0.443,0.086
72,0.498,1.184,0.827,0.525,0.58,0.471,0.663,0.498,0.306,0.278,0.169
73,0.471,1.184,0.8,0.525,0.58,0.443,0.663,0.471,0.306,0.059,-1.176
74,0.608,1.404,1.02,0.663,0.69,0.553,0.8,0.608,0.388,0.361,-0.408
75,0.553,1.212,0.882,0.58,0.608,0.498,0.718,0.553,0.361,0.333,-0.325
76,0.525,1.239,0.882,0.58,0.608,0.498,0.718,0.553,0.333,0.388,-0.106
77,0.361,1.075,0.69,0.416,0.471,0.361,0.553,0.388,0.196,0.141,-0.024
78,0.553,1.267,0.882,0.58,0.635,0.498,0.718,0.553,0.361,0.388,0.169
79,0.663,1.404,1.02,0.718,0.745,0.608,0.827,0.663,0.471,0.361,-0.325
80,0.635,1.322,0.965,0.663,0.718,0.58,0.8,0.635,0.416,0.388,-0.188
81,0.773,1.486,1.129,0.8,0.855,0.718,0.937,0.773,0.553,0.608,0.114
82,0.855,1.624,1.239,0.91,0.965,0.827,1.047,0.882,0.663,0.525,-0.243
83,0.635,1.349,1.02,0.69,0.718,0.58,0.8,0.635,0.416,0.498,0.114
84,0.333,1.047,0.69,0.388,0.416,0.306,0.498,0.333,0.141,0.169,0.086
85,0.553,1.267,0.91,0.608,0.663,0.525,0.745,0.58,0.388,0.361,0.141
86,0.416,1.129,0.8,0.471,0.525,0.388,0.608,0.443,0.224,0.224,-0.078
87,0.553,1.267,0.937,0.608,0.635,0.498,0.745,0.553,0.333,0.388,0.031
88,0.553,1.349,0.965,0.608,0.635,0.498,0.745,0.553,0.333,0.306,-0.271
89,0.443,1.129,0.773,0.498,0.525,0.416,0.608,0.443,0.251,0.196,-0.38
90,0.635,1.267,0.937,0.663,0.69,0.58,0.773,0.635,0.443,0.471,-0.106
91,0.608,1.431,1.02,0.69,0.718,0.58,0.827,0.635,0.416,0.306,-0.545
92,0.525,1.239,0.882,0.58,0.608,0.498,0.718,0.553,0.333,0.416,0.141
93,0.361,1.075,0.718,0.416,0.443,0.333,0.553,0.361,0.169,0.196,0.114
94,0.553,1.294,0.91,0.58,0.635,0.498,0.718,0.553,0.333,0.333,-0.106
95,0.69,1.376,1.047,0.718,0.745,0.635,0.855,0.69,0.471,0.525,0.196
96,0.525,1.267,0.91,0.58,0.608,0.498,0.718,0.553,0.333,0.333,-0.078
97,0.58,1.267,0.91,0.635,0.663,0.553,0.745,0.58,0.388,0.251,-0.682
98,0.553,1.212,0.91,0.608,0.635,0.525,0.745,0.58,0.361,0.416,-0.133
99,0.718,1.431,1.075,0.773,0.8,0.69,0.91,0.745,0.525,0.525,-0.024
100,0.333,1.02,0.663,0.388,0.416,0.306,0.498,0.333,0.141,0.059,-0.573
