seed,LC,6H,12H,1D,2D,3D,5D,7D,14D,1M,2M
24,-71.039,-71.231,-70.765,-71.122,-71.231,-71.259,-71.149,-71.067,-71.314,-69.502,-66.757
25,-71.176,-71.286,-70.929,-71.259,-71.341,-71.369,-71.259,-71.204,-71.424,-69.914,-67.992
26,-70.984,-71.094,-70.6,-71.094,-71.204,-71.259,-71.067,-71.012,-71.314,-69.227,-67.031
27,-70.957,-71.012,-70.6,-71.039,-71.149,-71.176,-71.012,-70.984,-71.259,-69.475,-66.373
28,-71.396,-71.588,-71.122,-71.478,-71.588,-71.588,-71.506,-71.396,-71.643,-69.914,-66.867
29,-70.902,-70.957,-70.545,-70.984,-71.094,-71.122,-70.984,-70.929,-71.204,-69.282,-65.741
30,-70.847,-70.929,-70.518,-70.957,-71.039,-71.094,-70.929,-70.875,-71.149,-69.255,-66.016
31,-71.122,-71.204,-70.765,-71.204,-71.314,-71.341,-71.204,-71.149,-71.424,-69.557,-66.592
32,-71.369,-71.478,-71.122,-71.451,-71.533,-71.561,-71.451,-71.396,-71.616,-69.996,-67.114
33,-70.929,-71.039,-70.6,-71.012,-71.122,-71.149,-71.012,-70.957,-71.204,-69.282,-66.125
34,-71.067,-71.149,-70.792,-71.149,-71.231,-71.259,-71.149,-71.094,-71.341,-69.776,-67.608
35,-71.396,-71.616,-71.176,-71.506,-71.588,-71.616,-71.506,-71.424,-71.643,-70.188,-68.871
36,-71.094,-71.259,-70.847,-71.204,-71.286,-71.314,-71.204,-71.122,-71.369,-69.639,-66.482
37,-70.792,-70.765,-70.435,-70.875,-70.957,-71.012,-70.847,-70.82,-71.094,-69.365,-65.769
38,-70.847,-71.122,-70.545,-70.957,-71.067,-71.094,-70.984,-70.875,-71.122,-68.925,-65.851
39,-71.067,-71.122,-70.792,-71.149,-71.231,-71.259,-71.122,-71.067,-71.314,-69.831,-68.02
40,-71.149,-71.231,-70.82,-71.231,-71.341,-71.369,-71.231,-71.176,-71.451,-69.804,-67.882
41,-71.122,-71.204,-70.875,-71.204,-71.286,-71.314,-71.204,-71.149,-71.369,-70.051,-68.871
42,-71.286,-71.588,-70.984,-71.396,-71.533,-71.533,-71.424,-71.314,-71.561,-69.42,-65.741
43,-71.259,-71.396,-70.902,-71.369,-71.478,-71.506,-71.369,-71.286,-71.588,-69.584,-66.373
44,-71.588,-71.835,-71.314,-71.698,-71.808,-71.835,-71.725,-71.616,-71.863,-69.914,-66.812
45,-71.012,-71.012,-70.655,-71.094,-71.176,-71.231,-71.067,-71.039,-71.314,-69.612,-67.114
46,-71.341,-71.533,-71.067,-71.451,-71.561,-71.561,-71.451,-71.369,-71.616,-69.804,-67.059
47,-70.82,-70.847,-70.518,-70.902,-70.984,-71.039,-70.875,-70.847,-71.094,-69.557,-66.867
48,-70.957,-71.176,-70.71,-71.039,-71.149,-71.176,-71.067,-70.984,-71.204,-69.639,-67.8
49,-71.259,-71.424,-70.929,-71.369,-71.478,-71.506,-71.369,-71.286,-71.588,-69.612,-66.757
