seed,LC,6H,12H,1D,2D,3D,5D,7D,14D,1M,2M
21,1.486,2.2,1.843,1.541,1.596,1.459,1.678,1.486,1.294,1.02,0.086
22,1.816,2.694,2.2,1.898,1.98,1.816,2.063,1.843,1.624,1.102,-0.325
23,1.706,2.557,2.145,1.761,1.816,1.651,1.925,1.706,1.459,1.267,-0.298
24,1.733,2.31,2.008,1.788,1.843,1.733,1.925,1.761,1.596,1.184,-0.243
25,1.184,2.282,1.761,1.267,1.322,1.102,1.459,1.212,0.855,0.8,-0.463
26,1.541,2.722,1.953,1.678,1.788,1.596,1.871,1.569,1.349,0.333,-1.89
27,0.91,1.569,1.212,0.992,1.047,0.91,1.102,0.937,0.773,0.251,-1.176
28,1.267,1.843,1.596,1.294,1.349,1.212,1.431,1.267,1.075,0.937,0.114
29,1.047,1.761,1.404,1.102,1.157,1.02,1.239,1.075,0.855,0.608,-0.682
30,1.761,2.749,2.227,1.843,1.898,1.706,2.008,1.761,1.514,1.184,-0.051
31,1.624,2.227,1.925,1.678,1.706,1.596,1.788,1.624,1.459,1.294,0.443
32,1.294,2.008,1.678,1.349,1.404,1.239,1.486,1.294,1.047,0.718,-1.286
33,0.937,1.569,1.322,0.965,0.992,0.855,1.102,0.937,0.69,0.8,0.086
34,1.569,2.2,1.871,1.651,1.678,1.569,1.761,1.596,1.404,1.02,-1.067
35,2.2,2.804,2.612,2.255,2.255,2.118,2.365,2.227,1.98,2.31,2.584
36,0.992,1.761,1.486,1.047,1.047,0.91,1.184,0.992,0.718,0.882,-0.38
37,1.843,3.078,2.31,2.008,2.118,1.898,2.227,1.898,1.624,0.525,-1.918
38,1.157,1.898,1.486,1.212,1.267,1.129,1.349,1.157,0.965,0.635,-0.957
39,1.843,2.776,2.227,1.953,2.008,1.871,2.118,1.871,1.651,1.102,0.169
40,2.886,4.122,3.38,2.996,3.133,2.914,3.243,2.914,2.639,1.871,-0.216
41,1.431,2.886,2.09,1.541,1.624,1.376,1.788,1.459,1.075,0.827,-0.298
42,1.514,2.31,1.871,1.569,1.624,1.486,1.733,1.514,1.294,0.937,-0.408
43,1.322,2.173,1.678,1.404,1.486,1.322,1.569,1.349,1.129,0.416,-0.82
44,1.349,2.282,1.788,1.459,1.514,1.349,1.624,1.376,1.129,0.69,-0.655
45,1.816,2.749,2.255,1.898,1.953,1.788,2.063,1.816,1.569,1.239,-0.133
46,1.514,2.118,1.843,1.569,1.596,1.486,1.678,1.514,1.322,1.047,-0.353
47,1.239,2.145,1.678,1.294,1.349,1.184,1.459,1.239,0.965,0.718,-1.259
48,2.639,3.325,3.024,2.694,2.722,2.612,2.804,2.639,2.475,2.557,2.639
49,1.431,2.584,1.98,1.514,1.569,1.376,1.733,1.459,1.102,0.937,-0.408
50,1.294,2.31,1.788,1.376,1.431,1.239,1.569,1.294,0.965,0.69,-1.149
51,0.965,1.486,1.239,0.992,1.02,0.91,1.102,0.965,0.773,0.745,0.031
52,1.514,2.31,2.008,1.569,1.569,1.459,1.733,1.514,1.322,1.541,1.596
53,0.91,1.486,1.239,0.937,0.937,0.827,1.047,0.91,0.663,0.718,-0.655
54,0.992,1.624,1.267,1.047,1.102,0.992,1.157,0.992,0.827,0.471,-0.957
55,2.365,3.682,2.941,2.475,2.584,2.365,2.722,2.392,2.09,1.486,0.114
56,1.267,2.063,1.651,1.349,1.404,1.267,1.514,1.294,1.075,0.58,-1.396
57,1.459,2.447,1.98,1.541,1.569,1.404,1.706,1.486,1.184,0.965,-1.204
58,1.569,2.255,1.953,1.624,1.678,1.541,1.761,1.596,1.349,1.102,-0.6
59,0.827,1.624,1.267,0.882,0.91,0.773,1.02,0.855,0.58,0.58,-0.353
60,0.882,1.816,1.294,0.965,1.047,0.882,1.129,0.91,0.69,0.196,-1.176
61,0.635,1.294,1.02,0.663,0.69,0.553,0.8,0.635,0.388,0.443,-0.518
62,1.184,1.733,1.459,1.239,1.267,1.184,1.349,1.212,1.047,0.608,-0.765
63,1.569,2.31,1.953,1.624,1.678,1.541,1.761,1.569,1.349,1.047,-0.545
64,1.871,2.475,2.227,1.925,1.953,1.843,2.063,1.898,1.678,1.322,-0.435
65,2.008,3.188,2.529,2.118,2.173,1.98,2.31,2.035,1.706,1.267,-0.463
66,1.184,1.871,1.569,1.239,1.267,1.129,1.376,1.212,0.965,0.882,-0.298
67,1.486,2.31,1.925,1.569,1.624,1.459,1.733,1.514,1.267,0.965,-0.298
68,1.239,1.816,1.541,1.294,1.349,1.239,1.404,1.267,1.075,0.855,-0.518
69,1.651,2.227,1.925,1.706,1.761,1.651,1.816,1.678,1.514,1.184,-0.051
70,1.624,2.365,2.035,1.678,1.733,1.596,1.843,1.651,1.404,1.102,-0.957
71,1.98,2.859,2.392,2.035,2.118,1.953,2.227,1.98,1.733,1.431,0.416
72,0.992,1.514,1.294,1.02,1.047,0.992,1.102,1.02,0.91,1.047,1.514
73,1.239,2.392,1.816,1.349,1.404,1.212,1.541,1.267,0.937,0.69,-0.545
74,1.596,2.392,1.98,1.651,1.706,1.569,1.816,1.596,1.349,1.047,-0.243
75,1.459,2.255,1.871,1.541,1.569,1.431,1.678,1.486,1.239,0.855,-0.902
76,1.953,2.859,2.392,2.035,2.09,1.925,2.2,1.98,1.706,1.322,-0.024
77,2.035,3.024,2.447,2.145,2.227,2.063,2.31,2.063,1.843,1.239,-0.49
78,1.459,2.173,1.816,1.514,1.569,1.431,1.651,1.459,1.267,0.992,0.471
79,2.09,2.859,2.557,2.09,2.145,1.98,2.255,2.09,1.788,2.09,2.227
80,2.09,2.859,2.447,2.173,2.227,2.09,2.31,2.118,1.898,1.486,0.773
81,1.376,2.008,1.706,1.431,1.486,1.349,1.541,1.376,1.212,0.965,-0.271
82,1.898,2.31,2.09,1.925,1.953,1.898,2.008,1.898,1.788,1.733,1.816
83,1.129,1.459,1.322,1.157,1.184,1.129,1.212,1.129,1.047,1.075,1.404
84,1.733,2.557,2.145,1.816,1.871,1.706,1.98,1.761,1.514,1.102,-0.024
85,1.596,2.584,2.09,1.678,1.733,1.541,1.871,1.624,1.322,1.047,-0.984
86,0.992,1.651,1.376,1.02,1.047,0.91,1.157,0.992,0.745,0.8,0.251
87,1.431,2.173,1.816,1.514,1.541,1.404,1.651,1.459,1.212,0.965,-0.38
88,1.431,2.447,1.953,1.514,1.569,1.376,1.706,1.431,1.129,0.937,-0.353
89,1.239,1.843,1.596,1.294,1.322,1.212,1.431,1.267,1.047,0.965,-0.847
90,1.322,1.953,1.678,1.376,1.404,1.267,1.486,1.322,1.102,1.102,0.306
91,1.596,2.447,2.035,1.678,1.706,1.541,1.816,1.624,1.322,1.157,-0.902
92,2.475,2.886,2.722,2.529,2.557,2.475,2.612,2.475,2.365,2.392,2.392
93,2.173,3.106,2.639,2.255,2.31,2.145,2.42,2.173,1.898,1.486,-0.627
94,2.557,3.216,2.914,2.612,2.667,2.557,2.749,2.584,2.42,2.475,2.529
95,1.733,2.557,2.09,1.843,1.898,1.761,1.98,1.761,1.596,0.992,-0.518
96,0.91,1.651,1.239,0.965,1.02,0.882,1.102,0.91,0.718,0.361,-0.875
97,1.376,1.98,1.733,1.431,1.459,1.349,1.541,1.404,1.184,1.02,-0.106
98,0.773,1.349,1.129,0.8,0.8,0.69,0.91,0.773,0.525,0.608,-1.231
99,2.2,3.271,2.639,2.31,2.42,2.227,2.502,2.227,1.98,1.267,0.141
100,1.843,2.639,2.282,1.898,1.925,1.788,2.063,1.843,1.569,1.349,-0.573
