taxid	lineage	name	rank	mgm4575333	mgm4575334	mgm4575335	mgm4575336	mgm4575339	mgm4575340	mgm4575341	mgm4575342	mgm4575343	mgm4575344	mgm4575345	mgm4575346	mgm4575347	mgm4575348
2166	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Opitutae;class;Opitutales;order;	Opitutales	order	1	75	9	15	9	17	25	31	13	2	4	15	8	29
2167	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Opitutae;class;Opitutales;order;Opitutaceae;family;	Opitutaceae	family	1	75	9	15	9	17	25	31	13	2	4	15	8	29
4216	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Opitutae;class;Opitutales;order;Opitutaceae;family;Lacunisphaera;genus;	Lacunisphaera	genus	1	24	1	0	0	0	0	0	0	0	1	0	0	10
4277	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Opitutae;class;Opitutales;order;Opitutaceae;family;Oleiharenicola;genus;	Oleiharenicola	genus	0	5	0	0	0	0	0	0	0	0	0	0	0	0
-2168	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Opitutae;class;Opitutales;order;Opitutaceae;family;unclassified_Opitutaceae;;	unclassified_Opitutaceae		0	46	8	15	9	17	25	31	13	2	1	15	8	19
4296	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Opitutae;class;Opitutales;order;Opitutaceae;family;Ereboglobus;genus;	Ereboglobus	genus	0	0	0	0	0	0	0	0	0	0	2	0	0	0
-2166	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Opitutae;class;unclassified_Opitutae;;	unclassified_Opitutae		0	5	0	0	0	0	0	0	0	0	0	0	0	0
-2165	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;unclassified_Verrucomicrobia;;	unclassified_Verrucomicrobia		244	273	357	369	196	83	193	69	197	75	135	94	95	111
2183	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Verrucomicrobiae;class;	Verrucomicrobiae	class	0	1	1	2	10	6	2	826	5	1	0	5	4	5
2184	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Verrucomicrobiae;class;Verrucomicrobiales;order;	Verrucomicrobiales	order	0	1	1	2	10	6	2	826	5	1	0	5	4	5
2187	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Verrucomicrobiae;class;Verrucomicrobiales;order;Verrucomicrobiaceae;family;	Verrucomicrobiaceae	family	0	1	1	2	9	6	2	446	4	1	0	5	4	5
-2188	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Verrucomicrobiae;class;Verrucomicrobiales;order;Verrucomicrobiaceae;family;unclassified_Verrucomicrobiaceae;;	unclassified_Verrucomicrobiaceae		0	1	1	1	5	0	1	251	2	0	0	2	3	2
2190	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Verrucomicrobiae;class;Verrucomicrobiales;order;Verrucomicrobiaceae;family;Luteolibacter;genus;	Luteolibacter	genus	0	0	0	1	0	5	0	195	1	1	0	0	1	3
2192	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Verrucomicrobiae;class;Verrucomicrobiales;order;Verrucomicrobiaceae;family;Prosthecobacter;genus;	Prosthecobacter	genus	0	0	0	0	4	1	1	0	1	0	0	3	0	0
-2185	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Verrucomicrobiae;class;Verrucomicrobiales;order;unclassified_Verrucomicrobiales;;	unclassified_Verrucomicrobiales		0	0	0	0	1	0	0	380	1	0	0	0	0	0
4041	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Terrimicrobia;class;	Terrimicrobia	class	0	0	0	0	0	0	0	0	0	0	0	1	0	0
4042	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Terrimicrobia;class;Terrimicrobiales;order;	Terrimicrobiales	order	0	0	0	0	0	0	0	0	0	0	0	1	0	0
4043	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Terrimicrobia;class;Terrimicrobiales;order;Terrimicrobiaceae;family;	Terrimicrobiaceae	family	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3401	Root;rootrank;Bacteria;domain;Verrucomicrobia;phylum;Terrimicrobia;class;Terrimicrobiales;order;Terrimicrobiaceae;family;Terrimicrobium;genus;	Terrimicrobium	genus	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2195	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;	Acidobacteria	phylum	1373	2830	2545	1534	1532	633	1832	437	1559	705	4225	1619	1440	3378
2214	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp6;class;	Acidobacteria_Gp6	class	468	146	247	384	132	34	62	9	640	51	239	250	167	79
2215	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp6;class;Gp6;genus;	Gp6	genus	468	146	247	384	132	34	62	9	640	51	239	250	167	79
2210	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp4;class;	Acidobacteria_Gp4	class	160	8	47	54	5	1	17	0	82	4	4	85	12	2
2211	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp4;class;Gp4;genus;	Gp4	genus	160	8	47	54	5	1	17	0	82	4	4	85	12	2
2204	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp1;class;	Acidobacteria_Gp1	class	53	803	617	327	0	1	0	0	73	0	1135	1	0	1531
2205	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp1;class;Gp1;genus;	Gp1	genus	48	405	229	107	0	0	0	0	50	0	937	1	0	1089
2255	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp1;class;Edaphobacter;genus;	Edaphobacter	genus	4	51	80	66	0	0	0	0	10	0	9	0	0	0
-2205	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp1;class;unclassified_Acidobacteria_Gp1;;	unclassified_Acidobacteria_Gp1		1	290	238	116	0	1	0	0	12	0	142	0	0	407
2823	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp1;class;Acidipila;genus;	Acidipila	genus	0	22	49	11	0	0	0	0	0	0	1	0	0	28
3647	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp1;class;Occallatibacter;genus;	Occallatibacter	genus	0	11	11	23	0	0	0	0	0	0	43	0	0	1
2256	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp1;class;Granulicella;genus;	Granulicella	genus	0	13	3	0	0	0	0	0	1	0	3	0	0	2
2821	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp1;class;Acidicapsa;genus;	Acidicapsa	genus	0	9	6	4	0	0	0	0	0	0	0	0	0	4
2257	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp1;class;Terriglobus;genus;	Terriglobus	genus	0	2	1	0	0	0	0	0	0	0	0	0	0	0
2208	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp3;class;	Acidobacteria_Gp3	class	69	601	291	247	37	9	94	5	148	212	918	323	457	727
2209	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp3;class;Gp3;genus;	Gp3	genus	27	260	129	79	25	8	57	0	72	145	296	266	375	327
2819	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp3;class;Candidatus Solibacter;genus;	Candidatus Solibacter	genus	9	14	23	26	0	0	0	0	15	1	90	1	1	7
-2209	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp3;class;unclassified_Acidobacteria_Gp3;;	unclassified_Acidobacteria_Gp3		33	327	139	142	12	1	37	5	61	66	532	56	81	393
3624	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Blastocatellia;class;	Blastocatellia	class	70	17	52	53	819	489	833	216	142	266	4	497	471	24
3625	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Blastocatellia;class;Blastocatellales;order;	Blastocatellales	order	70	17	52	53	819	489	833	216	142	266	4	497	471	24
3626	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Blastocatellia;class;Blastocatellales;order;Blastocatellaceae;family;	Blastocatellaceae	family	34	13	31	22	526	241	313	125	100	43	1	151	128	19
3628	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Blastocatellia;class;Blastocatellales;order;Blastocatellaceae;family;Stenotrophobacter;genus;	Stenotrophobacter	genus	16	3	22	4	120	24	30	27	62	7	0	34	23	15
3239	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Blastocatellia;class;Blastocatellales;order;Blastocatellaceae;family;Aridibacter;genus;	Aridibacter	genus	4	10	5	13	17	0	6	46	12	13	1	32	24	4
-3627	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Blastocatellia;class;Blastocatellales;order;Blastocatellaceae;family;unclassified_Blastocatellaceae;;	unclassified_Blastocatellaceae		14	0	4	5	389	217	277	52	26	23	0	85	81	0
3629	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Blastocatellia;class;Blastocatellales;order;Arenimicrobiaceae;family;	Arenimicrobiaceae	family	4	0	1	11	7	2	6	0	7	133	0	233	227	0
3631	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Blastocatellia;class;Blastocatellales;order;Arenimicrobiaceae;family;Brevitalea;genus;	Brevitalea	genus	2	0	0	1	2	0	0	0	5	51	0	47	106	0
-3630	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Blastocatellia;class;Blastocatellales;order;Arenimicrobiaceae;family;unclassified_Arenimicrobiaceae;;	unclassified_Arenimicrobiaceae		2	0	1	10	5	2	6	0	2	82	0	186	121	0
-3626	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Blastocatellia;class;Blastocatellales;order;unclassified_Blastocatellales;;	unclassified_Blastocatellales		32	4	20	20	286	246	514	91	35	90	3	113	116	5
2248	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp25;class;	Acidobacteria_Gp25	class	31	0	1	1	0	0	0	0	8	0	0	0	0	0
2249	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp25;class;Gp25;genus;	Gp25	genus	31	0	1	1	0	0	0	0	8	0	0	0	0	0
2234	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp16;class;	Acidobacteria_Gp16	class	30	14	7	23	27	5	26	0	44	17	0	13	10	14
2235	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp16;class;Gp16;genus;	Gp16	genus	30	14	7	23	27	5	26	0	44	17	0	13	10	14
2232	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp17;class;	Acidobacteria_Gp17	class	9	0	6	3	30	0	1	0	3	0	23	1	3	0
2233	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp17;class;Gp17;genus;	Gp17	genus	9	0	6	3	30	0	1	0	3	0	23	1	3	0
2206	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp2;class;	Acidobacteria_Gp2	class	67	1092	1045	271	0	0	0	0	24	0	1406	0	0	745
2207	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp2;class;Gp2;genus;	Gp2	genus	67	1092	1045	271	0	0	0	0	24	0	1406	0	0	745
2222	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp11;class;	Acidobacteria_Gp11	class	11	0	2	1	0	0	0	0	0	0	0	0	0	0
2223	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp11;class;Gp11;genus;	Gp11	genus	11	0	2	1	0	0	0	0	0	0	0	0	0	0
2216	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp7;class;	Acidobacteria_Gp7	class	25	17	12	9	43	3	12	16	28	6	17	19	20	59
2217	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp7;class;Gp7;genus;	Gp7	genus	25	17	12	9	43	3	12	16	28	6	17	19	20	59
2212	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp5;class;	Acidobacteria_Gp5	class	71	10	25	29	0	0	0	0	54	0	67	5	1	5
2213	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp5;class;Gp5;genus;	Gp5	genus	71	10	25	29	0	0	0	0	54	0	67	5	1	5
2220	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp10;class;	Acidobacteria_Gp10	class	1	2	3	4	0	0	0	0	0	4	9	14	21	0
2221	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp10;class;Gp10;genus;	Gp10	genus	1	2	3	4	0	0	0	0	0	4	9	14	21	0
2246	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp22;class;	Acidobacteria_Gp22	class	6	0	2	10	0	0	0	0	0	0	0	0	0	0
2247	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp22;class;Gp22;genus;	Gp22	genus	6	0	2	10	0	0	0	0	0	0	0	0	0	0
2224	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp13;class;	Acidobacteria_Gp13	class	1	11	6	1	0	0	0	0	0	0	22	0	0	19
2225	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp13;class;Gp13;genus;	Gp13	genus	1	11	6	1	0	0	0	0	0	0	22	0	0	19
-2196	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;unclassified_Acidobacteria;;	unclassified_Acidobacteria		301	100	182	116	436	91	784	187	304	145	378	409	276	130
2228	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp15;class;	Acidobacteria_Gp15	class	0	9	0	0	0	0	0	0	1	0	2	0	0	15
2229	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp15;class;Gp15;genus;	Gp15	genus	0	9	0	0	0	0	0	0	1	0	2	0	0	15
2196	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Holophagae;class;	Holophagae	class	0	0	0	1	0	0	0	0	0	0	0	0	0	26
2200	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Holophagae;class;Holophagales;order;	Holophagales	order	0	0	0	1	0	0	0	0	0	0	0	0	0	26
2201	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Holophagae;class;Holophagales;order;Holophagaceae;family;	Holophagaceae	family	0	0	0	1	0	0	0	0	0	0	0	0	0	26
2202	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Holophagae;class;Holophagales;order;Holophagaceae;family;Geothrix;genus;	Geothrix	genus	0	0	0	1	0	0	0	0	0	0	0	0	0	25
-2202	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Holophagae;class;Holophagales;order;Holophagaceae;family;unclassified_Holophagaceae;;	unclassified_Holophagaceae		0	0	0	0	0	0	0	0	0	0	0	0	0	1
3640	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Vicinamibacteria;class;	Vicinamibacteria	class	0	0	0	0	3	0	3	4	6	0	0	1	2	0
3641	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Vicinamibacteria;class;Vicinamibacterales;order;	Vicinamibacterales	order	0	0	0	0	3	0	3	4	6	0	0	1	2	0
3642	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Vicinamibacteria;class;Vicinamibacterales;order;Vicinamibacteraceae;family;	Vicinamibacteraceae	family	0	0	0	0	3	0	3	4	6	0	0	1	2	0
3644	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Vicinamibacteria;class;Vicinamibacterales;order;Vicinamibacteraceae;family;Luteitalea;genus;	Luteitalea	genus	0	0	0	0	3	0	1	4	3	0	0	0	1	0
-3643	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Vicinamibacteria;class;Vicinamibacterales;order;Vicinamibacteraceae;family;unclassified_Vicinamibacteraceae;;	unclassified_Vicinamibacteraceae		0	0	0	0	0	0	2	0	3	0	0	1	1	0
2238	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp18;class;	Acidobacteria_Gp18	class	0	0	0	0	0	0	0	0	2	0	0	0	0	2
2239	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp18;class;Gp18;genus;	Gp18	genus	0	0	0	0	0	0	0	0	2	0	0	0	0	2
2226	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp12;class;	Acidobacteria_Gp12	class	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2227	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp12;class;Gp12;genus;	Gp12	genus	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2242	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp20;class;	Acidobacteria_Gp20	class	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2243	Root;rootrank;Bacteria;domain;Acidobacteria;phylum;Acidobacteria_Gp20;class;Gp20;genus;	Gp20	genus	0	0	0	0	0	0	0	0	0	0	0	1	0	0
824	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;	Planctomycetes	phylum	79	219	255	242	84	60	70	73	99	64	162	131	111	245
825	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;	Planctomycetacia	class	79	219	251	239	80	60	68	73	98	60	161	124	105	235
826	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;	Planctomycetales	order	58	194	194	199	46	45	36	38	68	33	140	58	38	186
3784	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Gemmataceae;family;	Gemmataceae	family	23	56	60	74	9	1	12	3	28	13	40	29	15	62
829	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Gemmataceae;family;Gemmata;genus;	Gemmata	genus	5	4	8	18	0	0	0	0	5	1	6	3	3	2
-3785	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Gemmataceae;family;unclassified_Gemmataceae;;	unclassified_Gemmataceae		18	47	48	50	9	1	10	2	22	12	34	24	12	56
3785	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Gemmataceae;family;Fimbriiglobus;genus;	Fimbriiglobus	genus	0	5	4	6	0	0	1	1	1	0	0	2	0	4
836	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Gemmataceae;family;Zavarzinella;genus;	Zavarzinella	genus	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3780	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Isosphaeraceae;family;	Isosphaeraceae	family	8	72	108	70	26	40	12	25	20	7	41	6	6	85
-3781	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Isosphaeraceae;family;unclassified_Isosphaeraceae;;	unclassified_Isosphaeraceae		8	72	103	63	25	40	12	25	19	7	41	6	6	85
835	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Isosphaeraceae;family;Singulisphaera;genus;	Singulisphaera	genus	0	0	5	7	0	0	0	0	1	0	0	0	0	0
3782	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Isosphaeraceae;family;Tautonia;genus;	Tautonia	genus	0	0	0	0	1	0	0	0	0	0	0	0	0	0
827	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Planctomycetaceae;family;	Planctomycetaceae	family	3	10	4	6	1	4	5	6	2	1	11	5	0	16
-828	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Planctomycetaceae;family;unclassified_Planctomycetaceae;;	unclassified_Planctomycetaceae		3	10	4	6	1	4	5	6	2	1	11	5	0	15
834	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;Planctomycetaceae;family;Schlesneria;genus;	Schlesneria	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	1
-827	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Planctomycetales;order;unclassified_Planctomycetales;;	unclassified_Planctomycetales		24	56	22	49	10	0	7	4	18	12	48	18	17	23
4118	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Pirellulales;order;	Pirellulales	order	9	3	20	13	22	13	13	19	10	14	2	30	34	7
4121	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Pirellulales;order;Pirellulaceae;family;	Pirellulaceae	family	2	0	8	2	12	8	2	14	1	2	0	10	7	0
2962	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Pirellulales;order;Pirellulaceae;family;Pirellula;genus;	Pirellula	genus	2	0	7	2	10	0	0	0	1	2	0	9	6	0
-4122	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Pirellulales;order;Pirellulaceae;family;unclassified_Pirellulaceae;;	unclassified_Pirellulaceae		0	0	1	0	2	1	2	13	0	0	0	1	1	0
3776	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Pirellulales;order;Pirellulaceae;family;Roseimaritima;genus;	Roseimaritima	genus	0	0	0	0	0	7	0	1	0	0	0	0	0	0
-4119	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Pirellulales;order;unclassified_Pirellulales;;	unclassified_Pirellulales		7	3	9	10	10	5	11	5	7	7	2	17	18	7
4120	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Pirellulales;order;Thermoguttaceae;family;	Thermoguttaceae	family	0	0	1	1	0	0	0	0	0	4	0	0	2	0
-4121	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Pirellulales;order;Thermoguttaceae;family;unclassified_Thermoguttaceae;;	unclassified_Thermoguttaceae		0	0	1	1	0	0	0	0	0	4	0	0	2	0
4119	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Pirellulales;order;Lacipirellulaceae;family;	Lacipirellulaceae	family	0	0	2	0	0	0	0	0	2	1	0	3	7	0
4124	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Pirellulales;order;Lacipirellulaceae;family;Lacipirellula;genus;	Lacipirellula	genus	0	0	1	0	0	0	0	0	2	1	0	3	7	0
-4120	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;Pirellulales;order;Lacipirellulaceae;family;unclassified_Lacipirellulaceae;;	unclassified_Lacipirellulaceae		0	0	1	0	0	0	0	0	0	0	0	0	0	0
-826	Root;rootrank;Bacteria;domain;Planctomycetes;phylum;Planctomycetacia;class;unclassified_Planctomycetacia;;	unclassified_Planctomycetacia		12	22	37	27	12	2	19	16	20	13	19	36	33	42
