taxid	lineage	name	rank	mgm4461266	mgm4461267	mgm4461268	mgm4461269	mgm4461270	mgm4461271	mgm4461272	mgm4461273	mgm4461274	mgm4461275	mgm4461276	mgm4461277	mgm4461278	mgm4461279	mgm4461280	mgm4461281	mgm4461282	mgm4461283	mgm4461302	mgm4461303	mgm4461304	mgm4461305	mgm4461306	mgm4461307	mgm4461308	mgm4461309	mgm4461310	mgm4461311	mgm4461312	mgm4461313	mgm4461314	mgm4461315	mgm4461316	mgm4461318	mgm4461319	mgm4461320	mgm4461321	mgm4461322	mgm4461323	mgm4461324	mgm4461325	mgm4461326	mgm4461327	mgm4461328	mgm4461329	mgm4461330	mgm4461331	mgm4461332	mgm4461333	mgm4461334	mgm4461335	mgm4461336	mgm4461337	mgm4461338	mgm4461339	mgm4461340
2678	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Lachnospiracea_incertae_sedis;genus;	Lachnospiracea_incertae_sedis	genus	1	8	3	2	3	122	5	6	0	4	4	5	5	1	2	1	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	2	31	9	31	3	0	0	0	0	0	0	0	19	0	4	0	0	0	1	0	8	0	2	0	2
4095	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Anaerobutyricum;genus;	Anaerobutyricum	genus	14	73	43	30	20	348	35	105	73	0	12	29	28	8	19	22	30	9	14	6	1	0	0	0	0	6	6	0	0	20	30	41	0	0	0	54	8	13	16	3	2	0	0	0	0	38	0	0	11	206	0	0	0	0	4	9
3038	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Fusicatenibacter;genus;	Fusicatenibacter	genus	17	19	4	48	36	87	17	0	18	10	20	10	19	7	23	32	6	5	0	0	0	0	0	0	0	33	0	0	0	0	1	4	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	10	0	77	0	0	0	0	0	0
2463	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Coprococcus;genus;	Coprococcus	genus	5	24	1	2	25	73	19	39	58	25	100	252	30	3	0	14	17	28	0	0	0	0	0	0	0	5	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2454	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Dorea;genus;	Dorea	genus	5	9	0	4	5	14	4	5	2	0	3	3	0	1	1	0	3	5	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	35	0	0	0	0	0	0
4097	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Anaerotignum;genus;	Anaerotignum	genus	1	0	0	0	0	6	2	0	41	0	0	0	0	0	0	0	0	0	0	12	0	0	10	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	2	0	7	0	0	3	3	0	0	0	0	0	0	1	0	8	0	0
2963	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Ruminococcus2;genus;	Ruminococcus2	genus	2	0	1	4	0	21	14	0	0	8	0	1	1	4	7	1	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	18	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0
2460	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Butyrivibrio;genus;	Butyrivibrio	genus	1	0	1	13	39	1	5	53	0	1	0	0	0	0	0	0	97	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2446	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;unclassified_Lachnospiraceae;;	unclassified_Lachnospiraceae		123	245	147	438	182	1478	148	64	507	158	113	158	138	147	613	228	264	86	193	1085	118	426	260	20	0	19	159	175	52	148	157	336	163	186	186	113	149	199	282	166	253	179	201	300	171	121	0	727	592	483	0	94	27	355	245	191
2462	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Lachnospira;genus;	Lachnospira	genus	0	30	29	58	54	19	3	1	4	16	0	28	17	1	117	59	40	16	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
3949	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Lachnospiraceae;family;Lachnotalea;genus;	Lachnotalea	genus	0	1	0	11	0	48	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	24	0	0	0	0	0	0
