type,study,n_dn,n_up,Zc_dn,Zc_up,nO2_dn,nO2_up,nH2O_dn,nH2O_up,control_anaerobe,disease_anaerobe,control_aerotolerant,disease_aerotolerant,control_unknown,disease_unknown,D_Zc,D_nO2,D_nH2O
gut,RFH+22_Gut,15,22,-0.153891,-0.160962,-0.70192,-0.708174,-0.778494,-0.761596,94.0325,48.5348,3.59939,39.6867,2.36814,11.7785,-0.00707038,-0.00625376,0.0168979
gut,KMG+21,14,25,-0.15684,-0.15774,-0.70708,-0.706537,-0.780498,-0.775347,83.715,64.4615,11.8905,29.8342,4.39447,5.70428,-0.000900592,0.0005429,0.0051509
gut,WCJ+21_Gut,32,17,-0.162372,-0.165234,-0.713172,-0.716993,-0.768364,-0.765603,87.196,59.623,4.23259,31.2764,8.57145,9.1006,-0.00286166,-0.00382032,0.0027607
gut,CGC+22,30,26,-0.163056,-0.164951,-0.709147,-0.71292,-0.745582,-0.749667,64.0426,36.144,7.03408,39.8233,28.9234,24.0327,-0.00189434,-0.00377312,-0.00408573
gut,GCW+20,30,30,-0.163283,-0.164578,-0.708852,-0.71178,-0.743903,-0.748016,59.7241,39.891,8.96663,36.1336,31.3093,23.9754,-0.0012955,-0.0029285,-0.00411318
gut,NGH+21,34,50,-0.166541,-0.168074,-0.717808,-0.719238,-0.757251,-0.751862,58.9904,64.1528,19.0127,20.4052,21.9969,15.4421,-0.00153281,-0.00142932,0.00538879
gut,MIK+22,61,45,-0.160862,-0.159931,-0.704586,-0.703727,-0.751377,-0.753392,57.5082,49.6569,27.0566,31.3271,15.4352,19.016,0.000930523,0.000858294,-0.00201461
gut,RDM+22,22,89,-0.160917,-0.160849,-0.706041,-0.705552,-0.755184,-0.753328,61.24,61.6467,20.6862,18.6405,18.0739,19.7129,6.77403e-05,0.000488326,0.00185667
gut,WZL+23,52,59,-0.158843,-0.160063,-0.701673,-0.707543,-0.748682,-0.76445,56.1176,71.689,11.3466,11.6375,32.5357,16.6735,-0.00121977,-0.00587007,-0.015768
gut,AHM+21,50,78,-0.156021,-0.162254,-0.700707,-0.71106,-0.763401,-0.758624,75.9114,71.6393,4.4652,8.96756,19.6234,19.3932,-0.00623353,-0.0103528,0.00477654
gut,GCP+23,38,100,-0.163282,-0.162042,-0.71272,-0.712736,-0.762048,-0.769653,61.635,70.74,21.7167,12.7982,16.6483,16.4617,0.00124013,-1.65528e-05,-0.00760448
gut,RWC+21_Gut,72,100,-0.159822,-0.165676,-0.712328,-0.717609,-0.782031,-0.765219,86.9054,60.9323,7.20867,27.4386,5.88594,11.6291,-0.00585345,-0.00528154,0.016812
gut,FBD+22,38,141,-0.162478,-0.160644,-0.708757,-0.708769,-0.752592,-0.764516,62.2575,76.1928,12.3042,5.06607,25.4384,18.7412,0.00183468,-1.26947e-05,-0.0119246
gut,SRK+22,145,104,-0.162086,-0.167055,-0.711309,-0.719396,-0.763534,-0.76133,65.5373,47.5308,15.1363,33.4617,19.3265,19.0074,-0.00496922,-0.00808704,0.00220436
IBD,ZTG+21,10,10,-0.162059,-0.166678,-0.710673,-0.716355,-0.76287,-0.754304,83.6223,57.3085,2.756,30.8698,13.6217,11.8217,-0.00461826,-0.00568192,0.00856608
IBD,ASM+23,10,11,-0.158922,-0.162778,-0.707547,-0.713332,-0.768571,-0.766851,82.2325,80.3219,5.11801,13.0151,12.6495,6.66293,-0.00385617,-0.00578558,0.00172067
IBD,DKK+23,10,11,-0.163269,-0.178258,-0.711627,-0.732362,-0.757784,-0.738295,73.7078,18.8058,12.5906,28.0406,13.7016,53.1536,-0.0149889,-0.0207358,0.0194888
IBD,AAM+20,9,21,-0.16131,-0.162555,-0.705779,-0.706539,-0.749816,-0.746241,37.374,49.7199,18.7924,34.0324,43.8337,16.2477,-0.00124433,-0.000759905,0.00357525
IBD,LZD+19,22,19,-0.156732,-0.172059,-0.696943,-0.726286,-0.754784,-0.755716,81.6133,45.1856,2.68408,43.0659,15.7026,11.7485,-0.0153269,-0.0293433,-0.000931525
IBD,MLL+16,13,30,-0.157971,-0.158852,-0.70621,-0.70561,-0.769366,-0.76273,78.9983,72.9899,5.4307,7.95873,15.571,19.0514,-0.000880661,0.000599792,0.00663594
IBD,PYL+23,6,42,-0.157105,-0.161288,-0.70319,-0.709899,-0.763263,-0.762234,75.8181,70.2544,1.55925,9.50401,22.6226,20.2415,-0.00418336,-0.00670895,0.0010297
IBD,BKK+17,32,77,-0.157515,-0.158456,-0.703101,-0.703582,-0.760518,-0.757388,74.8158,62.6653,2.7245,10.8068,22.4597,26.5279,-0.000940716,-0.000480854,0.00312933
IBD,REP+23,96,56,-0.160593,-0.162203,-0.710123,-0.712498,-0.769441,-0.769068,73.3265,69.1512,9.36419,18.9842,17.3093,11.8646,-0.00160953,-0.00237456,0.000373281
IBD,LAA+19,43,112,-0.160631,-0.161982,-0.709381,-0.711029,-0.766227,-0.764109,79.0655,74.0022,6.43913,9.72647,14.4954,16.2713,-0.0013507,-0.00164738,0.00211801
IBD,HBL+17,62,124,-0.156363,-0.158896,-0.70261,-0.705162,-0.767872,-0.762714,84.1631,75.8523,3.18389,4.97031,12.653,19.1774,-0.0025322,-0.0025523,0.00515791
IBD,MDV+22,19,186,-0.160324,-0.162234,-0.704686,-0.708591,-0.749528,-0.752573,58.578,52.4862,12.9721,25.8858,28.4499,21.628,-0.00191016,-0.00390433,-0.00304533
IBD,GKD+14,31,224,-0.161171,-0.164207,-0.707989,-0.712023,-0.756392,-0.753437,68.5089,58.1988,7.24801,19.87,24.2431,21.9312,-0.00303586,-0.00403436,0.00295534
IBD,WGL+19,38,286,-0.162389,-0.164425,-0.712091,-0.713704,-0.766075,-0.761077,70.2372,62.117,21.0364,27.3165,8.72646,10.5666,-0.00203602,-0.00161266,0.00499779
IBD,RAF+20,63,283,-0.161175,-0.161288,-0.711524,-0.712415,-0.769766,-0.773268,87.389,84.1782,5.15228,9.11695,7.45867,6.70485,-0.000112907,-0.000891602,-0.00350244
